,Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
31711,"We have strong momentum and need to keep it going. We have a chance to take bold action to make a lasting positive impact upon Florida’s environment.  

Let’s seize this opportunity.",182,2020-01-14 16:33:26,Twitter Web App,128,39,GovRonDeSantis,1.2171225613032407e+18,1058807868.0,1058807868.0,False,,en,January,Q1
19160,"Today I sent a letter to members of Kansas’ federal delegation commending them for supporting the latest coronavirus emergency relief package, &amp; also conveying the urgent need for additional federal support in the form of direct, flexible state aid. #ksleg",284,2020-04-24 20:21:38,Twitter Web App,146,17,GovLauraKelly,1.253781166139859e+18,,1.0400588939075132e+18,False,https://t.co/E5GBkHceWA,en,April,Q2
40552,"@joe_cressy Love you, Joe. Stay strong.",39,2020-04-04 00:41:27,Twitter for iPhone,18,0,joshmatlow,1.2462364038616842e+18,416025003.0,15844405.0,False,,en,April,Q2
9137,"We will maintain separate general management for unique functions of these agencies, while streamlining operations that are duplicative in nature so we can deliver the highest quality of transportation possible. #OklaSOTS20",223,2020-02-03 19:05:48,Twitter Web App,5,0,GovStitt,1.224408662883668e+18,8.652108776786862e+17,8.652108776786862e+17,False,,en,February,Q1
8902,"Additionally, my team is working with @HealthyOklahoma on a plan to safely &amp; responsibly re-open businesses across our state while continuing to prioritize the health &amp; safety of all Oklahomans.",202,2020-04-16 03:54:29,Twitter Web App,96,13,GovStitt,1.2506336382130094e+18,8.652108776786862e+17,8.652108776786862e+17,False,,en,April,Q2
43682,Heading back to Washington from @Davos  Switzerland. Very successful (for USA) trip!,84,2020-01-22 16:21,Twitter for iPhone,64813,12733,realDonaldTrump,1.22e+18,,,False,,en,January,Q1
43575,Thank you to Chuck &amp; all. USMCA is going to be GREAT!,57,2020-01-28 4:11,Twitter for iPhone,36711,9369,realDonaldTrump,1.22e+18,,,False,https://t.co/tK3zxHOlYg,en,January,Q1
36005,@311Toronto @shawnpogborne @cityoftoronto Thank you 311. Your quick reply is much appreciated.,94,2020-02-26 17:00:19,Twitter for iPad,1,0,kristynwongtam,1.2327120077840955e+18,24201621.0,20452161.0,False,,en,February,Q1
43579,,0,2020-01-27 18:11,Twitter for iPhone,48974,14892,realDonaldTrump,1.22e+18,,,False,https://t.co/2PoLkxQ8KE,en,January,Q1
8487,"@BenBotkin1 @HollyDillemuth If you could kindly stay on, we are working through technical difficulties and will share more info as soon as possible.",148,2020-03-13 18:43:38,Twitter Web App,3,0,OregonGovBrown,1.23853621258487e+18,714973730.0,3023272478.0,False,,en,March,Q1
25181,"HAPPENING NOW: Governor Ned Lamont, @LGSusanB, and @CT_OEC Commissioner @BethBye5 are holding a news conference at @ABCDInc1 in #BridgeportCT to discuss the state's #Care4Kids program, which helps families with the costs of childcare.

📺Watch live:",296,2020-02-03 17:21:07,Twitter Web App,7,2,govnedlamont,1.2243823187453092e+18,,1.0762939037232332e+18,False,https://t.co/3QmgKXhjMe,en,February,Q1
30728,"Our most vulnerable communities are hungry, desperate and under enormous emotional stress. It is incomprehensible for Senator Mitch McConnell to tell us that he sees no urgency in passing another emergency relief bill and that he wants to wait another month before taking action.",279,2020-05-30 18:36:18,Twitter Web App,13946,2217,SenSanders,1.2668006186617897e+18,,29442313.0,False,,en,May,Q2
43,DC should be a state. Pass it on.,81,2020-06-25 16:30:05,Twitter Web App,520,255,MayorBowser,1.2761909414775808e+18,,976542720.0,False,https://t.co/jSBsCOWlEL,en,June,Q2
