,Tweets,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
0,edifices perigenital tozer scientificoromantic buddling gorgeable nondeflection serv puberulent casel hashish intersexuality sarcoblast krauthead kithes lepidosirenidae conversationalists onymancy publice dykes oleostearine gorgeable terreity savates brothers benthamism,,,,,,,,,,,,January,Q1
1,motific endaze babeldom transientness postsacral parachrea floes balancedness hypnogenesis tunisians glenlivet cymbel huss morphon soaper oncotomy dialogistically endaze tachyon proprietorial fittywise radiary maskette venues curuminacan glossiest semicrescentic commemorating,,,,,,,,,,,,January,Q1
2,nongospel tearstained forjudger organising vondsira firewood sanballat extremistic uppercutting nonextracted melanocyte additory uncovenable salpingocatheterism finnickiest myxedemas bradawl phellodermal unconcordantly tabooist anoplotheroid antidancing anoplotheroid conjugacy,,,,,,,,,,,,January,Q1
3,dwell sepalous encrimson pharian pseudonationally immortaliser spectromicroscope outcurves madcaply nehiloth installations intraparochial indepravate seige unsuggestible thujin micromembrane zantedeschia potass downcoming cariform misobserve spectromicroscope demilitarised,,,,,,,,,,,,January,Q1
4,cantion canopic muscle perceptual bereaver naric lingulidae paulista insulting mindful regretableness houseled ptilinum requirers torturing publics aula undrapes lingulidae adjunctly enforceability regather insulting whelps exanthems accidentally muscle preindicative chiococca,,,,,,,,,,,,January,Q1
5,antickt trichoglossine venged cynoclept rubbio concertato assagaiing inoffensively cacoxene arivaipa cynoclept moodiest uncalamitously cursedly cursedly cinter hygrodeik sandfish gymnoblastic buat neeps arivaipa vacillation moodiest ablet tahgook undeceptious flitterbat,,,,,,,,,,,,January,Q1
6,pleurenchymatous pentode plateaux yellowstone chloralformamide grecian idocrases paviser disputations doggrels malayize misshapenness nonembryonically protopoditic spermaduct reawoke fundamental homeric unvociferously scouring hierographer bombardments thermometamorphic,,,,,,,,,,,,January,Q1
7,yaffs isuroid subcurator semiparabola outfaces housesit monologists lampoonery empyesis unprojective simulcast blabbermouths housesit prepartaken matachina mullen pacos calculably skinkle cognisability otidiform hacked rotular regrowths molluscum osteoblast deratted epimerized,,,,,,,,,,,,January,Q1
8,filmgoers jharal subprotector nominalizing interregnal unsalvageable loiseleuria immunoassay immunoassay pertinaciously fleay lutes hydrodictyon outmerchant wrynesses infeoffing ronga belder kunk propontic nitro subramous nonevolutionist jarovize excerption hydrodictyon,,,,,,,,,,,,January,Q1
9,ionospheres numerative unbowel rewakes nontechnologically acronyctous nemorensian nitranilic aulostoma polyrhythmic actinomycete metascutal uninspiring abbotric quinces non defacers vodums loamy pessimistic electroed mycostat washout reinhard baggies holomorphism rhe gynura,,,,,,,,,,,,January,Q1
10,pseudoconglomeration guardant herschelian nonobsessional oxyhexaster trouvre mirepois dyspituitarism eurasiatic phaenogamic unimprovedness patand chemizo untemperamentally muggins reobligated mirepois superstrict startups dyspituitarism nonrepellence oxidic mournfullest,,,,,,,,,,,,January,Q1
11,capiatur bagroom oside inconstantly gommier spasmatic misteacher bagroom umbels bulbine infund vendibles tapalos tingled unannihilated regenesis poecile countercurrently salle dreamfully pleura multisector upmountain schooner phosphonuclease liter legman flannelly bestializing,,,,,,,,,,,,January,Q1
12,anagrammed unperfectedly rebukefully daunomycin scrumple argillocalcite arseniferous berendo valvelets ollie chidingness mazumas quim extemporaneously dandles resign pretortured paroarium aerolith litholyte doctrinalist trailmaker akmuddar semisupernaturally hematal joying,,,,,,,,,,,,January,Q1
13,carpium leant calculi batterman texture biolyses incolumity armigeri brawlsome trady concaves understratums districts uninwrapped sentinels understratums phoenicurous aristarch cotranspire extemporaneity pouchier unomnipotently outtongued endochondral barbara thomaean sentinels,,,,,,,,,,,,January,Q1
14,shakers stropped philanthropism dustheaps presbyters stormy wenchless quintroon uncuckold incidence solitarily bummle blotless twanglers teasy pensived gitonin contrapone villegiature elks gitonin stellionate splashers overthinly amusing inserts indults undisbarred acanthad,,,,,,,,,,,,January,Q1
15,neoteinic tequilla nondesisting popeling reattribute mesocaecum unmummified microcytic woodcracker unlikably nondesisting renomee frameworks subtermarine synthesizers zambezi marage specialer eupractic pustulant cokernut quietlike glycerizine outblowing ovisacs etrog pitris,,,,,,,,,,,,January,Q1
16,unreciprocating cicalas lackeys syncretic subrigidly iridectome berne scogie demarcating admissively syndeses syndeses cicalas homage skiorings pharmacopsychology aponogetonaceae broddle archpatriarch indivisibly piraya unarduously uncramped divinised supersecretiveness,,,,,,,,,,,,January,Q1
17,squattle hyperopic reedify heydey telluric hests redound hummocky fallowness fallowness hyperaccurateness retin handicraftswoman palaeoanthropus deforests ultrawise dendrolite shimonoseki antidisestablishmentarianism liberating hauranitic prestored deltidia stereoscopical,,,,,,,,,,,,January,Q1
18,hajis oversizing fishwives heterotaxic bulk genitorial ungibbet manis splenectomy automatons rashlike regression splenectomy molave nonsalably jager ophthalmite recompensed splenectomy anthracene miscues taxation praecipe elabor jager mechanists cerebellum cybele spat piacular,,,,,,,,,,,,January,Q1
19,paradoxicalism bulllike tyrolese dorsa dilettantism dorsa mirkly ondascope watercolors unrationalizing gunge aloes greenskeeper interannular minimized paddleball populationless niduli prenanthes helmetpod oltonde conodont spiritize couchings ungeneral populationless piquets,,,,,,,,,,,,January,Q1
20,hypersthenic hyperphosphorescence oxtail pastoralism harquebus rarefactional unstuffiness devitrified acinic nonarguable flueman archeostome inexactness nestiatria arteriectasis cosmonaut machair tracheloscapular harquebus pictorialise corruptibleness photophane omosternum,,,,,,,,,,,,January,Q1
21,relishing cycloparaffin flat majagga valeramide coalbag circumintestinal ungloweringly pantaloonery gazolyte bolty relishes voluspa trinervate enchalice brineman unfunnily uncompared ontologistic promythic warlockry piazin voluspa contemplators jerkier peregrine pinchable,,,,,,,,,,,,January,Q1
22,quadrilocular overlewdness wahabit controling anthemene birdhood hypocoristical disbenched chug incrementing welldoer leucotaxin christologist dihelium vespertilio hypocoristical wiresonde auxoblast molluscum andreas hydrothermally tingid fustianize celtophil hydroplatinocyanic,,,,,,,,,,,,January,Q1
23,glomeration vacuity splanchnoscopy addle talkings flosculose rewrite cylindromata farinometer outbirth infidel sheepmint nonnaturality sidebar turndun slowcoach gridirons engineman paratactically unrefusably dioestrus welts icteritous rearming unwinnable glomeration platypodia,,,,,,,,,,,,January,Q1
24,snowily quartersawing mobilises diadochokinesis uptosses petrolatum neurophil transportational actinometers forewarm fixation provokable suprafoliar unbeholding epiphanizing overjudiciously suckfishes undergirth orson demihaque bestorm kittenish diastrophically decanormal,,,,,,,,,,,,January,Q1
25,va reconcentrado hydropot hydrant nonresponsible upbeat hydrant bicetyl hoplomachos progeny calamitousness boldacious punkahs counters nonmodern hydrant nonsymphoniously mavericks perambulant pompano zoanthid regarded decalcomanias pompano triennium radiolucence quirites,,,,,,,,,,,,January,Q1
26,undeliberativeness assaulting lushness protochloride bowfront ascendants titanite chalcomenite unrevived sheathes bilgiest overheaps smerking titanite unauthenticalness sajous johannes norroway rings gown espressivo vinewise aberrating ousel unvaporized grassman burp ceroma,,,,,,,,,,,,January,Q1
27,propends admissively politicious rationalism comparatively peritrematous warbler athetized interscription cobras pogroming primordality disgig mussiness rappels lophiostomate oversorrowfully kokumingun anticholinergic unoecumenical trixie mycetophilidae dadap bunolophodont,,,,,,,,,,,,January,Q1
28,deliration astrophysicist disincorporation cursores vorticist footbridges kremersite unprivileged oligopsony venousness gonopodial schrank childishly unarguableness vorticist admonished embellishment stercorianism seignorize stercorianism unprivileged end schrank unaccustom,,,,,,,,,,,,January,Q1
29,unboraxed predonation unsatiate parallaxes forewent aspidistras megalogastria sellary crayon fairm untrustably docetist pyromotor stercoranism cantraip hermaphrodites hippuric corticose blowdown combaters unremounted monosulfonic horsecars stylitic fluxed lecanomantic,,,,,,,,,,,,January,Q1
30,cushlamochree waterfowls coaevals waterfowler dehumidifies pillmaker solitudinous vegetists nelumbium picknicker vegetists ectoderms confessedly investure shawlless septan braver sowl iconostasion mendee undrifting skysail abush defaced asphyxial stanches quadrated spiceable,,,,,,,,,,,,January,Q1
31,paruras torsioning meader donicker overdescriptively redes hom uniserially neutrino symbolise haussmannization precardiac halids slavicist empaneling overdignifiedness malay outfield liftless moraea acritude bordeaux vodums syphilidography weatherproofs unvital tinne unhobble,,,,,,,,,,,,January,Q1
32,uprearing cosmoplastic comique monodists grumps engraves zedoary scavengery khoja straightway nondisputatiously hemerobian semibull notify multitudinism moas amentaceous masterfulness enterozoan heterotopic stickit prefraternally succentor rhythmically tomium amalgamize,,,,,,,,,,,,January,Q1
33,outbeg fease haussmannize loudmouth fellers ctenodontidae resuspend racegoing jungleside ornithichnite anacondas stratagematist cogeneric apitong haussmannize settaine padauk hircarra curryfavel nonfraudulent branchiostomid prussine ankush aramaic irreligiosity recounts,,,,,,,,,,,,January,Q1
