Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
@eirikvg @ManUtd 😂🤣😂🤣 this is so ridiculous,43,2020-05-28 21:05:38,Twitter for iPhone,299,10,marcusrashford,1266113424649605120
... https://t.co/luSR3xI91Z,27,2020-05-28 19:00:04,Twitter for iPhone,37790,2121,marcusrashford,1266081826315087872
@Mike_Phelan_1 @ManUtd Maybe I spotted you taking the pic without me. That’s the only explanation for this look...🧐😆,116,2020-05-28 18:33:59,Twitter for iPhone,912,38,marcusrashford,1266075259616231426
"@Mike_Phelan_1 @ManUtd Ermmm, I think I understand why you didn’t post me...😫😫😫 https://t.co/iFmnIwcfKM",103,2020-05-28 18:30:17,Twitter for iPhone,1599,80,marcusrashford,1266074330745708545
@Mike_Phelan_1 @ManUtd 😆❤️ https://t.co/4vZ0fqj5nV,50,2020-05-28 18:29:06,Twitter for iPhone,1710,68,marcusrashford,1266074032727867393
"@ManUtd Erm, I’m starting to get offended 😳 where am I?? 😂🤣",59,2020-05-28 18:19:35,Twitter for iPhone,7603,294,marcusrashford,1266071637717331972
♥️ https://t.co/vRY6DorTbo,26,2020-05-28 18:13:42,Twitter for iPhone,2742,115,marcusrashford,1266070155492233221
@CiaranBBK @ManUtd 😳🤩,21,2020-05-28 12:36:40,Twitter for iPhone,414,6,marcusrashford,1265985338205442049
RT @CiaranBBK: @MarcusRashford @ManUtd 🤘🏽 https://t.co/JstJCDWmJe,65,2020-05-28 12:36:31,Twitter for iPhone,0,135,marcusrashford,1265985300150583299
RT @lukees08: @MarcusRashford @ManUtd We won the tournament and I got trophy for most goals https://t.co/OU7E6khhJZ,115,2020-05-28 12:35:24,Twitter for iPhone,0,10,marcusrashford,1265985022714089474
@TheMancRacket Nice moment,26,2020-05-28 12:35:18,Twitter for iPhone,31,0,marcusrashford,1265984997015552002
@hasanc_7 @ManUtd Yes you can,29,2020-05-28 12:34:59,Twitter for iPhone,33,1,marcusrashford,1265984917604839424
@AndrewNeill91 Oh my...😳,24,2020-05-28 12:34:53,Twitter for iPhone,45,0,marcusrashford,1265984891788972032
RT @Wormito: @MarcusRashford @ManUtd Doing the Windermere swim with my Brother-in-Law to raise money for kidney research. https://t.co/cPgb…,140,2020-05-28 12:34:30,Twitter for iPhone,0,5,marcusrashford,1265984793503825921
@gillyt202turner Brilliant,26,2020-05-28 12:34:13,Twitter for iPhone,58,1,marcusrashford,1265984724406861829
RT @gillyt202turner: @MarcusRashford @ManUtd Donated my long hair to be made into wigs for children (I donated 3 pony-tails)  I understand…,139,2020-05-28 12:34:06,Twitter for iPhone,0,4,marcusrashford,1265984692349788161
RT @Lewis_D_10: @MarcusRashford @ManUtd New signing Deadline day deal August 2014 ⚽😂💪 https://t.co/BYKrDdcGf1,109,2020-05-28 12:33:42,Twitter for iPhone,0,8,marcusrashford,1265984592156246016
@GreenGeordie9 Figure out what you love about the game and work hard at it. There will be ups and downs but as long as you’re doing something you love that’s all that matters,174,2020-05-28 12:33:12,Twitter for iPhone,144,10,marcusrashford,1265984466339745792
@katiethxmson Amazing,21,2020-05-28 12:32:22,Twitter for iPhone,90,2,marcusrashford,1265984256393822208
RT @katiethxmson: @MarcusRashford @ManUtd Here are my favourite pictures from 2014! When I shaved my head raising money for the Teenage Can…,140,2020-05-28 12:32:14,Twitter for iPhone,0,6,marcusrashford,1265984222264791040
"It’s Thursday and you know what that means...throwing it back, to 2014.

Everyone scroll through your Facebook gallery and share your best 2014 pic 👇🏾

I’ll share the best ones 😁 https://t.co/CVtxnhopZI",202,2020-05-28 09:59:11,Twitter for iPhone,19142,1143,marcusrashford,1265945706533191680
@JofraArcher 😂🤣,15,2020-05-27 19:39:50,Twitter for iPhone,83,1,marcusrashford,1265729447082196994
"@JofraArcher 😫😂 if it’s COD you’re after, let’s go",50,2020-05-27 19:21:12,Twitter for iPhone,90,1,marcusrashford,1265724755589685249
@rioferdy5 Thanks bro,21,2020-05-27 16:50:28,Twitter for iPhone,2319,29,marcusrashford,1265686822908198913
"@BigDaveSave @nikefootball @Nike I’m feeling good mate, thank you!",66,2020-05-27 16:40:41,Twitter for iPhone,429,11,marcusrashford,1265684361363558401
Feels great to have the ball at my feet again 🙏🏾⚽️ Weather isn’t too bad either ☀️ Hope you’ve all had a great day! https://t.co/SzJBIkV6ey,139,2020-05-27 16:38:16,Twitter for iPhone,23090,1468,marcusrashford,1265683753822715904
Love this @ManUtd 👏🏾♥️ https://t.co/Ho8weWUH9T,46,2020-05-27 12:09:47,Twitter for iPhone,29331,2629,marcusrashford,1265616187356000256
♥️ https://t.co/jYjHE6X6Mq,26,2020-05-27 08:51:33,Twitter for iPhone,6481,300,marcusrashford,1265566297313730563
"RT @BBCNorthPR: Meet your new #CelebritySupplyTeacher! 🎓

🇪🇸 Spanish with @GaryLineker 
⚽️ PE with @MarcusRashford
✍ English with @GeriHall…",140,2020-05-27 08:45:25,Twitter for iPhone,0,36,marcusrashford,1265564756003389440
On this day in 2016...❤️ https://t.co/wIPUq9VE1d,48,2020-05-27 07:50:39,Twitter for iPhone,25462,1348,marcusrashford,1265550971817648129
@RexChapman @JofraArcher ♥️,27,2020-05-25 18:49:59,Twitter for iPhone,230,4,marcusrashford,1264992123172126720
"And we won’t stop until children and their parents no longer have to worry about where their next meal is coming from. I appreciate you all, thank you to the High Sheriff of Greater Manchester (4)",196,2020-05-25 18:44:17,Twitter for iPhone,2985,177,marcusrashford,1264990689550635011
"To be recognised by my city is a great feeling. From being young I knew that if I ever got in a position that I could help I would and I’m so proud of what we’ve achieved so far. Thank you all, you’re all superstars 🤩♥️ (3)",223,2020-05-25 18:42:37,Twitter for iPhone,3517,178,marcusrashford,1264990269725868034
2.8million children a week are receiving meals they otherwise wouldn’t have during this lockdown because of YOUR help. I couldn’t have done any of this without the help of you all and @fareshare (2),198,2020-05-25 18:41:10,Twitter for iPhone,2551,199,marcusrashford,1264989907052826627
"Wouldn’t normally share these types of things but this certificate is not just for me, it belongs to you all. Each and every one of you that has contributed the few £s you can, you’ve all made a huge difference (1) https://t.co/tyTg3hOKze",238,2020-05-25 18:40:59,Twitter for iPhone,26057,2167,marcusrashford,1264989857622999043
@ManUtd 😎🤩,10,2020-05-25 18:03:22,Twitter for iPhone,1737,35,marcusrashford,1264980394048458759
♥️ https://t.co/k0lno5JQcz,26,2020-05-25 17:57:31,Twitter for iPhone,2391,124,marcusrashford,1264978921910603778
One of my first modelling jobs as a kid 🤣 check out the eyebrow 😫😂 https://t.co/YDCzLG0PD9,90,2020-05-25 12:14:28,Twitter for iPhone,6434,252,marcusrashford,1264892587309178880
"For anyone that watched my @GQMagazine piece, mum just sent me the back of the @KelloggsUKI cereal box 🤣🤩 I was so excited to get this job cos it meant I could take my friends to any swimming bath in Manchester for free 😁 https://t.co/K2ooF8htAJ",245,2020-05-25 11:58:53,Twitter for iPhone,4572,211,marcusrashford,1264888667660857344
@ManUtd KING,12,2020-05-24 09:56:07,Twitter for iPhone,8544,244,marcusrashford,1264495385533452288
@gillymelvinbear @ManUtd Great shirt Mason! Hope you had the best birthday ♥️,77,2020-05-23 20:00:26,Twitter for iPhone,1789,30,marcusrashford,1264285079611879425
@ewere247 Happy birthday buddy ♥️,33,2020-05-23 19:59:54,Twitter for iPhone,13,2,marcusrashford,1264284943515082759
"RT @ManUtd: Wishing a happy and peaceful feast to everyone celebrating around the world! 😁

#EidMubarak https://t.co/ytd0tJUIeo",127,2020-05-23 19:48:02,Twitter for iPhone,0,11575,marcusrashford,1264281956654735363
@EliteLabile Relaxxxx! I appreciate you,39,2020-05-22 19:42:47,Twitter for iPhone,388,15,marcusrashford,1263918247436574720
@Chris8698_ @UtdLew Leave him alone Chris. Thanks for the message Lewis 💪🏾,74,2020-05-22 19:36:44,Twitter for iPhone,178,7,marcusrashford,1263916726703534080
