Tweets,Month,Quarter,sampling
"The Extremely Important and Well-Researched ""Selfie of the Century"" was just released by the Obama Administration. It really is a masterpiece of sleaze. I cannot believe that the Obama Administration has not been",January,Q1,20
"The Minnesota Vikings and quarterback Teddy Bridgewater have reached a one-year contract extension through the 2017 season, the team announced today.
Bridgewater was the NFL's Offensive Player of the Year in 2016 and will receive a $",January,Q1,20
"SOUTHAMPTON, Mass. -- There were times during the Celtics' 105-94 victory over the Miami Heat Sunday when nobody could have predicted what Boston would do offensively. With Dwyane Wade out with a hamstring",January,Q1,20
St. Louis Rams Pro Bowler running back Todd Gurley suffered a broken foot in Sunday's loss to the Green Bay Packers and did not return to the game. He will likely miss a few weeks in order to heal up,January,Q1,20
"Now that the dust has settled from yesterday's presidential debate, I wanted to take a moment to recognize the many individuals and groups that made last night's event such a success. From the first person standing up to deliver the National",January,Q1,20
"2016 was a historic year for the booming American automobile industry. In fact, it was pretty much the year the auto industry was started all over the world.
The Trillion Dollar Question
Exactly how big a Trillion Dollar",January,Q1,20
"Is there a special place in hell for Donald J. Trump?
The Democrat party is in total disarray. They are in complete chaos!
The Democrats have completely given up on the Black vote. For the first time",January,Q1,20
It should be noted that the FBI Director who was fired by President Trump recently sent a letter to Congress in which he said that the FBI is doing a great [sic] job. However I must warn that a new Comey —,January,Q1,20
"Senator Bernie Sanders is now one of only four senators to vote against the Patriot Act. Other Senators have been very critical. No wonder Bernie is not doing well with the Democratic base!
At 11:00 AM on @Fox",January,Q1,20
"The Deputy Chief Executive Officer of Subway has resigned after being caught on a secretly recorded phone discussing how to help a convicted sex offender move around the country.
The illegal extortion was exposed by the Washington Examiner when they broke the story",January,Q1,20
"If you are having difficulty accessing certain websites, please try again later. Thank you.
Thank you for your interest in the National Endowment for the Humanities. I look forward to continuing to work with you!
�",January,Q1,20
"Another House Republican has broken with the party and publicly stated that he does not support the GOP Obamacare replacement.
A very good man. Another sign that the Radical Left Do Nothing Democrats are NOT IN CONTROL. With them gone we",January,Q1,20
"The Tragedy of the Commons

The Tragedy of the Commons

Dear Mr. President:
Thank you for your kind words on the terrible hate crime in Minneapolis. It is unacceptable that people of color",January,Q1,20
"http://tvtropes.org/pmwiki/pmwiki.php/Main/CrazyForTheCommonMan

Say what you will about President Trump, he is a great fighter for the common man.

That",January,Q1,20
"A brief summary of what happened in the 2016 presidential race.

On August 19th 2016 the House voted 264 to 206 to gut the Impeachment Statute and place the Justice Department in charge of the Russia Hoax",January,Q1,20
"A new report by the Center for American Progress finds that President Trump's approval rating is at a historic high.


That means more Americans are participating in the political process than at any time in modern history.

“",January,Q1,20
The price of oil is at its lowest level in five years and is now below $57 a barrel. How does this happen? The answer is that OPEC and the U.S. — and many others around the world —,January,Q1,20
"There's a kernel of truth to the claim that we have to spend money to get economic growth. The last few years have been some of the best and most successful periods in U.S. economic history.
UNITED",January,Q1,20
"The Supreme Court of Canada has ruled that Canadian citizens can sue China if it is found to be committing human rights abuses. This is a huge victory for human rights in Canada.
A new poll by Moncton – which",January,Q1,20
Congressman John Katko (D-PA) released the following statement on the tragic news that @WFTV Staffing Producer Jasmine DeBerry has passed away. Jasmine was a valued member of our WFTV Family,January,Q1,20
In the last few years I have seen a rise in the number of people coming to me for help. Many of these folks do not even know who I am or what I can do for them. Many have never even heard,January,Q1,20
"Dell XPS 13 with Touch Bar Review – Performance, Battery Life and Others
I was very happy to find that my very own Dell XPS 13 with Touch Bar has been selected for me to review. This is not",January,Q1,20
The second day of the first Congressional hearing of the year is on. It's not going to be easy for either the Director of National Intelligence or the Chairman of the House Intelligence Committee. It's going to be a long day,January,Q1,20
"The following is an interview that I conducted with Senator Lindsey Graham about the incredible progress being made by the American People on Healthcare.
I just had a very good conversation with my friend and Senator from South Carolina @Maria Cantwell",January,Q1,20
"Veteran journalist Seymour Hersh has a major scoop. He is a man with guts and a proven track record. He is working hard for our people.
“I don’t think they know how big this",January,Q1,20
The 2nd Amendment is under serious attack in the Democrat dominated Senate. They want to take your guns. They don’t understand we have had zero problems with criminals getting into the country recently. I will always stand with,January,Q1,20
"A couple of weeks ago I posted a picture of my dog a Greyhounds collar . It was so beautiful I had to share it.
The Fake News is saying that I called the Mayor of Chicago one of his biggest",January,Q1,20
"The Tennessee Republican Party denied a request from the St. Louis Post Dispatch for help in getting out the vote for the Republican National Convention.
Trump in St. Louis: 'I Heard They Were Tear Gas'd'
",January,Q1,20
"ANDRÉS!
“The White House made a mistake by not calling for the impeachment of President Trump.” @FoxNews  They were right. The American people are strong and they WILL NOT be silenced",January,Q1,20
"The National Weather Service in Norman Oklahoma, has issued a storm watch for the entire state of Oklahoma.
The National Weather Service in Norman Oklahoma, has issued a storm watch for the entire state of Oklahoma.
Please share this",January,Q1,20
"The curtain is finally coming down on the very expensive Doctor Who Christmas special.
The Christmas special was being written and had great ratings and was being written up and down the BBC with great ratings. Is there a problem or did",January,Q1,20
"The Department of Homeland Security has been found to be actively suppressing free speech.
The Department of Homeland Security has been found to be actively suppressing free speech.
The White House has just named a director who had advocated for the",January,Q1,20
"Russia is trying to sell the idea that it can take care of itself. It cannot. The United States must lead the way. Together we will keep America SAFE and GREAT!

A big thank you to our great",January,Q1,20
"The term ""daytona 500"" is now synonymous with the largest single day in the life of a major U.S. city. With over 43 million people in attendance, it was the largest single day in the history",January,Q1,20
"There are some things that no politician ever talks about.
Thank you so much to our amazing police departments! #WHiSA
Great news! My Administration is now reviewing and revising my controversial executive order on travel from",January,Q1,20
"Pardon me, but I think we can all agree that the biggest threat to the Second Amendment is Radical Left Democrat Governor Cuomo. He has allowed dangerously high crime and despair to tear our communities apart. He has allowed the gangs",January,Q1,20
"The UK is doing everything in its power to defeat Daesh (ISIL) and other radical Salafists. We will not allow ISIL to threaten the very fabric of our very safe and secure civilization!
Thank you for all",January,Q1,20
"The private sector is the engine of growth in our economy and we need all sectors to work together. Our economy is stronger now than it has ever been since the turn of the century.
I meet with a large group of",January,Q1,20
"The Australian federal government has released the names of two men who it says have been arrested in connection with a massive cyber-espionage operation.
The operation was far reaching and included the leaking of highly sensitive communications from the United",January,Q1,20
It was the worst hour of my life. I was at the White House talking about the economy and they cut me off when I was about to say that AG Lynch has asked for your help in getting back to the White House,January,Q1,20
"The US House on Tuesday voted overwhelmingly to defund President Trump's controversial travel ban targeting seven predominantly Muslim nations.
The vote came after the Senate voted 42-39 to spare the president.
Democrats in the House loud and clear",January,Q1,20
"This is a rush transcript. Copy may not be in its final form.

AMY GOODMAN: Earlier today hundreds of immigrants from Central America and the Caribbean flooded into the United States in search of better lives. Thousands of them",January,Q1,20
"THE Land Down Under is crumbling fast.
The Land Down Under is about to be totally destroyed by the El Nino phenomenon. The USA has had TWO El Ninos in the past 5 years. Many say it is not",January,Q1,20
"The UN Security Council is poised to pass a new resolution calling on Iran to halt its alleged ballistic missile program and instead focus on developing an atomic weapon.
Iranian officials have repeatedly stated that they will not halt their ballistic missile",January,Q1,20
"New Delhi: Home Minister Rajnath Singh on Friday asked the Union Ministry of Home Affairs to intervene in the demonetisation issue as it is a matter of national importance.
He said that even as the Centre is now",January,Q1,20
"Great news!

Many states are now reporting that the largest ever heroin and fentanyl-related deaths have been reported in Michigan.
700+ odd extra doses of heroin and fentanyl have been found. Big news!
The",January,Q1,20
"Argentina 2-0 Chile on Sunday (10:00 pm ET; Univision, UniMás and Telemundo) as the two nations meet for the first time in a World Cup qualifying match. The United",January,Q1,20
"The following is a guest post by Dr. Samuel Francis-Williams of the University of Exeter.
The Russian Emergency is the biggest since the Great Depression. There are 600,000 Russian troops still in Ukraine. They are",January,Q1,20
"As I prepare for my first permanent speech at the National Press Club as President Trump's national security advisor, I am so honored and humbled to be...
....representing all Americans from coast to coast. Thank you to",January,Q1,20
"This recently released poll reveals that Donald Trump is doing extremely well against Hillary Clinton in the upcoming general election.
The only thing she has going is her bad judgement!
Great work @RonaldFlynn!
I will",January,Q1,20
The following is a guest post from University of North Carolina at Chapel Hill senior/Political Science Professor Jack C. Woodward. He is the author of The Unquiet Majority: The Conservative Movement and Political Revolution Since the Election of Donald,January,Q1,20
"In 1996, I came to Washington from Los Angeles with the mission to make America great again.
And now?
THE ESTABLISHMENT IN WASHINGTON OF THE GREAT AMERICAN FREE PRESS HAS BECOME A",January,Q1,20
"The U.S. Navy has agreed to spend $66 million on a new radar that could potentially detect Chinese submarines if they are in the area.
HAPPY MEMORIAL DAY!
USPACOM is moving",January,Q1,20
"The Supreme Court action will be the end of the Trump family. Big day for the people! #MAGA
Supreme Court Takes Down Massive Red Tape for American Construction Industry. Big day for hardworking Americans!
Republicans",January,Q1,20
