Tweets,Month,Quarter,sampling
"Will Smith and Elliot Rodger were crazy and they deserved what they got. They should never have gotten them in the first place. This is the type of people will get what they deserve!
I will be making a major",January,Q1,46
"I'm working on something!
The Federal Reserve is a joke!
The Federal Reserve is a joke!
Great!
Great news for coal miners!
Thank you @McHenry. A great Senator and I will",January,Q1,46
"AUSTIN — A federal appeals court on Monday denied a request by Texas to immediately restore voting hours to millions of people who could not vote because of the deadly storms.
Texas Department of State Health Services and Health Services Organizations",January,Q1,46
"The President of the United States has given his all to defeat Radical Islamic Terrorism.
The Radical Islamic Terrorism we are fighting is a response to the hateful rhetoric coming out of San Bernadino. There is no place for this",January,Q1,46
"If you have been playing Guild Wars 2 for any length of time you have probably come across the term ""Death Knight"" or ""Death Knight Ranks"" or some variation thereof. These ranks are mostly used to denote that a",January,Q1,46
"This is a conversation between a guy with too much time on his hands and a cuddly cat .
.@FoxNews is now the most watched cable news channel in the United States. Big ratings boost for them this",January,Q1,46
"It is with great sadness and anxiety that I inform you that my beloved husband and I are passing away peacefully in our home of CoronaVera in Colorado. He will be greatly missed. God be with his family.

",January,Q1,46
"A group of former Marine and Navy SEALs has launched a fund to help victims of the Las Vegas shootings.
Jesus Save The Children is a joint initiative between the Christian nonprofit and the Christian relief organization Partners in Christ.
",January,Q1,46
It is my great honor to launch the #MAGA Bus Tour. Join me on Wednesday March 4th at the @WhiteHouse to hear Dr. Peter Brimelow and others explain why the U.S. should,January,Q1,46
"The Trump Administration on Wednesday proposed $36.8 billion in stimulus spending -- the largest ever by the White House.
It was the biggest Federal spending increase in US history.
Manufacturing is back 100% or more!",January,Q1,46
The President of the United States is going to be in Florida this weekend. He is supposed to be there to celebrate with all of our Great Americans. Instead he is being treated very unfairly by the Fake News Media which he and,January,Q1,46
The House Intelligence Committee has been informed of new information regarding the Obama Administration's unlawful and illegal spying on the Trump Campaign. This includes the 'unmasking' of the President of the United States. The American people should demand,January,Q1,46
"The Long Dark is upon us!
We are now in the 5th week of December and the Dow has reached all time highs of 23,903.00.
THE GOLD RUSH HAS BECOME THE HIGH",January,Q1,46
"To better understand the extent of sexual violence committed against women and girls in our society, a special film entitled ""Zero Dark Thirty"" has just been released. The film documents the massive and systematic harvesting of innocent life in order to",January,Q1,46
"This article is from the archive of our partner .
It was reported that the FBI was investigating the possibility that the Trump campaign colluded with Russia in an effort to win the 2016 Presidential Election. However I don’t",January,Q1,46
"The irony is that the very people who are demanding accountability from the VA are the very groups that are saying that the only way the VA can survive is to bring in more consultants.
If you have been following the story about",January,Q1,46
"AUSTIN, Texas—In a stunning turn of events, Attorney General Ken Paxton made a startling admission late Thursday night that casts a dark cloud over one of the finest political dynasties in Texas history. ""I",January,Q1,46
The Carolina Panthers are going all in on free agency this offseason and it starts with the quarterback position. With rookie Josh McCown leading the way the team is committed to building its roster around him. He is under contract through the,January,Q1,46
"Things got interesting.
This is a very real possibility. If it happens I hope the President is very careful &amp; vigilant in his response.
So much pain and tragedy is happening all around us. Everyone working together",January,Q1,46
"The 1% are not happy with you. They know what you have been up to. They are after your very life!
The people that know nothing about the World either don’t know what they’re",January,Q1,46
"Sons of Liberty is a kind of cancer. It will die soon and will rise again to do good. The only way to stop it is to put America First and to vote for someone who will!
Crazy Bernie",January,Q1,46
The Big Bang Theory star Patrick Dempsey has landed a recurring role on CBS' @Galaxy. He will guest-star next week on @The View. He is the son of legendary football player and baseball player Joe Dempsey.,January,Q1,46
"Smeargarden had a really bad night.
I have just ordered more lumber from China and they will be delivering it on time. If that doesn’t work out really badly!
I have just ordered more",January,Q1,46
"After a record-setting fourth quarter, Apple's (AAPL) stock is up nearly 14% so far in 2017. Is this good news? It is not.
I am proud to announce that we are expanding",January,Q1,46
"I don't know about you, but I feel like we're in a new low right now with everything going down in the world. And I don't know what to think!
I agree!
I agree!
",January,Q1,46
"I had a great time at @UConn yesterday. Thank you to our great student-athletes!
My two great brothers and sisters. Great times ahead!
I will be making an emergency visit to the Great State",January,Q1,46
"The following is a guest post written by Brian M. Tierney, Professor of Economics at the University of Missouri at Kansas City.
There have been many comments made by Republican Presidential candidates and commentators lately about the almost complete inaction",January,Q1,46
"Penalty for using social media to spread hoaxes: two years in jail and a $1.5m fine.
Congress must immediately approve a $1.3 million fine to United States Airways to be split equally between",January,Q1,46
"By David Lassiter

WASHINGTON (Reuters) - Democratic presidential hopeful Bernie Sanders on Tuesday defended his stance on expanding Social Security and Medicare, saying he would not be able to do them without raising taxes.
The Independent",January,Q1,46
