Source,Tweets,Date,RTs,Favourites,isRT,id_str,tco,Language,Month,Quarter
Twitter for iPhone,.@CNN doesn’t want to speak about their persecution of General Michael Flynn &amp; why they got the story so wrong. They along with others should pay a big price for what they have purposely done to this man &amp; his family. They won’t even cover the big breaking news about this scam!,2020-04-30 3:52,43003,147321,FALSE,1.26E+18,,en,April,Q2
Twitter for iPhone,,2020-04-30 3:11,16121,53994,FALSE,1.26E+18,https://t.co/xCzgk5yoUK,en,April,Q2
Twitter for iPhone,Happy Birthday to three time Olympian and five term Congressman @JimRyun!,2020-04-30 0:52,7739,48702,FALSE,1.26E+18,,en,April,Q2
Twitter for iPhone,,2020-04-30 0:36,27486,82666,FALSE,1.26E+18,https://t.co/FH26OaIh2b,en,April,Q2
Twitter for iPhone,,2020-04-30 0:34,29222,82066,FALSE,1.26E+18,https://t.co/efAolmZvuW,en,April,Q2
Twitter for iPhone,No I think Amash would make a wonderful candidate especially since he is way behind in his district and has no chance of maintaining his Congressional seat. He almost always votes for the Do Nothing Dems anyway. I like him even more than Jill Stein!,2020-04-29 14:55,14918,61681,FALSE,1.26E+18,https://t.co/V8kutnfvIj,en,April,Q2
Twitter for iPhone,THANK YOU @MarkLevinShow!,2020-04-29 14:42,22235,69405,FALSE,1.26E+18,https://t.co/GJSNM0LUQH,en,April,Q2
Twitter for iPhone,At least they admit it. The Failing @nytimes &amp; @washingtonpost never correct their Fake Reporting!,2020-04-29 13:09,22881,73818,FALSE,1.26E+18,https://t.co/3aUKA4826K,en,April,Q2
Twitter for iPhone,The only reason the U.S. has reported one million cases of CoronaVirus is that our Testing is sooo much better than any other country in the World. Other countries are way behind us in Testing and therefore show far fewer cases!,2020-04-29 4:23,42748,255133,FALSE,1.26E+18,,en,April,Q2
Twitter for iPhone,THANK YOU MICHAEL! @bittyandbeaus,2020-04-29 2:39,17368,78378,FALSE,1.26E+18,https://t.co/KVXVcdO79E,en,April,Q2
Twitter for iPhone,,2020-04-28 20:24,21136,89184,FALSE,1.26E+18,https://t.co/shcVSYZmuY,en,April,Q2
Twitter for iPhone,,2020-04-28 20:14,13623,62305,FALSE,1.26E+18,https://t.co/9YNWvhqCk7,en,April,Q2
Twitter for iPhone,Thank you @BlueAngels and @AFThunderbirds! #AmericaStrong,2020-04-28 14:43,12823,50261,FALSE,1.26E+18,https://t.co/oZyFJBT90h,en,April,Q2
