Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
defund bang energy,18,2020-06-10 01:55:59,Twitter for iPhone,63,6,sallydarr,1270535147713114114
can the Republican Party just dip like the Whigs or something I’m so tired of it,80,2020-06-09 19:27:53,Twitter for iPhone,64,2,sallydarr,1270437480978952195
RT @neal_thatdude: Now I be like “oh fuck i forgot my mask” like im spiderman or something,90,2020-06-09 19:18:22,Twitter for iPhone,0,218066,sallydarr,1270435084651372544
@mmg721 The craziest thing I would have placed a bet on him going first,71,2020-06-09 19:17:16,Twitter for iPhone,2,0,sallydarr,1270434809320538114
RT @rorycooper: I honestly was not expecting the president to go with ‘the old man bleeding out of his head on the sidewalk in Buffalo had…,139,2020-06-09 16:10:46,Twitter for iPhone,0,31552,sallydarr,1270387875629203460
shouldn’t you like it then I’m confused https://t.co/79uConBZyG,63,2020-06-09 14:46:07,Twitter for iPhone,110,11,sallydarr,1270366571530260480
THIS IS INSANE WHAT https://t.co/JqQE2Jii1f,43,2020-06-09 14:43:41,Twitter for iPhone,57,7,sallydarr,1270365957924556800
@kirxtennx Yes send me the details sounds ideal,47,2020-06-09 02:44:49,Twitter for iPhone,1,0,sallydarr,1270185049619607553
@AbbySkelton7 @YouTube 🥺💕✨,26,2020-06-09 02:24:10,Twitter for iPhone,1,0,sallydarr,1270179852491067394
@ChaseM3IfYouCan @tiktok_us like this,37,2020-06-09 02:23:06,Twitter for iPhone,1,0,sallydarr,1270179586459029506
@sethreineke @matt__enloe hi thanks 4 days late but thank you,61,2020-06-09 02:22:22,Twitter for iPhone,1,0,sallydarr,1270179402102513668
@BufferOnYT yes I’m watching the tell all of 90 day fiancé,58,2020-06-09 02:21:17,Twitter for iPhone,4,0,sallydarr,1270179125945413633
@CamSoupOfficial OMG this bring up some feelings but thank you I love it,72,2020-06-08 18:38:34,Twitter for iPhone,1,0,sallydarr,1270062681538678789
@socialtwerkerr HAHAHA omg hahahaba,35,2020-06-08 16:50:53,Twitter for iPhone,5,0,sallydarr,1270035582480257024
her voice is annoying and she has a fat ass that’s why https://t.co/hJScfNda1U,78,2020-06-08 16:45:47,Twitter for iPhone,116,1,sallydarr,1270034299014782978
@FruitByTheFoot felt,20,2020-06-07 04:17:24,Twitter for iPhone,0,0,sallydarr,1269483575520432128
yessomoist yessojustice https://t.co/pRyuZiKerp,47,2020-06-07 03:11:15,Twitter for iPhone,54,3,sallydarr,1269466926142504961
RT @schmidtsam7: Black Lives Matter organizers are painting “Defund the Police” in yellow paint on 16th Street right now https://t.co/62zFM…,140,2020-06-07 03:08:27,Twitter for iPhone,0,11774,sallydarr,1269466220715180032
he’s gone now off to defy curfew peacefully 😌✨,46,2020-06-07 02:11:22,Twitter for iPhone,15,0,sallydarr,1269451856604004357
omg this man leading the protests in NYC on CNN I stan!!!!! who is he!!!!!!!!,77,2020-06-07 02:09:28,Twitter for iPhone,24,0,sallydarr,1269451376456871938
RT @MargaretKCrane: if you were a hot girl for Bernie and you’re not a hot girl for defunding the police than you were not hot in the first…,140,2020-06-07 00:50:57,Twitter for iPhone,0,21098,sallydarr,1269431616847347713
if you link your only fans to raise money then maybe but otherwise,66,2020-06-07 00:46:14,Twitter for iPhone,29,0,sallydarr,1269430430064836609
@carathegreatt sadly no,23,2020-06-07 00:44:40,Twitter for iPhone,0,0,sallydarr,1269430036148477953
okay so what we’re not gonna do is post a thirst trap with an MLK quote in the caption,86,2020-06-07 00:32:33,Twitter for iPhone,130,12,sallydarr,1269426986730106886
I swear to god Drew you better tell him to fuck off I won’t have him in The Who Dat Nation https://t.co/zk4v8Qy4yk,114,2020-06-06 22:53:35,Twitter for iPhone,26,1,sallydarr,1269402083301744641
"RT @kumailn: Are they applauding their colleagues for assaulting a 75 year old man, or are they applauding themselves for walking over him…",139,2020-06-06 21:42:09,Twitter for iPhone,0,37049,sallydarr,1269384106170888193
"me:

King of Staten Island: Our movie starring Pete Davidson will forever remind you of this week in history because we had commercials between news coverage of the protests",173,2020-06-06 21:38:13,Twitter for iPhone,43,0,sallydarr,1269383117141352451
girls that posted photos of themselves drinking white claws this week and were shamed into archiving them and posted black squares have started to unarchive them I—,164,2020-06-06 18:40:01,Twitter for iPhone,71,4,sallydarr,1269338270191812608
sorry guys I’m just always shocked when couples like this exist,63,2020-06-06 15:22:03,Twitter for iPhone,31,0,sallydarr,1269288451855323142
it’s actually crazy how you don’t have to have sex with people who don’t think systemic racism exists,101,2020-06-06 15:12:48,Twitter for iPhone,106,7,sallydarr,1269286123253256193
"RT @Unicaa_Quezada: RELEASE ALL BLACK PEOPLE HELD IN JAIL FOR MINOR CHARGES W MARIJUANA 
IM TIRED OF WATCHING WHITE PPL COOK W CANNABIS WHE…",140,2020-06-06 15:10:27,Twitter for iPhone,0,82371,sallydarr,1269285531898335232
RT @sdellag: How are you gonna say All Lives Matter when just two months ago you wanted to sacrifice your grandma for the economy?,130,2020-06-06 15:06:53,Twitter for iPhone,0,189570,sallydarr,1269284632358420480
🤞🏻🤞🏻🤞🏻Steven give me money to donate https://t.co/WIL9iN20q3,60,2020-06-06 06:15:07,Twitter for iPhone,80,1,sallydarr,1269150812187607040
@nizzypwright Omg bae 😌💕✨ I can’t live in Europe because they don’t give you ice at restaurants 🤕,97,2020-06-06 06:10:32,Twitter for iPhone,4,0,sallydarr,1269149658447781894
@xtineogle wtf sknsdjnfjekemsjxzjnsnd,37,2020-06-06 04:54:27,Twitter for iPhone,1,0,sallydarr,1269130510489485312
