source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,.@CNN doesn’t want to speak about their persecution of General Michael Flynn &amp; why they got the story so wrong. They along with others should pay a big price for what they have purposely done to this man &amp; his family. They won’t even cover the big breaking news about this scam!,04-30-2020 03:52:46,43003,147321,false,1255706636972363776
Twitter for iPhone,https://t.co/xCzgk5yoUK,04-30-2020 03:11:27,16121,53994,false,1255696235970940934
Twitter for iPhone,RT @GenFlynn: https://t.co/Q833u4Is8h,04-30-2020 00:54:03,64889,0,true,1255661661886844928
Twitter for iPhone,RT @realDonaldTrump: https://t.co/FH26OaIh2b,04-30-2020 00:53:12,20309,0,true,1255661445091667969
Twitter for iPhone,RT @realDonaldTrump: https://t.co/efAolmZvuW,04-30-2020 00:53:10,19852,0,true,1255661439488004098
Twitter for iPhone,Happy Birthday to three time Olympian and five term Congressman @JimRyun!,04-30-2020 00:52:36,7739,48702,false,1255661296047067138
Twitter for iPhone,RT @GenFlynn: https://t.co/Q833u4Is8h,04-30-2020 00:38:23,64284,0,true,1255657718804819969
Twitter for iPhone,https://t.co/FH26OaIh2b,04-30-2020 00:36:26,27486,82666,false,1255657225659523072
Twitter for iPhone,https://t.co/efAolmZvuW,04-30-2020 00:34:07,29222,82066,false,1255656645759246341
Twitter for iPhone,RT @WhiteHouse: LIVE: POTUS holds a roundtable with industry executives https://t.co/X6DquRgsl3,04-29-2020 20:19:43,8434,0,true,1255592621487067137
Twitter for iPhone,RT @WhiteHouse: Our nation has ample supply of food—and President @realDonaldTrump is clearing the bottleneck and ensuring that our farmers…,04-29-2020 20:17:16,12390,0,true,1255592005708767241
Twitter for iPhone,RT @LouisianaGov: Brighter days are ahead for Louisiana and by working together with our federal officials I know we will get through this…,04-29-2020 20:16:34,5323,0,true,1255591828117753857
Twitter for iPhone,RT @LouisianaGov: I again want to thank @realDonaldTrump and @VP for supporting the people of Louisiana during this difficult time. We had…,04-29-2020 20:16:31,6647,0,true,1255591814993764352
Twitter for iPhone,RT @MeatInstitute: "We are grateful to @realDonaldTrump for protecting our nation’s food supply" said @MeatInstitute Pres. &amp; CEO Julie Ann…,04-29-2020 18:03:36,7324,0,true,1255558366455365634
Twitter for iPhone,No I think Amash would make a wonderful candidate especially since he is way behind in his district and has no chance of maintaining his Congressional seat. He almost always votes for the Do Nothing Dems anyway. I like him even more than Jill Stein! https://t.co/V8kutnfvIj,04-29-2020 14:55:22,14918,61681,false,1255510996623527936
Twitter for iPhone,THANK YOU @MarkLevinShow! https://t.co/GJSNM0LUQH,04-29-2020 14:42:56,22235,69405,false,1255507868280856581
Twitter for iPhone,RT @TrumpWarRoom: Yahoo reporter apologizes to President Trump after making false coronavirus test claim in Oval Office meeting https://t.…,04-29-2020 13:13:23,10360,0,true,1255485332339990528
Twitter for iPhone,At least they admit it. The Failing @nytimes &amp; @washingtonpost never correct their Fake Reporting! https://t.co/3aUKA4826K,04-29-2020 13:09:39,22881,73818,false,1255484391364665351
Twitter for iPhone,RT @ErinMPerrine: 🚨🚨 TUNE IN NOW 🚨🚨Tonight’s @TeamTrump Online! has two of the best —&gt; @LaraLeaTrump &amp; @kevinomccarthy talking about Slee…,04-29-2020 13:02:42,4376,0,true,1255482641245188108
Twitter for iPhone,RT @TeamTrump: WATCH: Team Trump Online with @LaraLeaTrump and House GOP Leader @KevinMcCarthy! #TeamTrumpText TRUMP to 88022 https://t.c…,04-29-2020 13:02:35,4268,0,true,1255482613927739393
