Tweets,Month,Quarter,sampling
"We are a small family run business with incredible employees who love their neighbors!
I am very disappointed in Senator @RandPaul for abruptly canceling a town hall yesterday. I had a great time with him yesterday so why not",January,Q1,24
The other day I got a really cool drum set from my friend Jake from the Drumline Collective! The set is in great condition and Jake is super nice. He has a really cool sound and I am looking forward to hearing,January,Q1,24
"Only 2% of the total U.S. jobs are created in this country. We must revitalize our economy and create many high paying manufacturing jobs. Republicans will never let this happen!

We are now at 225",January,Q1,24
"This is a conversation between a buttoned-down retired accountant and a cranky old man .
A buttoned-down retired accountant and a cranky old man have left the conversation.
A buttoned-down retired",January,Q1,24
The United States has accepted a request from China regarding a computer virus threat that targeted the financial sector of the People's Republic. The threat was detected and promptly contained. The United States will continue to monitor the threat and work closely,January,Q1,24
"The White House is weighing an expanded role for the National Security Council (NSC), which has been criticized for being too small and lacking independence.
“We are looking at expanding the role of the National Security Council.",January,Q1,24
"Quote


Well anyone who has been following the situation closely knows that this is not meant to be a criticism of the Police Department. I am just wondering if you would consider this a good move by the Mayor to put together",January,Q1,24
"Having trouble viewing the video? Try disabling any ad blocking extensions currently running on your browser.
We all know that the Democrats people getting killed in the election were the Failing New Orleans area Democrats. This is what they said",January,Q1,24
Virtually every major professional sports team in the USA has a terrible record when it comes to treating their players fairly and providing for their health. This is a national scandal and it is being allowed to fester by the mainstream,January,Q1,24
"The Minnesota Vikings have agreed to terms with tight end Kyle Rudolph on a one-year contract, it was announced today by the Vikings.
“Rudolph signed a one-year deal.” @AndrewF",January,Q1,24
"NOTICE: Activation key must be used on a valid and registered XBOX LIVE GOLD SERVER or later. Requires internet connection.
""He is a man of honor and integrity. I cannot recommend him highly enough!""",January,Q1,24
Yesterday I had the pleasure of traveling to Tokyo for the World Expo. While I was there I had the honor of meeting with Prime Minister Abe. We discussed the Z50 economic alliance and the huge potential for cooperation in the areas,January,Q1,24
"Another day, another Trump-Russia Scam!
So many coincidences!
When are the Republicans going to stop with their Dem Party Ruling Class Racket and get out of the way so that we can have a",January,Q1,24
After a difficult couple of weeks with the horrible weather we have been having I want to thank and wish to offer thanks to the American people for the tremendous job we are doing on Energy Jobs and the Economy. We are getting that,January,Q1,24
Feminists are out of control. They unleashed this vicious and dangerous lie about my husband. They tried to do it to their own husbands. They said he was a horrible husband to his many mistreated wives. Now they,January,Q1,24
"The Wreck Of America

On Monday November 14th 2017 @PeterJoltes along with his wife and family are leaving Washington D.C. for a short vacation in Florida. We are all so excited for them",January,Q1,24
"The White House is calling for an immediate end to violence against women in the United States.
The violent and threatening behavior of a small number of individuals is completely unacceptable. As President I will not allow this to happen!
",January,Q1,24
"Get Manchester United FC updates directly to your inbox Subscribe Thank you for subscribing See our privacy notice Could not subscribe, try again later Invalid Email

The Manchester United attacking midfield duo of Anthony Martial and Ander Herrera have been ruled",January,Q1,24
"The FBI and the Department of Justice have a lot to answer for!
The democrats want to make Christmas a long and difficult process just like they have been doing for the last 14 years. No wonder they don’",January,Q1,24
"Help! My package has arrived! My match hit the nail on the head! Thank you soooo much Anonymous!

Congratulations to my beautiful friend @ptgriffith on her @WhiteHouse debut. You are going",January,Q1,24
"The White House is denying reports that President Trump asked to be let out of the Oval Office.
The Fake News Media just said that I asked to be let out of the Oval Office. They made a phony story up just",January,Q1,24
"The data is there.
Our country is in an economic and national security disaster. How did this happen?
We wasted $1.5 Trillion a year. We need to start over!
The Democrats are the",January,Q1,24
"NEXT UP: NEW HAMPSHIRE!
GREAT NEWS! @lukewelch is doing really well in New Hampshire. He is strong and has my complete and total endorsement. He will WIN BIG!",January,Q1,24
ZTE is going to get its wish! The FCC has approved ZTE's $3.6B NextEra FTTN Broadband Plan. ZTE will provide high-speed 4G LTE Internet to many consumers,January,Q1,24
"This article is from the archive of our partner .
Yesterday was a big one for the Obama campaign. The campaign spent over $2 million in the Des Moines Register and other early voting states. That is almost double what they",January,Q1,24
"Such a bow was caught on film by @FoxNews. This is a great honor for Brad and we wish him all the best!
I think they are both making a big deal out of nothing. There is no collusion",January,Q1,24
"The federal government is spending nearly $35 million a month to repave the giant Las Vegas Strip. The money is being spent on highways, bridges, schools and hospitals that were not needed until far into the future.
.",January,Q1,24
David Horowitz told Larry O that the Obama Justice Department approved of the Anonymous Guerrilla Muckraker that revealed the identity of the person behind the Seth Rich Murder. This person was finally brought to Justice who is now on trial,January,Q1,24
"The brazenness of his actions and the danger to the American people that he poses are beyond comprehension. If this man becomes our President he will be a total disaster for our Country.
I have given my all every day to",January,Q1,24
"Moderate Republican Governor Signs Bill Expanding Medicaid To Nearly 2 Million Americans
...Appreciate the support ❤️
My Administration is working closely with Congress to pass a short-term continuing resolution to keep the Government open",January,Q1,24
"Join us for an evening of FUN with our friends at The Crocodile on Friday, October 16th at 7pm. Enjoy live music by Missy Elliott of Love and Rockets. Come join in the fun. Don't",January,Q1,24
