Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
LIVE: Economic Recovery Townhall for DC Businesses. Learn more: .,112,2020-06-30 20:03:59,Periscope,17,15,MayorBowser,1278056711572484096,,976542720,False,https://t.co/9zeZEoA73t,en,June,Q2
LIVE: #FITDC kids. Follow along for workouts you can do at home to burn off some energy.,112,2020-06-30 19:01:28,Periscope,14,9,MayorBowser,1278040978335490048,,976542720,False,https://t.co/56K69ZPYxh,en,June,Q2
LIVE: Coronavirus (COVID-19) situational update June 30.,80,2020-06-30 15:05:08,Periscope,54,46,MayorBowser,1277981503373230089,,976542720,False,https://t.co/D18kqa5rlt,en,June,Q2
"DC is #UnitedByTheGame. 

Join me in bringing the 2026 @FIFAWorldCup to
The District by becoming a @DC2026 supporter:
 

#DC2026",175,2020-06-30 13:57:33,Twitter Web App,299,75,MayorBowser,1277964494090547205,,976542720,False,https://t.co/pNAYj29HU4,en,June,Q2
LIVE: #FITDC seniors. Get ready to move as we bring you workouts that you can do from home!,115,2020-06-30 13:20:35,Periscope,35,16,MayorBowser,1277955189782151169,,976542720,False,https://t.co/Khl4hYo2OU,en,June,Q2
Please be aware of the updates to testing this week due to 4th of July weekend ⬇️,105,2020-06-30 00:16:29,Twitter for iPhone,87,87,MayorBowser,1277757865911037957,,976542720,False,https://t.co/vHTLWYDZRD,en,June,Q2
"Census time.

It'll take less than 5 minutes:",69,2020-06-29 20:52:59,Twitter Web App,69,25,MayorBowser,1277706652016349185,,976542720,False,https://t.co/vsqEzltL6Q,en,June,Q2
LIVE: #FITDC kids. Follow along for workouts you can do at home to burn off some energy.,112,2020-06-29 19:01:34,Periscope,23,12,MayorBowser,1277678613572149249,,976542720,False,https://t.co/jHqZ8T3rHZ,en,June,Q2
The 101 on face coverings with Dr. Preetha Iyengar 😷,76,2020-06-29 16:08:44,Twitter Web App,80,37,MayorBowser,1277635118149107712,,976542720,False,https://t.co/U4yJGv9sN9,en,June,Q2
"Seeing family soon? Get tested. It’s free, and you only have to walk up. ⬇️",99,2020-06-29 13:15:30,Twitter for iPhone,147,80,MayorBowser,1277591522863710213,,976542720,False,https://t.co/F40xgLHiiX,en,June,Q2
LIVE: #FITDC seniors. Get ready to move as we bring you workouts that you can do from home!,115,2020-06-29 13:04:54,Periscope,38,11,MayorBowser,1277588858134122496,,976542720,False,https://t.co/hESLcsZNhG,en,June,Q2
Have you seen @RepRaskin defending #DCStatehood on the floor of the House? 🔥,100,2020-06-27 17:58:36,Twitter for iPhone,495,139,MayorBowser,1276937991961878528,,976542720,False,https://t.co/qGn6I6r5V5,en,June,Q2
"I was born without representation, but I swear – I will not die without representation. Together, we will achieve #DCStatehood, and when we do, we will look back on this day and remember all who stood with us on the right side of history.

Good night, DC.

📸@andyharnik",293,2020-06-27 03:31:25,Twitter for iPhone,1823,230,MayorBowser,1276719758788956160,,976542720,False,https://t.co/uAqgnsng46,en,June,Q2
👏🏾👏🏾👏🏾 to my right hand lady and #DCStatehood guiding light: Senior Advisor Beverly Perry,113,2020-06-27 00:54:43,Twitter for iPhone,301,40,MayorBowser,1276680325171679240,,976542720,False,https://t.co/B6MA5yQSjJ,en,June,Q2
I’m on @NBCNightlyNews to discuss today’s historic #DCStatehood vote.,69,2020-06-26 22:45:26,Twitter for iPhone,117,20,MayorBowser,1276647786981863429,,976542720,False,,en,June,Q2
"9/ I was born without representation, but I swear – I will not die without representation. Together, we will achieve DC statehood, and when we do, we will look back on this day and remember all who stood with us on the right side of history.",241,2020-06-26 19:17:00,Twitter for iPhone,361,66,MayorBowser,1276595334316244992,976542720.0,976542720,False,,en,June,Q2
8/ but also her commitment to uplifting DC residents and putting DC in the best position to become the 51st state.,114,2020-06-26 19:17:00,Twitter for iPhone,146,22,MayorBowser,1276595332886003718,976542720.0,976542720,False,,en,June,Q2
"7/ On behalf of all Washingtonians, I congratulate Congresswoman Eleanor Holmes Norton. On both a personal and professional level, this is an extraordinary accomplishment for the Congresswoman, and we are all grateful not only for her tireless work on statehood,",262,2020-06-26 19:16:59,Twitter for iPhone,437,72,MayorBowser,1276595331304751106,976542720.0,976542720,False,,en,June,Q2
"6/ from the abolitionists of the 1800s to the Home Rule activists of the 1900s.
 
Power concedes nothing without a demand. And statehood is our demand.",151,2020-06-26 19:16:59,Twitter for iPhone,103,18,MayorBowser,1276595329551536128,976542720.0,976542720,False,,en,June,Q2
"5/ Now, just as generations of Americans have worked over the centuries to build a more perfect union, we, too, are ready to seize this moment. Today, we stand on the shoulders of generations of Washingtonians who demanded access to our nation’s democracy –",257,2020-06-26 19:16:56,Twitter for iPhone,101,16,MayorBowser,1276595319631941635,976542720.0,976542720,False,,en,June,Q2
"4/ and disenfranchising more than 700,000 taxpaying Americans is wrong no matter our politics or demographics. Who we elect is our business, and denying us statehood based on who we might send to Congress is both undemocratic and un-American.",242,2020-06-26 19:16:55,Twitter for iPhone,134,27,MayorBowser,1276595314082922496,976542720.0,976542720,False,,en,June,Q2
"3/ It is past time to fix this injustice. It is true that DC is more brown and more liberal than many other states. But the issue of taxation without representation was settled more than 200 years ago through the Declaration of Independence,",241,2020-06-26 19:16:54,Twitter for iPhone,131,22,MayorBowser,1276595311809564677,976542720.0,976542720,False,,en,June,Q2
"2/ As Washingtonians and as taxpaying American citizens, we are demanding what is owed to us – the rights guaranteed to us by the U.S. Constitution.",148,2020-06-26 19:16:54,Twitter for iPhone,146,18,MayorBowser,1276595309477535757,976542720.0,976542720,False,,en,June,Q2
"1/ Today, with this historic vote, DC is closer than we have ever been to becoming the 51st state.
 
More than 160 years ago, Washingtonian Frederick Douglass told us: Power concedes nothing without a demand.",208,2020-06-26 19:16:53,Twitter for iPhone,1009,241,MayorBowser,1276595306042458112,,976542720,False,,en,June,Q2
@ESCochrane 👀,13,2020-06-26 18:37:43,Twitter for iPhone,21,6,MayorBowser,1276585449147039745,2293900364.0,976542720,False,,en,June,Q2
"All the Friday feels for this historic, #DCStatehood vote.",106,2020-06-26 18:18:14,Twitter for iPhone,364,74,MayorBowser,1276580543983910912,,976542720,False,https://t.co/vL4GgMKSrK,en,June,Q2
"It’s time.

Tune in: 

#DCStatehood",82,2020-06-26 18:15:53,Twitter for iPhone,244,53,MayorBowser,1276579952381636608,,976542720,False,https://t.co/HN61qLP7RH,en,June,Q2
