Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month
@eirikvg @ManUtd 😂🤣😂🤣 this is so ridiculous,43,2020-05-28 21:05:38,Twitter for iPhone,301,10,MarcusRashford,1266113424649605120,False,,en,May
...,27,2020-05-28 19:00:04,Twitter for iPhone,37816,2125,MarcusRashford,1266081826315087872,False,https://t.co/luSR3xI91Z,en,May
@Mike_Phelan_1 @ManUtd Maybe I spotted you taking the pic without me. That’s the only explanation for this look...🧐😆,116,2020-05-28 18:33:59,Twitter for iPhone,920,38,MarcusRashford,1266075259616231426,False,,en,May
"@Mike_Phelan_1 @ManUtd Ermmm, I think I understand why you didn’t post me...😫😫😫",103,2020-05-28 18:30:17,Twitter for iPhone,1609,80,MarcusRashford,1266074330745708545,False,https://t.co/iFmnIwcfKM,en,May
@Mike_Phelan_1 @ManUtd 😆❤️,50,2020-05-28 18:29:06,Twitter for iPhone,1717,68,MarcusRashford,1266074032727867393,False,https://t.co/4vZ0fqj5nV,en,May
"@ManUtd Erm, I’m starting to get offended 😳 where am I?? 😂🤣",59,2020-05-28 18:19:35,Twitter for iPhone,7618,294,MarcusRashford,1266071637717331972,False,,en,May
♥️,26,2020-05-28 18:13:42,Twitter for iPhone,2747,115,MarcusRashford,1266070155492233221,False,https://t.co/vRY6DorTbo,en,May
@CiaranBBK @ManUtd 😳🤩,21,2020-05-28 12:36:40,Twitter for iPhone,417,6,MarcusRashford,1265985338205442049,False,,en,May
@TheMancRacket Nice moment,26,2020-05-28 12:35:18,Twitter for iPhone,32,0,MarcusRashford,1265984997015552002,False,,en,May
@hasanc_7 @ManUtd Yes you can,29,2020-05-28 12:34:59,Twitter for iPhone,34,1,MarcusRashford,1265984917604839424,False,,en,May
@AndrewNeill91 Oh my...😳,24,2020-05-28 12:34:53,Twitter for iPhone,46,0,MarcusRashford,1265984891788972032,False,,en,May
@gillyt202turner Brilliant,26,2020-05-28 12:34:13,Twitter for iPhone,58,1,MarcusRashford,1265984724406861829,False,,en,May
@GreenGeordie9 Figure out what you love about the game and work hard at it. There will be ups and downs but as long as you’re doing something you love that’s all that matters,174,2020-05-28 12:33:12,Twitter for iPhone,145,10,MarcusRashford,1265984466339745792,False,,en,May
@katiethxmson Amazing,21,2020-05-28 12:32:22,Twitter for iPhone,91,2,MarcusRashford,1265984256393822208,False,,en,May
"It’s Thursday and you know what that means...throwing it back, to 2014.

Everyone scroll through your Facebook gallery and share your best 2014 pic 👇🏾

I’ll share the best ones 😁",202,2020-05-28 09:59:11,Twitter for iPhone,19155,1145,MarcusRashford,1265945706533191680,False,https://t.co/CVtxnhopZI,en,May
@JofraArcher 😂🤣,15,2020-05-27 19:39:50,Twitter for iPhone,83,1,MarcusRashford,1265729447082196994,False,,en,May
"@JofraArcher 😫😂 if it’s COD you’re after, let’s go",50,2020-05-27 19:21:12,Twitter for iPhone,91,1,MarcusRashford,1265724755589685249,False,,en,May
@rioferdy5 Thanks bro,21,2020-05-27 16:50:28,Twitter for iPhone,2326,29,MarcusRashford,1265686822908198913,False,,en,May
"@BigDaveSave @nikefootball @Nike I’m feeling good mate, thank you!",66,2020-05-27 16:40:41,Twitter for iPhone,432,11,MarcusRashford,1265684361363558401,False,,en,May
Feels great to have the ball at my feet again 🙏🏾⚽️ Weather isn’t too bad either ☀️ Hope you’ve all had a great day!,139,2020-05-27 16:38:16,Twitter for iPhone,23104,1471,MarcusRashford,1265683753822715904,False,https://t.co/SzJBIkV6ey,en,May
Love this @ManUtd 👏🏾♥️,46,2020-05-27 12:09:47,Twitter for iPhone,29365,2636,MarcusRashford,1265616187356000256,False,https://t.co/Ho8weWUH9T,en,May
♥️,26,2020-05-27 08:51:33,Twitter for iPhone,6488,301,MarcusRashford,1265566297313730563,False,https://t.co/jYjHE6X6Mq,en,May
On this day in 2016...❤️,48,2020-05-27 07:50:39,Twitter for iPhone,25482,1349,MarcusRashford,1265550971817648129,False,https://t.co/wIPUq9VE1d,en,May
@RexChapman @JofraArcher ♥️,27,2020-05-25 18:49:59,Twitter for iPhone,230,4,MarcusRashford,1264992123172126720,False,,en,May
"And we won’t stop until children and their parents no longer have to worry about where their next meal is coming from. I appreciate you all, thank you to the High Sheriff of Greater Manchester (4)",196,2020-05-25 18:44:17,Twitter for iPhone,2992,177,MarcusRashford,1264990689550635011,False,,en,May
"To be recognised by my city is a great feeling. From being young I knew that if I ever got in a position that I could help I would and I’m so proud of what we’ve achieved so far. Thank you all, you’re all superstars 🤩♥️ (3)",223,2020-05-25 18:42:37,Twitter for iPhone,3525,178,MarcusRashford,1264990269725868034,False,,en,May
