Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"The fight for life is unquestionably the right one. Every child is a gift from God. These unborn babies can feel, think, and hear in the womb. Our work doesn’t stop until abortion is eliminated completely. (2/2)",211,2020-06-29 16:18:20,Twitter Web App,1225,262,govkristinoem,1277637535745933314,235251868.0,235251868,False,,en,June,Q2
"The June Medical decision is wrong for a number of reasons. Most importantly so because as Justice Thomas states, ‘The Constitution does not constrain the States’ ability to regulate or even prohibit abortion.’ (1/2)",216,2020-06-29 16:18:20,Twitter Web App,952,228,govkristinoem,1277637534927982604,,235251868,False,,en,June,Q2
Welcome to South Dakota! There's plenty of great food. Bryon and I recommend @Phillips_Diner in Sioux Falls for starters!,145,2020-06-27 18:23:25,Twitter for Android,950,151,govkristinoem,1276944238165610497,,235251868,False,https://t.co/mz8MiDY9oZ,en,June,Q2
One of the many reasons I love my mother❤️,66,2020-06-26 22:11:41,Twitter for iPhone,477,18,govkristinoem,1276639297228152833,,235251868,False,https://t.co/L5LPbEGgDB,en,June,Q2
Not on My Watch.,41,2020-06-26 21:56:36,TweetDeck,1739,308,govkristinoem,1276635497616605185,,235251868,False,https://t.co/jNuF5kabFX,en,June,Q2
Enjoyed my visit with @Cowboy_Channel today. Great Americans🇺🇸,86,2020-06-26 00:24:16,Twitter for iPhone,669,74,govkristinoem,1276310273763074049,,235251868,False,https://t.co/KfGpTJOD16,en,June,Q2
Seriously met the cutest family today....thank you for the beef delivery Carter family! Check out Black Hills Beef everyone!,148,2020-06-25 23:09:24,Twitter for iPhone,915,93,govkristinoem,1276291433545101312,,235251868,False,https://t.co/RO1WKuiIRA,en,June,Q2
Welcome home to the @SD_Guard 152nd CSSB!,65,2020-06-24 23:35:55,Twitter for iPhone,738,91,govkristinoem,1275935716174954502,,235251868,False,https://t.co/3boXjbpHTr,en,June,Q2
The men on Mt. Rushmore helped make America the greatest country in history. They weren't perfect; nobody is. But we should learn from their example and work together to accomplish their dreams for our country.,234,2020-06-24 19:55:05,Twitter Media Studio,3540,876,govkristinoem,1275880142691319814,,235251868,False,https://t.co/MPBkTT8tYn,en,June,Q2
Great to be in Aberdeen this afternoon to unveil the Local Government #COVID Recovery Fund. Details on,150,2020-06-24 17:39:08,Twitter for iPhone,352,25,govkristinoem,1275845930370183169,,235251868,False,https://t.co/W83RUwf5bE,en,June,Q2
WATCH LIVE update on the Local Government COVID Relief Fund from Huron:,95,2020-06-24 15:05:17,Twitter for Android,63,10,govkristinoem,1275807211772678144,,235251868,False,https://t.co/OOvWLo9Fqw,en,June,Q2
Are you ready? Great places are waiting in @southdakota.,80,2020-06-23 17:54:48,Twitter Media Studio,1012,151,govkristinoem,1275487484781244419,,235251868,False,https://t.co/bfxQtMKgfZ,en,June,Q2
WATCH LIVE update on the Local Government COVID Relief Fund from Rapid City:,100,2020-06-23 16:03:16,TweetDeck,73,15,govkristinoem,1275459415299276801,,235251868,False,https://t.co/jT5YNZPqyE,en,June,Q2
"This morning at 10am MT, we'll be providing an update on the Local Government COVID Recovery Fund from Rapid City.

TUNE IN at",150,2020-06-23 14:25:42,TweetDeck,103,9,govkristinoem,1275434862409728003,,235251868,False,https://t.co/NJv4akdqAI,en,June,Q2
Not on my watch.,40,2020-06-23 13:09:17,Twitter for Android,82683,14804,govkristinoem,1275415631609958400,,235251868,False,https://t.co/U6gGap5Ib6,en,June,Q2
WATCH LIVE unveiling of the Local Government COVID Recovery Fund:,89,2020-06-22 15:03:20,Twitter for Android,72,18,govkristinoem,1275081947643957248,,235251868,False,https://t.co/jLUFaarpT4,en,June,Q2
"This morning, we'll be unveiling the Local Government COVID Recovery Fund, which will help cities and counties pay for their #COVID19 response.

You can watch live at 10 am CT at . Let's keep fighting this virus, together.",245,2020-06-22 14:00:04,TweetDeck,132,22,govkristinoem,1275066023222235141,,235251868,False,https://t.co/NJv4akdqAI,en,June,Q2
A Message to South Dakota Dads: Happy Father’s Day:,75,2020-06-21 13:34:22,Twitter for Android,310,28,govkristinoem,1274697170512416768,,235251868,False,https://t.co/AIXqP1l4Hz,en,June,Q2
Today is all about you Bryon! Happy Father’s Day!!,74,2020-06-21 12:15:50,Twitter for iPhone,498,26,govkristinoem,1274677406494834690,,235251868,False,https://t.co/ZRgx7qgNtu,en,June,Q2
"Congratulations to @SDHighwayPatrol Class 62 on graduating today!

Remember to be teachable and to do your best every day. We trust that you’ll do a tremendous job protecting and serving South Dakotans.",226,2020-06-19 16:46:21,Twitter for iPhone,404,46,govkristinoem,1274020706045616128,,235251868,False,https://t.co/Ew3RUBe5cq,en,June,Q2
"South Dakota prides itself on Freedom. Today, we commemorate #JuneteenthDay to remind ourselves that there was a time in our history that not all Americans were free. Let's celebrate this important milestone toward achieving the American ideal: ""all men are created equal.""",273,2020-06-19 14:04:00,TweetDeck,613,72,govkristinoem,1273979850286460929,,235251868,False,,en,June,Q2
"Yesterday, I had a conversation with law enforcement from across SD about identifying problems and working together to solve them.

I'm thankful for their work. We need to deal with bad actors, but the majority of our officers do a great job protecting and serving South Dakotans.",304,2020-06-17 14:41:06,Twitter for Android,663,80,govkristinoem,1273264412594442240,,235251868,False,https://t.co/neqqysMD1D,en,June,Q2
"It's hard to capture how important this group of state employees have been to South Dakota. The team at our Emergency Operations Center has been filled with rockstars fighting #COVID19. Today, we shifted our approach to ""Focused Teams,"" and I got to thank everyone of them.",297,2020-06-15 18:59:05,Twitter for iPhone,510,46,govkristinoem,1272604560964681729,,235251868,False,https://t.co/68B7hhryxS,en,June,Q2
Proud of my nephew @NashGrantham and his positive attitude and determination. Love you Nash!,116,2020-06-13 16:23:16,Twitter for iPhone,228,24,govkristinoem,1271840570676252672,,235251868,False,https://t.co/UyuFJyeniX,en,June,Q2
Lessons Learned from #COVID19,54,2020-06-12 14:39:19,TweetDeck,128,40,govkristinoem,1271452023142006789,,235251868,False,https://t.co/0ua1iCzafj,en,June,Q2
"SD took a different path. We used models to prepare, but trusted our people to exercise their Freedom and personal responsibility to make wise decisions.

If someone is interested in the common good in all its iterations and complexities, Freedom is the one and only choice.",274,2020-06-11 14:11:57,Twitter Web App,485,98,govkristinoem,1271082750385295371,235251868.0,235251868,False,,en,June,Q2
"A blind reliance on insufficient modeling has led some politicians to institute disastrous lockdowns that have jeopardized their people's health and welfare, while creating conditions for a financial catastrophe that will cause untold burdens and costs on their people. (3/4)",275,2020-06-11 14:11:57,Twitter Web App,318,62,govkristinoem,1271082749424799751,235251868.0,235251868,False,,en,June,Q2
"Models have two major shortcomings:

-No model can actually predict the future, especially when it's based on data that is incomplete;
-No model is capable of replacing human Freedom as the best path to responding to life's risks, including this virus. (2/4)",258,2020-06-11 14:11:57,Twitter Web App,129,28,govkristinoem,1271082748476825600,235251868.0,235251868,False,,en,June,Q2
"In South Dakota, we saw modeling as a tool to be prepared for the worst case scenario with #COVID19. I thank God that the worst case never happened, but we were ready (and still are) if it did.

But no model can take into consideration everything that makes real life work. (1/4)",279,2020-06-11 14:11:57,Twitter Web App,520,80,govkristinoem,1271082747352793088,,235251868,False,,en,June,Q2
"Today would've been Dale Jones' birthday. South Dakota recognizes June as Move Over Awareness Month in the hope that what happened to Dale will never happen again in our state.

If you're passing a vehicle on the shoulder, move over, especially if it's an emergency vehicle.",274,2020-06-10 19:14:00,TweetDeck,209,36,govkristinoem,1270796372946505728,,235251868,False,,en,June,Q2
"Tourism is our 2nd biggest industry in @southdakota, and our state is full of visitors who heard that SD values the Constitution, Freedom, and Liberty.",175,2020-06-10 18:56:14,Twitter Media Studio,649,129,govkristinoem,1270791905048170501,,235251868,False,https://t.co/US6tImPXbD,en,June,Q2
About modeling...,41,2020-06-10 16:15:00,TweetDeck,2013,618,govkristinoem,1270751326373208064,,235251868,False,https://t.co/w2clc9n5gT,en,June,Q2
"Thanks @gregkellyusa for a great interview.

And remind all your viewers, if they want to live in a state that respects Freedom and personal responsibility, come to South Dakota! @newsmax",211,2020-06-10 14:02:00,TweetDeck,744,182,govkristinoem,1270717856099885062,,235251868,False,https://t.co/f3SchdoEgu,en,June,Q2
"NEWS: We received applications for over 125 THOUSAND tickets in the lottery for #RushmoreFireworks!

What a great opportunity to showcase South Dakota, and we're very glad @realDonaldTrump will be part of it!",208,2020-06-09 20:02:05,TweetDeck,1323,315,govkristinoem,1270446087267065856,,235251868,False,,en,June,Q2
