Tweets,Month,Quarter,sampling
The Federal Reserve is spending trillions of dollars to prop up the biggest and baddest economy on earth. They are doing it because they are sooo sure that things will get better again. They are doing it because they want to,January,Q1,45
"He said he did not want to rush the decision.
The decision to fire James Comey was not a call for swift action but for the FBI to continue to do its job for the American people. The American people will ultimately",January,Q1,45
"A LA County Superior Court judge has rejected a request by transgender student Gavin Grimm to be allowed to use the boys' bathroom at his high school in Olympia.
Fraudulent @nytimes reporters are now Democrats are the enemy",January,Q1,45
I am a woman! I am dedicated to serving our great Nation and am honored to have been considered as a U.S. Senator from Wisconsin for seven wonderful years. Today I want to THANK Senator Sessions for his hard work,January,Q1,45
"Abortion is a human right, not a privilege
Posted on by in Latest News
The time for trivial partisanship is over!
I am the only one that can beat Ted Cruz in November. I am strong and",January,Q1,45
"President Trump has spent the past few weeks drumming up support across the country for his controversial temporary ban on immigrants from seven Muslim-majority countries.
But experts say the President is blowing it. They point to the strong numbers",January,Q1,45
Fiery clashes broke out as protesters clashed with police in Istanbul on Saturday night. At least six were reported to have been injured and at least 50 arrested. Protesters threw water bottles and Molotov cocktails at police. Government spokesman,January,Q1,45
"The Policing Academy has introduced a course on how to identify and report bias. They are not calling for the investigation of White House Chief of Staff Reince. They are not even sure it is happening.
Congratulations to Professor",January,Q1,45
Serena Williams will be the first woman to make the US Women's National Team starting against China on Friday. The USA defeated Switzerland 2-1 on Friday. Hopefully a great start to the World Cup for the USA!,January,Q1,45
"The Chinese government has issued a stern warning to any American citizen who has information about North Korea to do everything in their power to shut it down.
The Chinese have warned the United States that information about North Korea is extremely sensitive",January,Q1,45
"The Republicans have hijacked the House. Now they will hijack the Senate and possibly the White House.
The Democrats are using the phony Witch Hunts and the phony testimony of anonymous sources to delegitimize &amp; embarrass our",January,Q1,45
"The federal government will not force states to expand Medicaid under the Affordable Care Act.
GOP leaders are considering a bill that would make it easier for employers to fire good American workers by changing the definition of ""employer."" This",January,Q1,45
"The LDS Church is having a bad week. After commenting that gay marriage was against the teachings of the Church they now say that it is okay for people of different sexual orientations to marry.
In the House of Lords speech",January,Q1,45
"WASHINGTON (Reuters) - The U.S. Supreme Court on Monday declined to hear an appeal by Texas over the state's requirement that transgender people use bathrooms corresponding to the sex on their birth certificates.
A man holds a",January,Q1,45
"The U.S. Supreme Court on Tuesday declined to hear a challenge to President Donald Trump's executive order temporarily banning citizens of seven Muslim-majority countries from entering the United States.
The 5-4 decision by the high",January,Q1,45
The United States is now the 15th country in the world to declare a state of emergency in response to the rapidly evolving situation in North Korea. The U.S. will continue to monitor the developments and will decide if and,January,Q1,45
"Heather may have lost her job, but thousands of Americans are still working hard and enjoying the good times!


HAPPY HOCKEY CHECKS!





















",January,Q1,45
"The FBI is investigating claims that President Trump asked former FBI Director James Comey to end his investigation into former National Security Adviser Michael Flynn, according to a person with direct knowledge of the matter.
Flynn pled guilty to one count",January,Q1,45
The University of Michigan recently released new data showing that the number of students who have been suspended or expelled because of a mental illness has dropped by almost half since the Affordable Care Act was implemented. The number of students suspended for disruptive,January,Q1,45
"Hillary's Promised Land Is Not Even in the Mindset of the Democratic Nomination- It Is in the Hands of the Nominee!
The Democrats are in complete Disarray. They can do nothing &amp;",January,Q1,45
"And this is happening again. Posted by Chris Hayes on Monday, October 10, 2016
Today I am pleased to announce the nomination of Senator Joe Lieberman of Connecticut for a second term in the United States Senate. Lieberman is a",January,Q1,45
"Have a safe &amp; happy Thanksgiving!
TRANSITION TO GREATNESS!
Defense is our great way to GO!
Great news! @MikeCollinsMD is joining the Great @GOP. Great idea!
",January,Q1,45
The New York Times has a story up about how President Trump and his family are turning over control of their business empire to them. This is just the latest in a long line of successes under President Trump including the record setting Dow,January,Q1,45
"HARRIS COUNTY, Texas - A man has been arrested after two Harris County deputies were shot and killed in the line of duty.
Deputies responded to the 3000 block of Alaska Avenue around 1:40 a.m",January,Q1,45
The President of the United States is calling for the full and total shutdown of all mosques in the United States until such time as the threat from Radical Islamic Terrorism is addressed. The gates must be locked and the entire nation must be,January,Q1,45
"The Diamondbacks have been linked to left-hander Wade Miley on multiple occasions in recent weeks.
The Diamondbacks are a no brainer for @WadeMiley26. He is a righty starter who has",January,Q1,45
"In order to earn your Silver Star you must have served in the U.S. Military.
...
The process to become a Silver Star recipient has been going on for over 50 years. We have a great tradition of",January,Q1,45
"Media playback is unsupported on your device Media caption What do Asian Americans think of President Trump?

There has been a surge in interest in medicine in the USA; however, there has also been a surge in suicide attempts and",January,Q1,45
"This is the latest in a series of outrageous and illegal allegations against me brought against her by the Senate Democrats.
The Price Is Right is one of the most watched shows in the history of television. It is a great privilege",January,Q1,45
THE TRUTH ABOUT MONSIEUR PRESSLEY: https://t.co/Bv8P92Yd1Z pic.twitter.com/S8Ld4w3xoP — The White,January,Q1,45
"We are without a doubt #1 in the World!
I just spoke to President Xi of China about North Korea. He is very much on our side. He wants to avoid a catastrophic military conflict and wants to avoid a",January,Q1,45
"Advertisement

Advertisement

Advertisement

Advertisement

Advertisement
The Sun editorialised that the parent of a dead soldier should not receive an apology from the UK Government.
A Canadian soldier has been killed in action after",January,Q1,45
There are many different types of eyeglasses. There are prescription and over-the-counter (OTC) prescription models. There are over-the-counter and specialty models. There are prescription and OTC models.,January,Q1,45
"Are you ready for the newest and greatest in sports entertainment?
There is nothing quite like the sensation of a football hit that leaves you with a concussion. Then there is the sensation of a football hit that leaves you with a",January,Q1,45
"The Basic Income Guarantee is the perfect solution to the growing problem of automation and automation-related unemployment.
The best part is that the Basic Income Guarantee will never cost you a penny more than what you are paying now",January,Q1,45
"SHOWCASE ! That Bastard Is Trying To Steal Our Space Force! . #WithoutYou miss the Launch! KEEP AMERICA GREAT!
Ireland is a 'Prisoner of the Devil' and a 'Trojan",January,Q1,45
"So I'm a huge fan of your work. What a great guy!
Why do you keep asking me about the Flynn Intel Memo? Why didn’t the Do Nothing Democrats take this Memo and put in",January,Q1,45
The Justice Department is looking into the infamous Trump Dossier. A source close to the investigation says that there is information that should be made public after all is said and done. — Brian Ross (@brianamrooke),January,Q1,45
This is a very good question. It is not an easy question to answer because it is so specific. Don’t forget that the President was asking for help in saving lives when he called for a Federal Government response to,January,Q1,45
"The Obama Administration is trying to shut down conservative news sites that it says peddle ""fake news.""
The Obama Administration is trying to shut down conservative news sites that it says peddle ""fake news.""
Wow. Another",January,Q1,45
"Coins are being printed using bitcoin and will be delivered to customers at the correct times. 75% of all coins produced will be delivered to customers by the end of the month!
I am so proud of our wonderful National",January,Q1,45
"Politico reports:

A senior administration official confirmed to @politico that President Trump told Attorney General @JeffCastaile on Friday night that he has the absolute authority to pardon any person or persons he chooses.
",January,Q1,45
I am very pleased to announce the re-election of @RepMikeJohnsonNY-18! He fought for our #MAGA Agenda and will continue to lead our Country during this challenging economic time. America Stronger Together!,January,Q1,45
"What are you looking for? Cost of Living Crime Climate Food Prices Gas Prices Health Care Pollution Property Prices Quality of Life Taxi Fare Traffic
Cost of Living in United States is 8th highest in the World. Compare this to",January,Q1,45
"I can and should be more honest with our fellow Americans. I made numerous statements that were both false and misleading in my testimony to the Senate on Thursday.
Just spoke to the Prime Minister of the United Kingdom. He is",January,Q1,45
"WEEK 2 DIVISIONS NOT INCLUDING CHICAGO OPPORTUNITY PUSH
 ROCKY BLUFF ARMS HAS BEEN CLOSED TO ALL GUN OWNERS  @FoxNews ",January,Q1,45
The Washington Post's Michael Grynbaum has a really good profile of Hillary Clinton. As is often the case in these stories it is a must-read for everyone who values freedom of the press and the pursuit of truth.,January,Q1,45
"Moorhead, Iowa — A quick trip to the Target to pick up a few gifts for our friends at the @GOP.
Congratulations to our very own @RepKevinBogus on a hard fought victory. Smart",January,Q1,45
"He's been doing this a long time. The people that lost their homes because of this Delayed Kavanaugh Nomination should call their Senators right now and demand a Floor vote on this dangerous Supreme Court nominee!
Just had a",January,Q1,45
"Media playback is unsupported on your device Media caption The BBC's Patrick Cockburn: ""This is the worst foreign policy blunder in American history""

US President Donald Trump has reversed a decision to send hundreds of thousands of",January,Q1,45
"Aaron Sorkin is the man. His last movie, A.I. and the Trump Presidency he has hit #1 at the box office. He is a WINNER!
I will be having a White House Press",January,Q1,45
"Vladimir Putin has denied ordering a chemical weapons attack in Syria, but he certainly knows what he has.
After watching the 'Fox & Friends' skit where they made a joke of Putin having ordered a chemical weapons",January,Q1,45
"I'm not sure how it happened that I was able to begin working on this piece in such a timely fashion. But I knew exactly what to do.
WHY ARE AMERICANS SO DIFFERENT? There",January,Q1,45
"The Nation in the Middle East: Where are the Democrats?
Crazy Berniecrats are calling for Obama to fire the FBI Director. What about the traitorous Hillary Clinton?
....The memo was a political hit job",January,Q1,45
"Detroit Tigers OF/OFB Justin Verlander throws in the dugout during the game between the Detroit Tigers and the Houston Astros at Comerica Park on Wednesday, June 14, 2017 in Detroit, Michigan. (Photo by",January,Q1,45
"The Secret Service is investigating the shooting death of a homeless man in Minneapolis.
The Minneapolis Police Department says the man shot by officers Saturday evening is a 23-year-old homeless man. He was pronounced dead at the scene",January,Q1,45
"The next morning I woke up with a headache and a cold. I was in bed for over two hours, had no idea what was going on and thought that I had a bad cold. As I got up to go to",January,Q1,45
