;new;mexico;covid19;state;health;mexicans;#covid19;cases;public;home;stay;statewide;spread;deaths;additional;positive;currently;announced;#alltogethernm;info;totaling;#nmgov;update;tests;@nmdoh;bringing;continue;#nmleg;care;todays;information;officials;community;across;mexicos;protect;individuals;safe;order;slow;pandemic;businesses;essential;mask;families;support;virus;#stateofthestatenm;legislation;thank;work;together;face;education;please;hospitalized;lives;people;year;may;testing;ensure;statewidemore;services;federal;economic;working;help;related;part;tomorrow;children;social;emergency;workers;critical;states;wear;safety;important;tune;live;fund;school;take;#coronavirus;government;incredible;making;staying;save;mexican;risk;early;communities;committee;best;able;access;childhood
new;0;794;410;368;318;396;306;256;160;162;150;176;162;172;204;202;218;138;134;196;200;140;158;180;122;180;112;130;82;126;80;136;88;124;140;76;120;82;64;76;78;62;60;48;72;68;56;72;72;56;70;64;54;60;60;100;66;62;58;38;30;74;84;32;68;52;50;52;74;54;46;50;42;44;48;48;48;32;44;36;24;40;34;36;44;52;44;58;42;40;50;62;28;32;48;40;36;38;40;30
mexico;0;0;220;252;206;100;130;140;64;88;90;62;82;72;108;136;114;120;66;82;102;112;24;114;100;82;64;88;50;20;62;104;50;98;26;36;28;50;28;36;40;42;32;20;60;44;26;44;38;32;42;40;14;40;40;26;28;32;32;16;16;46;12;18;46;38;30;30;68;34;22;38;16;18;28;28;36;10;26;20;14;20;26;30;14;34;22;34;26;22;20;22;8;22;32;22;24;20;28;20
covid19;0;0;0;160;152;86;186;234;50;78;68;148;106;164;168;186;200;122;60;182;198;4;124;174;114;178;36;2;18;120;64;114;38;8;20;34;116;10;20;54;36;24;28;24;2;8;20;0;0;6;10;16;26;2;20;96;16;26;2;20;24;10;84;6;12;4;8;14;76;18;10;6;18;26;12;24;24;26;12;6;18;10;10;8;12;36;10;4;4;20;16;10;8;2;6;0;8;10;4;0
state;0;0;0;0;170;82;114;104;62;46;36;32;26;46;94;104;90;108;62;74;86;52;40;100;84;66;34;36;24;2;40;138;18;84;50;20;4;28;18;8;24;16;14;8;26;28;18;26;14;18;10;12;12;18;20;2;10;22;22;14;10;12;12;20;18;22;16;18;62;18;6;18;10;24;22;10;12;4;10;10;20;22;14;10;8;20;36;16;12;6;4;8;10;12;22;12;14;6;16;10
health;0;0;0;0;0;84;108;90;180;76;68;30;58;46;90;106;92;106;66;76;86;14;24;98;86;66;40;24;80;2;44;122;34;22;42;36;6;24;68;26;22;14;34;6;20;16;22;8;12;16;12;14;8;20;16;2;16;24;12;24;14;24;12;30;22;10;18;10;64;14;12;10;6;60;30;16;22;0;34;12;2;4;6;10;16;26;12;6;16;10;16;10;14;6;10;8;6;2;24;2
mexicans;0;0;0;0;0;0;52;8;56;70;64;26;66;2;20;6;10;8;46;12;2;32;2;8;20;0;34;40;42;6;20;4;26;38;18;40;0;34;16;32;38;18;32;24;16;26;26;20;26;26;26;28;30;18;22;0;34;24;14;18;14;24;2;12;16;18;26;20;0;12;20;10;20;12;18;16;6;12;22;10;2;0;8;4;22;16;24;22;22;16;28;12;14;8;18;16;16;16;16;6
#covid19;0;0;0;0;0;0;0;200;54;50;38;120;80;156;152;136;166;74;52;172;166;0;146;134;58;162;44;0;24;122;20;82;10;6;48;14;112;14;18;54;34;8;6;12;4;10;24;0;4;12;8;4;18;2;12;96;26;12;4;8;18;14;72;6;4;6;10;10;60;18;8;8;18;20;6;6;2;16;2;8;8;20;2;4;10;0;4;6;4;14;16;8;16;0;8;0;6;6;2;0
cases;0;0;0;0;0;0;0;0;10;32;28;128;38;162;172;178;196;104;14;174;194;6;112;162;74;176;24;0;4;124;16;86;16;4;6;8;118;2;4;20;8;0;2;10;0;2;12;0;0;0;2;0;2;0;4;100;8;14;0;2;8;0;82;0;0;0;0;0;72;14;2;0;10;4;0;2;6;14;0;4;2;2;0;0;0;14;2;0;0;6;8;4;4;0;0;0;2;2;0;0
public;0;0;0;0;0;0;0;0;0;50;40;18;64;2;6;2;8;4;46;10;0;18;30;0;16;0;40;20;22;2;12;22;20;12;34;36;6;24;68;30;26;16;16;18;14;8;22;4;16;16;6;10;30;16;8;0;6;10;6;32;6;8;0;12;4;8;10;8;0;8;14;2;4;52;10;16;10;22;44;14;4;14;2;2;14;14;10;8;14;6;6;6;20;2;4;8;10;4;4;0
home;0;0;0;0;0;0;0;0;0;0;170;18;106;12;14;28;18;14;70;16;20;6;12;22;12;10;30;0;24;12;22;14;40;8;16;44;8;34;24;62;14;6;42;8;2;2;30;2;0;10;10;12;18;6;24;2;34;32;6;10;4;10;8;10;8;0;6;8;2;32;6;6;26;12;16;14;0;24;8;8;2;2;0;4;14;10;8;4;0;54;32;16;16;4;6;0;4;6;0;2
stay;0;0;0;0;0;0;0;0;0;0;0;10;84;4;14;18;12;16;64;8;14;12;2;16;14;2;34;2;16;4;28;16;32;0;12;22;6;40;20;56;20;8;36;2;0;0;26;4;0;8;16;12;14;4;30;6;22;22;4;6;6;6;10;4;8;2;4;8;4;24;8;2;16;10;4;10;0;10;6;10;2;2;0;2;12;12;16;2;0;14;22;14;14;0;2;0;2;8;0;0
statewide;0;0;0;0;0;0;0;0;0;0;0;0;12;114;96;90;126;26;14;114;124;4;114;86;16;114;16;2;2;116;12;16;6;12;6;4;108;6;6;12;10;2;10;10;4;4;2;4;4;2;4;2;4;4;0;90;6;16;6;4;22;10;72;2;6;2;6;4;10;4;4;6;6;6;4;2;6;14;6;4;2;6;8;2;0;4;8;4;2;4;6;4;2;0;6;2;0;2;4;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;12;18;6;42;20;10;2;10;10;24;8;44;0;20;14;6;4;40;6;10;50;14;16;28;118;18;8;28;32;0;0;46;0;0;6;6;14;46;2;16;8;24;20;4;18;10;6;2;0;6;2;6;8;4;32;2;2;26;4;4;16;4;26;6;8;0;2;0;2;18;12;6;6;4;34;20;20;18;0;2;0;6;8;0;0
deaths;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;120;158;58;0;154;160;2;108;122;44;160;8;6;2;116;0;46;2;2;2;2;108;0;2;10;0;0;0;10;0;0;0;0;8;0;0;0;2;0;0;90;10;8;0;0;0;0;72;0;0;0;0;2;58;2;0;0;2;0;0;0;2;10;2;2;0;0;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;162;96;6;144;162;4;78;126;58;142;8;6;6;86;18;82;6;8;8;4;82;4;8;2;2;2;8;6;0;0;0;0;6;0;2;0;10;6;2;80;2;2;2;8;6;12;82;0;6;2;0;0;62;4;2;6;12;2;0;4;2;4;0;0;0;0;4;4;0;2;2;2;0;2;4;4;0;0;2;4;0;4;6;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;120;8;132;158;2;68;174;82;140;6;4;4;78;28;102;16;4;4;4;68;2;0;10;0;0;6;8;2;2;4;2;0;0;0;0;0;2;2;50;6;20;2;0;10;2;44;0;0;0;2;0;70;6;0;2;2;2;0;2;6;10;0;0;4;2;2;2;0;14;0;2;0;4;6;0;0;2;2;0;0;0;0;2
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;8;168;194;2;104;156;64;172;12;0;0;112;22;86;12;2;0;6;108;2;2;8;2;0;2;8;0;2;4;0;0;0;0;0;2;0;2;90;4;16;0;2;6;0;84;0;4;2;4;2;70;6;0;0;2;2;2;0;2;10;2;4;0;0;0;0;6;8;6;0;0;2;4;2;2;0;0;0;0;4;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;78;96;6;10;108;78;76;10;2;6;14;28;102;6;2;6;4;4;0;4;4;0;2;2;2;4;2;0;0;4;0;0;0;2;0;2;4;0;12;4;0;6;0;12;0;0;0;0;2;70;4;4;0;2;2;2;0;6;2;2;0;0;0;0;2;2;12;0;4;0;2;2;0;0;0;2;0;0;0;0;0
#alltogethernm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;30;6;2;0;28;0;20;2;22;30;32;14;38;30;6;16;4;30;22;10;16;8;4;10;10;0;2;28;10;24;20;10;10;6;16;10;2;8;0;8;6;4;8;2;10;6;0;14;4;4;10;24;16;6;2;4;8;6;8;10;10;10;14;6;8;8;2;10;18;14;2;0;4;0;6;2;2;0
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;0;108;134;50;168;12;0;0;110;4;66;4;2;4;4;100;4;6;12;2;6;4;8;2;2;2;0;0;0;0;2;2;0;2;86;6;8;0;6;2;2;74;2;2;4;0;6;70;0;2;0;2;8;2;0;0;12;2;6;0;0;0;2;4;0;2;2;0;4;6;2;0;0;2;0;0;4;2;2
totaling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;160;54;174;6;0;0;114;20;86;8;0;2;4;106;0;0;10;0;0;2;8;0;0;0;0;0;0;0;0;0;0;2;90;6;12;0;0;0;0;84;0;0;0;0;0;68;4;0;0;2;0;0;0;0;10;0;0;0;0;0;0;0;4;0;0;0;2;6;0;0;0;0;0;0;0;0;0
#nmgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;18;88;8;0;4;2;6;38;8;8;2;10;4;0;0;6;2;0;20;18;0;0;28;8;8;6;0;14;16;0;2;6;12;0;0;14;0;16;6;18;12;4;2;6;10;14;2;0;0;8;10;0;6;8;8;2;12;6;0;12;6;14;12;0;2;2;4;14;6;28;12;8;6;14
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;12;106;6;2;0;120;8;36;2;0;38;0;102;0;8;8;2;2;0;8;0;0;0;0;2;0;0;0;8;0;6;86;8;8;0;4;4;0;70;0;4;0;0;0;6;0;8;0;4;14;2;0;10;10;2;2;12;20;0;0;0;2;4;0;2;2;8;0;4;0;0;0;0;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;142;8;0;4;80;26;94;8;2;2;4;68;2;0;10;0;2;6;8;0;2;4;0;0;0;0;2;0;0;4;52;6;16;0;0;0;0;46;0;0;0;2;0;70;4;0;0;2;2;0;0;4;10;0;0;0;0;0;0;0;14;0;0;0;2;6;0;0;0;0;0;0;0;0;0
