;great;people;trump;united;president;states;new;state;government;house;news;party;democrats;federal;american;may;white;working;media;act;world;man;national;fbi;million;history;election;campaign;aug;military;help;country;2016;former;court;department;law;republican;russia;morning;terrorist;fake;free;investigating;big;administration;information;contract;presidential;sunday;left;year;support;texas;washington;congress;best;thank;set;army;nation;win;police;article;team;work;released;supreme;job;bill;thing;2017;governor;post;donald;power;republicans;killed;russian;dems;following;vote;email;hard;general;reserve;michigan;trying;calling;sign;usa;nations;massive;number;obama;director;full;london;case;voted
great;0;16;10;8;8;8;10;14;6;4;6;4;4;4;10;2;4;4;0;2;6;2;4;2;2;4;0;2;0;2;2;6;0;0;0;2;2;4;0;2;2;4;0;0;2;6;2;0;0;0;2;4;4;4;0;2;2;8;2;0;8;2;2;0;0;6;2;0;8;2;2;0;6;0;4;0;0;0;0;0;0;2;0;2;0;0;4;4;4;2;2;2;2;0;2;0;0;2;0;2
people;0;0;8;10;10;6;2;2;4;2;4;4;0;4;14;4;4;4;6;2;2;0;6;2;2;10;4;0;0;0;6;4;2;0;2;0;8;4;4;0;2;2;2;0;0;4;4;0;0;0;0;0;4;2;0;2;2;0;0;0;0;2;0;0;0;4;2;2;4;0;0;4;4;2;2;2;0;6;2;0;2;2;2;2;0;0;4;0;4;0;2;2;2;4;2;0;0;2;0;2
trump;0;0;0;12;26;10;6;6;4;6;12;6;6;4;4;4;6;6;6;0;2;2;2;8;2;6;4;12;0;8;0;4;6;4;4;6;0;6;2;2;2;4;0;4;4;10;0;0;6;0;2;0;0;2;4;4;2;2;0;0;0;2;2;0;0;0;2;2;2;2;0;6;2;2;12;2;4;2;6;8;0;4;0;4;4;2;0;2;2;0;0;4;2;2;4;2;0;0;2;2
united;0;0;0;0;22;58;8;6;8;2;0;2;0;6;6;4;0;0;4;2;4;2;2;2;0;0;4;2;0;6;0;8;0;2;8;2;4;2;4;0;10;0;4;4;2;4;6;0;2;0;2;0;6;0;0;2;0;0;4;0;6;0;0;2;0;2;2;6;2;0;0;0;0;0;4;2;0;4;2;0;0;2;2;0;2;2;0;0;0;0;0;8;4;0;0;0;0;0;2;2
president;0;0;0;0;0;22;4;10;6;10;2;4;2;2;2;2;10;4;6;2;2;4;2;8;2;6;6;2;0;6;2;2;6;2;2;6;0;0;4;0;4;0;2;4;0;2;6;0;6;0;2;0;0;0;4;6;0;0;0;0;4;2;0;0;0;2;0;0;2;0;4;2;2;4;4;2;2;2;0;0;0;0;2;2;4;0;0;2;2;0;0;2;0;0;4;2;0;0;0;2
states;0;0;0;0;0;0;6;6;8;2;0;2;0;6;4;4;0;0;2;2;4;2;2;2;0;0;2;2;0;6;0;6;0;2;2;2;4;2;4;0;8;0;4;4;2;2;6;0;2;0;0;0;4;0;0;2;0;0;4;0;8;0;0;0;0;0;0;2;2;0;0;0;0;0;4;2;0;4;2;0;0;2;2;0;2;2;0;0;0;0;0;6;2;0;0;0;0;0;2;2
new;0;0;0;0;0;0;0;4;2;2;0;2;0;0;2;2;0;2;0;0;0;2;4;4;4;0;0;0;2;2;0;2;2;2;2;2;0;0;0;2;0;2;4;0;0;4;2;0;2;4;2;6;0;0;2;2;0;0;4;4;4;2;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0
state;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;2;4;2;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;0;4;4;0;2;0;2;4;2;2;2;0;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;2;0;0;0;2;2;4;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;4;0;0;4;0;0;2;0;0;2;0;2;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;2;14;2;2;0;0;2;4;2;0;2;0;4;2;0;2;0;0;6;0;0;2;4;0;2;0;0;0;6;0;0;2;2;0;0;0;2;0;2;0;2;2;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;2;4;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;2;4;0;2;0;4;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;4;2;6;0;2;2;26;4;4;2;2;0;0;0;0;0;6;0;0;0;2;4;6;2;0;4;0;0;2;2;0;4;0;2;0;0;0;0;4;2;0;0;0;2;2;2;2;4;0;0;0;2;2;0;2;4;2;0;2;6;2;2;2;0;0;2;2;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4
