;trump;great;white;people;new;states;united;president;republican;national;federal;state;donald;department;house;campaign;obama;job;country;american;administration;housethe;democrats;man;love;washington;news;family;support;government;big;fbi;help;justice;2016;york;committee;office;party;million;set;democratic;thank;nothing;release;killed;senator;security;clinton;show;reserve;live;former;following;step;presidential;group;lot;working;young;world;november;bernie;friend;yesterday;disaster;threat;someone;governor;husband;key;phony;stated;deal;team;james;end;wish;times;honor;2;strong;police;sudan;leader;retired;pay;expanding;jobs;director;buttoneddown;move;closely;agreed;crime;story;proud;j;wednesday;looking
trump;0;2;4;0;2;0;0;10;8;4;2;4;16;2;2;6;2;0;2;2;4;0;2;4;0;0;4;0;6;0;2;4;4;4;2;2;2;4;4;0;0;4;2;0;2;0;4;0;4;0;0;0;4;0;0;6;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;2;0;2;2;6;0;6;4;2
great;0;0;0;8;2;2;2;2;2;0;2;2;2;0;0;2;0;4;2;4;0;0;0;0;4;0;2;2;0;2;4;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2
white;0;0;0;0;2;2;4;4;2;4;0;2;2;0;10;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;2;2
people;0;0;0;0;8;2;2;4;2;2;4;2;0;0;2;0;0;6;2;10;0;0;2;2;0;0;2;0;0;4;2;0;2;0;0;2;0;2;2;0;0;0;2;2;0;2;0;2;0;2;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;2;4;0;4;2;2;0;2;0;2;2;0;0;2;0;4;0;0;2;8;0;0;0;2;0;0;0;0;8;0;2;4;0;0;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
states;0;0;0;0;0;0;12;0;2;2;0;4;0;4;2;2;4;0;4;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
united;0;0;0;0;0;0;0;2;0;0;0;4;0;4;4;0;2;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;2;0;0;2;2;0;0;0;4;0;0;4;0;0;0;2;4;0;2;0;0;0;4;4;0;0;2;0;2;4;0;0;0;2;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;4;2;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;2;2;4;0;2;0;2
republican;0;0;0;0;0;0;0;0;0;4;0;4;8;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;4;2;2;0;0;0;0;2;4;4;6;4;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;4;2;0;0;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;2;4;0;0;4;0;0;2;0;0;0;2;2;0;2;2;0;4;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;4;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;6;0;0;2;0;4;0;0;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;2
