;#covid19;state;connecticut;county;briefing;response;news;updates;order;residents;tested;positive;provide;health;live;update;people;connecticuts;@ctdph;#connecticut;efforts;public;actions;latest;happening;emergency;executive;new;medical;signed;hospitals;discuss;continue;tests;yesterday;#connecticuts;working;info;hold;take;states;hospital;#coronavirus;tonight;laboratory;online;home;help;additional;guidance;testing;conference;soon;statewide;businesses;taking;stream;ensure;spread;bringing;morning;case;preparedness;workers;call;check;heres;staff;full;schools;cases;date;employees;patients;everyone;healthcare;certain;federal;press;hospitalized;stay;work;declarations;3;several;resident;virus;support;administration;thank;safe;contact;regarding;another;link;mitigate;summary;office;video;appreciate
#covid19;0;64;62;14;86;100;84;96;34;40;50;52;46;30;48;48;36;52;28;50;44;24;38;40;48;24;22;30;16;28;10;34;18;30;32;38;10;18;26;16;14;6;12;22;12;16;10;22;26;8;16;16;24;22;10;20;16;6;18;30;12;16;20;4;20;14;22;6;16;8;10;8;8;8;10;6;8;6;10;18;4;2;12;6;12;14;4;4;16;6;2;8;12;4;10;10;16;6;16;10
state;0;0;34;6;8;10;8;10;10;30;24;22;14;24;4;24;12;6;38;24;12;16;12;14;4;16;4;14;14;6;10;6;16;18;8;6;10;4;6;4;4;4;18;6;28;0;8;6;8;8;16;10;0;4;6;6;0;10;8;10;6;10;8;0;10;2;0;6;4;2;12;10;12;8;6;8;4;10;2;0;6;4;8;8;10;8;6;2;6;4;2;2;8;6;2;6;2;2;2;4
connecticut;0;0;0;4;6;4;8;6;6;34;30;26;6;6;2;22;30;2;12;0;4;0;4;6;2;10;6;10;10;8;8;8;4;22;20;0;8;6;2;6;8;4;10;2;10;2;4;8;20;2;10;4;4;20;10;2;0;6;6;20;6;6;0;2;2;6;0;2;6;0;12;12;2;2;2;8;2;10;2;18;6;2;2;0;0;4;6;4;2;10;4;2;2;4;6;0;4;2;4;4
county;0;0;0;0;0;0;0;0;0;18;24;24;0;0;0;18;2;0;0;10;0;0;0;2;0;0;0;14;0;0;4;0;0;6;18;0;0;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;8;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0
briefing;0;0;0;0;0;72;104;82;0;10;4;6;48;8;46;6;0;44;12;14;36;6;10;12;44;2;0;6;0;0;2;10;0;0;0;34;0;4;36;2;2;2;8;2;6;20;0;2;0;2;2;2;12;0;0;8;22;2;0;0;8;4;14;0;0;2;8;2;6;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;4;2;0;0;8;0;0;0;4;0;10;0;2;0;14;2
response;0;0;0;0;0;0;70;78;2;0;0;0;34;6;34;0;2;46;2;4;42;2;10;8;40;8;2;0;0;2;0;12;4;0;0;34;2;2;20;4;4;2;2;2;0;12;0;4;0;2;2;8;14;0;2;0;14;2;0;0;2;0;14;0;6;2;10;2;6;0;0;0;0;0;4;0;0;4;6;0;0;0;4;2;4;0;0;0;8;2;0;0;6;0;2;0;4;2;12;4
news;0;0;0;0;0;0;0;78;0;8;4;6;46;6;44;4;0;42;8;12;34;4;10;10;42;4;0;6;0;0;2;8;0;0;0;32;0;4;34;2;2;2;4;2;2;18;0;2;0;2;0;2;12;0;0;8;18;2;0;0;4;4;10;0;0;0;8;2;6;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;4;2;0;2;6;0;0;0;2;0;10;0;0;2;14;2
updates;0;0;0;0;0;0;0;0;4;6;2;2;44;6;38;2;0;46;4;8;42;6;8;20;44;4;4;0;0;4;2;16;4;0;0;32;2;2;22;2;4;0;2;8;2;12;2;2;0;0;0;6;14;0;0;4;12;2;0;0;6;0;14;0;0;2;8;0;8;2;0;2;4;0;2;0;0;0;8;0;0;0;2;0;8;0;0;0;8;0;0;0;0;0;2;4;4;2;14;4
order;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;2;10;0;6;0;2;12;16;2;0;4;50;4;2;34;4;0;6;0;2;0;6;0;0;4;4;0;0;10;0;2;6;2;4;10;0;0;6;4;6;8;0;2;8;0;0;0;2;4;0;0;10;4;10;14;0;4;0;0;0;6;6;0;0;0;2;0;4;2;6;0;0;2;4;0;8;2;2;4;0;14;6;2;0;0
residents;0;0;0;0;0;0;0;0;0;0;42;38;16;6;2;42;18;8;14;18;2;2;2;8;4;6;0;14;6;0;4;0;2;30;36;2;0;4;4;4;2;4;10;0;10;0;2;4;24;0;8;4;0;22;0;2;0;0;0;30;4;2;2;0;0;0;4;2;0;0;10;10;0;6;0;2;2;2;4;18;2;0;4;6;0;0;6;2;2;0;2;0;6;2;0;0;0;2;2;4
