;trump;president;new;states;people;house;great;united;washington;white;national;american;hard;state;campaign;fbi;best;set;working;russia;economy;news;media;found;love;security;investigating;democrat;strong;announce;work;asked;americans;scrolls;federal;gives;close;presidential;governor;justice;york;elder;billion;friday;article;came;power;donald;former;special;saturday;man;end;finally;dnc;report;2016;video;republican;dollars;important;children;source;final;year;show;pleased;mueller;uespwiki;election;past;tax;counsel;called;chinese;thing;men;businesses;movie;life;jobs;ninjago;forces;cost;administration;russian;free;greatest;thank;sets;government;whether;13;world;latest;guy;real;making;party;department
trump;0;8;2;6;2;4;2;4;2;2;4;0;0;0;8;8;0;0;0;2;0;2;0;0;0;2;6;4;0;0;0;0;2;0;0;4;0;4;0;6;2;0;2;4;0;0;2;6;4;4;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;4;0;0;0;2;0;0;4;4
president;0;0;2;0;0;8;6;0;4;4;4;2;0;0;0;2;0;0;2;2;0;0;2;0;0;2;2;2;2;0;0;2;0;0;2;2;2;0;2;2;2;0;2;4;0;0;0;2;2;2;0;4;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0
new;0;0;0;4;4;2;4;4;0;2;4;0;0;6;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;4;0;8;0;4;4;2;0;0;0;2;0;2;0;0;0;0;4;0;2;2;4;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0
states;0;0;0;0;4;2;2;18;2;0;4;2;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2
people;0;0;0;0;0;0;0;2;0;0;0;6;2;2;0;2;2;0;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;4;0;0;0;0;2;2;0;0;0;2;0
house;0;0;0;0;0;0;2;2;2;12;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;2;4;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0
great;0;0;0;0;0;0;0;2;2;2;2;2;2;4;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
united;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2
washington;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4
