;new;city;yorkers;york;covid19;people;help;crisis;health;care;testing;call;lives;thank;work;fight;workers;join;safe;working;week;protect;home;hall;community;take;public;face;nypd;federal;hospitals;together;next;social;country;support;cant;government;test;still;million;save;coming;families;communities;311;citys;stay;front;school;businesses;everyone;distancing;hospital;across;wont;free;needs;kids;could;medical;coronavirus;weeks;cases;updates;state;immediately;yorker;fighting;positive;disease;good;seen;lost;ventilators;family;anyone;food;information;latest;students;days;taking;response;big;lot;streets;seeing;tonight;end;may;moment;supplies;doctor;contact;symptoms;stop;sites;change;coverings
new;0;620;546;538;220;114;178;162;126;102;56;104;80;86;74;98;64;62;94;74;54;80;70;38;76;62;54;66;52;32;38;60;40;64;42;44;40;24;50;32;44;48;56;34;36;54;76;36;42;22;32;24;56;28;46;44;32;34;22;34;22;42;38;66;38;52;24;96;30;26;24;22;26;34;18;26;24;48;40;24;14;26;48;38;26;26;26;30;32;14;30;24;22;18;10;26;16;26;26;30
city;0;0;170;460;260;110;120;136;82;70;44;72;78;84;52;100;42;144;84;76;46;52;54;188;52;46;46;32;66;36;32;54;30;24;62;30;18;36;30;32;26;36;44;46;48;30;46;18;32;10;20;40;18;24;64;40;36;34;12;28;18;40;20;30;54;36;22;26;22;14;22;10;26;36;18;36;24;26;32;78;8;8;36;50;40;22;22;20;40;20;22;34;20;8;12;12;16;12;26;6
yorkers;0;0;0;62;64;52;90;60;80;68;14;48;38;54;44;44;40;16;44;42;14;40;42;2;30;30;24;50;30;10;12;38;10;40;14;28;26;10;12;20;36;22;16;16;20;28;14;22;16;6;10;10;34;6;26;28;16;6;4;8;12;10;20;26;12;24;12;16;14;10;6;10;20;20;8;8;16;30;14;0;2;14;26;8;8;12;20;12;14;6;8;12;14;10;8;12;10;6;8;26
york;0;0;0;0;122;44;66;56;32;28;26;40;32;32;12;46;16;38;38;24;28;22;30;36;22;20;20;18;8;18;14;16;20;16;26;12;12;6;26;18;8;28;32;18;18;16;70;14;16;8;14;10;16;16;12;14;12;22;8;20;12;26;12;32;24;30;12;20;12;10;6;4;10;12;12;12;8;12;16;24;2;4;14;26;14;10;8;10;12;8;20;12;8;6;2;10;10;8;14;4
covid19;0;0;0;0;0;66;44;122;60;48;46;24;28;20;26;66;22;86;16;14;24;22;20;124;26;12;10;14;6;12;12;20;8;12;26;18;10;10;30;14;2;18;14;16;14;16;44;14;24;10;8;6;10;6;8;20;10;12;6;10;14;2;6;48;48;10;8;24;20;46;22;14;16;12;2;6;16;12;10;80;8;10;10;62;2;14;0;6;4;12;12;2;6;12;22;20;10;2;10;4
people;0;0;0;0;0;0;36;48;58;38;18;18;30;14;22;18;12;2;56;36;6;46;28;0;20;30;24;22;20;10;18;22;12;22;16;10;22;12;18;12;10;12;20;8;20;8;16;20;6;6;8;16;14;6;16;22;10;10;12;20;12;18;8;6;4;14;6;12;6;18;14;16;10;14;2;8;10;10;16;2;2;16;14;2;14;22;10;24;14;6;2;10;6;8;18;8;18;6;8;14
help;0;0;0;0;0;0;0;60;48;40;26;64;38;34;20;26;36;6;18;28;24;26;22;0;18;16;34;18;10;42;32;12;6;12;10;30;16;24;16;14;14;24;22;18;6;28;12;10;20;2;20;20;6;20;12;12;24;34;10;10;20;4;6;8;0;16;16;10;12;4;6;14;4;6;22;8;12;12;12;0;10;10;8;2;4;14;0;10;4;2;8;8;20;10;6;10;10;8;2;10
crisis;0;0;0;0;0;0;0;0;54;50;18;30;28;28;30;24;30;16;14;20;16;16;18;6;12;22;16;18;8;16;18;20;4;4;12;30;12;14;2;18;4;16;20;20;6;16;8;18;24;8;4;12;2;12;14;20;0;12;10;22;6;8;12;8;6;8;8;22;12;2;0;4;12;12;4;4;14;16;4;4;10;8;10;10;2;12;2;18;8;8;2;8;12;2;4;2;10;0;14;6
health;0;0;0;0;0;0;0;0;0;220;22;38;38;22;26;20;104;14;14;20;14;36;26;0;16;20;40;14;0;10;30;8;8;10;8;26;8;10;14;6;8;18;14;16;8;14;8;12;36;6;2;10;10;16;8;8;8;26;12;8;20;6;6;12;0;8;8;8;6;10;4;6;8;10;4;6;20;10;4;0;6;4;10;4;2;4;0;12;4;4;4;10;10;16;6;18;0;6;4;6
care;0;0;0;0;0;0;0;0;0;0;22;42;30;26;22;24;102;14;12;14;12;22;18;0;6;18;28;8;0;6;32;10;10;4;4;24;12;6;20;4;10;16;10;12;8;22;4;4;36;4;4;4;4;16;4;8;6;14;6;4;16;4;4;8;0;4;8;6;6;6;4;4;4;6;4;6;8;6;8;0;6;2;14;4;2;4;0;10;6;4;4;8;8;14;12;20;2;8;0;2
testing;0;0;0;0;0;0;0;0;0;0;0;14;4;6;2;10;12;0;8;6;24;2;4;0;26;8;14;4;2;42;8;10;22;4;6;2;8;26;52;12;2;0;14;0;10;10;4;0;4;2;0;2;2;12;22;4;24;12;2;10;8;8;14;8;2;2;4;2;6;16;24;4;6;0;2;0;8;0;2;0;0;4;2;0;4;4;0;2;0;2;4;0;4;4;14;10;4;44;0;4
call;0;0;0;0;0;0;0;0;0;0;0;0;14;18;10;14;6;2;16;8;6;12;36;0;4;16;10;4;8;6;6;10;4;4;4;6;10;4;14;10;4;6;4;0;2;92;8;14;4;6;2;14;4;2;2;0;20;26;0;2;6;2;2;4;2;6;28;6;4;4;0;4;8;0;2;2;14;10;12;0;6;8;6;0;0;2;2;0;0;6;0;4;4;36;12;32;4;2;2;2
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;24;20;16;14;8;6;12;6;14;10;0;14;14;12;8;10;10;22;14;4;20;10;8;8;8;2;14;4;76;6;4;8;2;6;10;16;2;4;8;18;14;2;8;0;8;2;14;6;2;14;4;0;4;10;6;6;4;6;4;6;14;10;4;6;0;2;0;6;6;8;0;2;6;6;6;0;8;2;8;10;0;0;4;8;0;12;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;20;32;2;6;16;6;10;6;0;6;14;12;8;10;12;16;6;2;4;14;10;6;10;2;4;16;16;14;12;8;0;4;4;24;10;8;10;2;6;4;6;6;2;8;0;14;2;10;0;2;6;2;2;8;0;2;6;8;2;2;4;2;6;0;0;12;4;2;2;4;6;4;6;4;4;0;12;4;0;0;0;4;0;6;4
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;2;14;16;2;8;14;0;8;20;12;8;14;4;2;26;2;8;6;10;2;4;4;18;6;6;4;8;16;6;4;4;6;10;8;4;8;6;4;8;6;8;6;8;6;2;0;4;6;6;2;4;4;6;4;12;8;8;0;4;2;4;2;0;4;0;2;0;6;6;10;4;2;8;0;4;4;2;4;4;6;0;16;8
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;20;4;18;4;10;6;2;12;8;12;4;0;6;4;10;8;6;22;6;6;6;8;12;0;10;10;14;12;2;4;4;18;0;8;4;6;2;8;12;4;14;4;2;10;8;4;6;6;6;0;6;8;0;6;6;2;4;0;2;2;6;4;2;0;2;4;0;2;0;0;2;8;4;6;4;6;0;2;2;2;2;8;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;8;12;22;10;2;4;8;22;10;2;12;20;6;6;6;0;10;2;10;6;4;10;16;6;6;4;0;0;2;34;10;6;8;4;12;2;0;6;6;6;2;10;0;6;0;0;0;4;4;10;0;0;8;6;8;4;8;2;10;2;0;4;2;6;0;0;0;2;6;6;4;0;10;6;0;0;0;0;6;0;4
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;104;16;0;0;2;6;0;2;2;2;2;4;2;4;0;6;0;0;2;4;0;2;0;28;2;6;0;0;0;2;0;6;0;0;8;0;4;4;6;0;2;30;2;0;6;0;0;0;0;0;0;0;2;4;2;4;26;0;0;6;32;4;0;2;2;0;0;2;0;2;0;0;0;2;0;2;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4;16;26;0;2;10;6;20;36;8;2;14;6;24;6;8;4;4;6;6;0;6;6;6;10;10;4;20;4;6;6;14;14;0;6;10;8;18;8;0;2;2;0;4;0;6;8;6;2;6;8;4;4;0;0;2;8;0;6;0;4;4;16;8;2;6;18;4;10;2;2;4;2;4;4;6;6;2;2;14
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;2;0;14;12;16;8;16;12;6;22;6;18;6;6;4;12;6;4;10;8;4;30;8;4;0;0;6;8;8;8;16;6;8;4;8;4;6;2;2;6;2;2;0;16;0;0;0;4;4;8;6;2;0;0;0;6;2;0;8;2;4;2;4;14;4;4;2;2;4;4;0;0;0;0;4;2;0;6
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;10;8;6;12;0;16;14;4;34;2;2;2;6;12;14;6;4;6;18;0;2;2;0;4;4;2;4;2;0;16;8;4;6;2;4;2;10;0;8;2;2;8;8;2;4;8;8;12;2;2;20;0;2;0;0;0;2;12;4;2;6;6;2;4;0;16;20;2;6;0;4;0;0;14;0;4
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;16;14;2;18;16;2;6;8;6;8;2;4;8;0;4;0;2;4;8;10;4;4;4;4;6;2;4;14;6;4;8;8;8;2;6;2;8;6;2;2;0;4;6;6;0;6;4;0;10;6;2;2;6;4;8;0;4;4;10;0;12;4;4;4;4;6;0;0;4;4;6;4;4;0;4;12
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;10;4;4;2;6;6;8;6;16;14;2;8;4;0;10;0;4;4;2;2;52;0;4;0;18;8;4;0;2;6;4;2;6;6;4;2;2;4;4;4;4;2;6;6;6;8;2;2;10;14;6;4;0;0;4;2;2;2;6;6;2;12;16;0;6;0;10;10;8;4;0;4;0
hall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;40;0;0;0;2;0;0;0;0;2;0;0;0;0;0;76;0;0;2;36;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;8;14;4;8;6;12;6;12;6;6;2;8;0;4;4;0;6;8;0;14;2;6;0;6;4;2;8;8;6;4;0;4;6;6;0;4;4;0;2;6;8;0;2;6;0;4;2;0;6;8;8;6;0;6;4;6;2;6;2;4;6;2;8;4;0;2;2;0;2;4;22;4;2
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;2;2;6;6;14;6;4;0;18;0;8;4;2;14;4;2;4;10;4;12;4;6;4;18;6;0;4;6;2;4;6;12;6;10;0;6;2;4;12;6;4;0;8;2;4;0;2;6;6;4;4;0;8;6;6;0;8;6;2;6;4;4;0;6;0;8;6;8;8;0;8;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;8;52;2;8;10;2;8;0;10;8;10;4;4;6;22;6;8;4;2;8;12;0;2;10;20;8;2;6;8;8;2;6;6;4;2;2;10;2;2;8;6;2;6;2;6;6;0;0;6;4;0;4;2;4;2;0;0;0;6;2;0;4;0;2;0;4;4;0;2;2;10
