;trump;president;great;united;people;states;new;house;american;government;federal;national;state;news;white;administration;world;obama;man;country;republican;working;democrats;department;big;media;thank;york;best;fbi;party;campaign;election;donald;history;washington;senate;help;bill;russia;america;former;job;court;police;military;2016;justice;fake;article;story;love;trying;americans;may;security;year;good;committee;presidential;china;support;hard;night;city;week;investigation;work;team;times;released;left;congress;nothing;take;thing;russian;political;supreme;hillary;money;another;called;killed;law;attack;win;following;important;clinton;senator;radical;proud;women;think;number;reserve;deal;stop;health
trump;0;572;142;108;114;96;134;144;76;52;74;82;54;110;118;152;20;52;34;52;92;38;46;40;36;78;24;54;16;98;36;166;78;284;40;82;44;30;24;102;34;52;34;32;10;22;70;48;52;30;32;18;38;38;32;40;10;20;44;82;28;18;26;36;12;32;62;6;22;40;30;20;24;34;12;34;48;38;20;50;22;24;44;10;22;32;34;16;18;50;26;22;6;16;18;12;12;12;14;10
president;0;0;160;198;124;186;104;148;108;52;52;88;60;90;118;44;34;110;28;60;40;52;40;24;28;60;26;48;22;78;32;70;74;102;54;54;46;38;22;64;30;66;46;30;12;40;52;34;56;16;22;20;32;26;26;42;16;32;46;34;32;6;30;46;8;30;48;18;30;38;34;22;28;14;16;24;54;38;24;40;12;22;42;10;24;26;32;14;36;30;22;18;14;12;22;16;10;18;22;8
great;0;0;0;110;190;106;96;46;142;32;40;42;100;62;44;36;48;38;50;92;68;64;56;24;70;42;80;26;62;12;38;26;42;42;30;30;22;34;34;12;84;8;112;16;8;46;16;18;24;16;32;80;30;32;12;8;38;36;6;26;20;28;44;34;12;10;4;52;32;20;4;26;20;18;36;32;2;22;12;16;18;34;16;10;14;18;36;6;28;16;52;32;40;20;16;18;16;20;14;6
united;0;0;0;0;142;954;54;50;84;106;46;46;54;36;50;58;114;30;20;90;24;48;22;26;24;20;32;16;28;8;32;12;18;34;56;16;22;38;28;34;90;16;14;34;6;54;14;28;12;14;14;14;10;18;20;26;20;22;10;12;64;34;24;20;22;8;16;16;10;14;14;16;18;4;28;12;30;32;20;14;12;18;26;14;26;38;8;18;24;10;12;18;30;20;18;32;8;20;32;10
people;0;0;0;0;0;148;92;40;240;62;48;56;60;54;36;62;62;46;44;66;42;70;26;28;42;72;38;30;40;26;42;24;34;20;30;34;22;40;26;10;38;24;34;18;20;30;16;24;34;26;20;32;36;26;20;22;20;26;16;18;14;28;42;14;16;22;10;36;16;12;10;20;18;24;22;20;12;38;10;22;36;30;24;52;22;30;24;22;26;20;22;14;30;14;28;36;10;24;26;32
states;0;0;0;0;0;0;54;52;84;106;56;42;56;34;46;62;108;30;20;88;22;56;26;22;22;18;32;16;24;10;32;12;20;24;46;14;26;42;30;30;92;16;12;46;8;50;14;28;12;14;14;14;10;18;22;26;20;24;12;14;56;36;28;12;16;12;16;18;10;12;16;16;18;6;28;8;28;26;34;14;14;18;22;14;26;32;10;16;26;12;14;20;26;22;14;32;8;22;26;12
new;0;0;0;0;0;0;0;34;40;36;46;46;70;50;26;64;22;46;26;22;42;14;32;36;42;24;22;320;22;32;34;36;18;38;18;24;22;18;48;20;20;36;20;10;8;12;20;12;18;26;42;22;30;40;16;20;28;26;10;20;14;12;14;20;42;28;20;20;24;158;40;24;16;20;18;16;14;22;4;24;24;24;32;12;14;14;16;16;14;32;28;16;24;12;18;20;16;20;6;24
house;0;0;0;0;0;0;0;0;34;34;26;30;16;54;388;22;14;30;10;22;28;38;52;18;24;10;32;8;16;38;20;28;30;18;8;26;50;22;62;36;26;42;20;8;6;20;32;16;14;2;8;6;22;12;12;12;10;20;62;16;10;8;14;18;4;12;22;8;10;10;28;14;20;10;12;10;30;10;6;10;10;14;14;8;16;4;18;8;10;8;12;14;6;12;6;4;2;6;8;12
american;0;0;0;0;0;0;0;0;0;34;28;38;14;32;20;56;32;48;30;28;26;18;28;14;26;22;36;16;22;18;22;16;14;10;54;24;16;16;12;6;34;8;12;22;4;34;2;18;22;22;18;20;14;14;8;12;28;10;12;12;14;16;8;10;6;8;2;10;6;10;16;18;32;14;12;18;8;26;18;8;8;20;14;6;8;12;18;20;14;10;8;22;6;8;8;4;8;22;22;8
government;0;0;0;0;0;0;0;0;0;0;148;26;30;22;20;38;28;18;10;30;12;40;12;12;12;20;12;2;14;10;16;12;18;6;14;10;18;24;18;20;10;8;14;28;4;12;14;12;10;2;0;0;16;18;16;16;14;6;12;14;4;20;10;2;12;10;4;10;6;2;14;10;18;16;12;0;28;12;20;0;26;10;14;4;18;10;0;10;10;2;10;10;0;6;6;16;2;10;12;8
federal;0;0;0;0;0;0;0;0;0;0;0;16;36;14;28;48;14;20;20;18;6;14;8;38;16;6;4;14;6;14;6;14;22;18;14;24;6;22;10;12;6;10;20;36;2;0;14;22;4;6;4;2;8;24;4;10;14;8;6;10;10;8;4;0;14;10;28;6;0;14;4;0;12;8;0;10;6;10;14;4;32;8;14;6;20;6;4;4;8;4;4;2;2;4;2;18;146;2;8;12
