;new;#coronavirus;york;cases;health;yorkers;nys;state;spread;ny;help;testing;update;home;watch;hospital;public;#covid19;people;save;states;medical;thank;closed;stay;federal;confirmed;capacity;work;healthcare;care;tests;hospitals;positive;virus;live;center;workers;professionals;take;reduce;available;briefing;lives;updates;government;life;stop;temporary;order;protect;captioning;staff;emergency;bringing;supplies;rochelle;provide;best;continue;working;cant;social;nonessential;school;test;private;schools;labs;information;doctors;county;sick;facts;nyc;fear;ventilators;response;fight;facilities;rate;call;businesses;please;masks;calling;fully;coronavirus;taking;nurses;number;family;pandemic;javits;together;part;beds;still;increase;holding
new;0;82;120;32;24;64;28;42;28;20;36;22;30;20;24;16;10;24;20;18;20;8;8;4;10;10;22;10;12;16;8;14;6;20;12;10;20;14;6;10;10;0;6;10;8;10;16;10;2;6;8;0;2;10;10;6;18;4;6;12;4;2;8;10;4;8;4;6;2;12;6;8;12;4;6;6;10;12;10;4;0;6;0;4;6;4;8;8;6;6;14;6;8;10;8;8;4;8;2;0
#coronavirus;0;0;32;32;18;26;38;24;24;16;14;26;46;10;48;6;12;8;14;0;12;2;4;4;10;6;22;12;4;8;8;16;2;16;4;28;8;2;4;8;8;0;22;0;24;0;0;2;2;2;6;0;2;8;16;2;10;4;6;8;4;4;6;4;6;16;8;2;10;12;2;6;6;6;6;10;0;18;4;2;0;6;0;2;0;6;4;2;6;2;8;0;8;4;0;2;0;4;8;16
york;0;0;0;4;10;4;10;32;8;4;18;8;10;10;8;12;6;10;8;8;6;4;6;0;6;10;0;6;4;12;4;4;4;2;8;0;8;10;6;2;2;0;6;4;4;10;8;6;0;2;4;0;2;2;0;8;0;4;2;6;4;0;8;4;2;2;4;2;2;4;2;2;4;2;2;2;6;2;6;2;0;4;0;2;6;2;2;6;0;2;0;2;6;8;2;4;4;6;2;0
cases;0;0;0;0;4;6;28;4;8;8;4;4;24;6;0;2;2;4;6;0;4;0;0;0;0;6;24;0;0;0;0;6;0;18;0;0;0;2;0;4;0;0;0;0;2;0;0;4;0;0;2;0;0;2;22;0;8;0;0;8;2;0;0;0;0;10;0;0;0;0;0;4;4;2;4;2;0;0;2;0;2;0;0;0;0;0;2;4;0;0;8;2;0;0;0;0;0;2;0;0
health;0;0;0;0;0;4;6;6;4;10;16;8;4;6;2;0;28;10;4;6;4;10;10;2;4;2;6;2;6;2;20;0;4;2;6;0;0;6;12;2;6;0;0;10;2;0;4;0;2;6;8;0;12;10;0;0;0;2;4;4;4;10;4;0;4;0;2;6;2;0;0;2;4;0;2;2;0;0;0;0;0;4;0;4;0;4;2;2;2;6;2;2;4;0;0;8;2;4;2;0
yorkers;0;0;0;0;0;0;4;4;12;2;16;4;6;10;14;0;0;2;6;6;8;2;0;0;2;0;2;0;4;2;2;2;0;6;2;8;0;2;0;8;2;0;0;4;2;0;4;2;0;2;0;0;2;2;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;8;0;0;6;2;0;2;4;8;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;6;0;0;0;0;0
nys;0;0;0;0;0;0;0;2;4;6;4;10;20;0;2;6;4;8;6;0;2;6;2;0;0;4;20;8;4;2;4;6;2;8;2;0;2;4;4;0;2;0;4;0;0;2;2;4;0;0;2;0;4;2;18;2;4;4;0;6;2;0;2;0;2;12;4;4;6;2;4;2;4;2;6;0;0;0;4;2;2;2;0;2;0;0;0;6;0;2;8;0;2;0;0;4;2;2;6;0
state;0;0;0;0;0;0;0;0;8;0;8;8;4;8;0;4;6;4;2;2;2;2;0;0;8;2;0;6;14;8;2;6;6;2;6;0;4;6;2;0;2;0;0;0;4;2;0;2;6;4;4;0;0;8;0;0;2;2;2;6;4;0;0;6;0;0;4;4;4;4;0;2;0;0;2;0;0;2;2;4;2;0;0;0;2;0;2;2;4;0;0;0;4;2;2;2;2;2;2;0
spread;0;0;0;0;0;0;0;0;0;6;22;4;0;24;0;2;4;8;6;12;2;0;0;4;8;2;0;4;2;4;0;8;2;6;6;0;0;4;0;14;18;0;0;6;0;0;2;16;0;2;2;0;0;0;0;0;2;2;4;4;0;2;4;6;2;4;4;6;2;0;0;2;8;2;2;4;0;0;0;0;2;2;0;0;0;2;2;0;6;0;0;0;0;0;0;4;0;4;4;0
ny;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;4;2;4;0;2;10;2;4;6;0;6;4;8;0;4;2;6;10;6;2;0;2;2;0;0;4;2;0;2;0;0;0;2;4;0;4;0;0;4;0;4;2;4;2;0;2;4;0;0;2;2;0;2;0;0;0;2;0;2;2;2;4;0;2;0;2;2;0;2;4;0;2;2;2;0;4;0;2;0;2;4;0;0;2;0
