;president;people;government;united;trump;states;news;great;new;federal;house;media;amazing;administration;judge;signed;police;criminal;state;obama;russian;justice;party;department;russia;infamous;night;democrats;election;michael;democratic;white;fake;act;debate;world;announce;five;donald;court;national;law;good;rights;senate;governor;big;country;care;best;bill;human;free;says;supreme;fbi;wants;bernie;washington;special;money;league;full;putin;wonderful;whether;china;action;arrived;calling;entities;please;average;place;georgia;respected;campaign;fact;days;pleased;congress;friday;serious;totally;organization;weeks;american;contract;agent;worst;able;change;climate;looking;sanders;another;year;man;security;post
president;0;0;0;8;14;6;4;2;0;2;0;4;0;4;2;2;0;4;2;2;2;4;2;0;0;2;2;2;4;2;0;0;4;0;2;0;0;0;4;2;2;2;0;0;2;2;2;2;2;2;0;0;0;2;2;0;2;0;4;4;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;2;4;0;2;0;4;6;0;0;2;0;0;0;0;0;4;0;0;0;0
people;0;0;4;0;2;0;4;2;0;4;2;2;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0
government;0;0;0;0;0;0;2;2;0;10;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;4;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
united;0;0;0;0;0;18;2;0;0;2;0;0;0;2;6;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0
trump;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;4;2;0;0;4;2;2;0;4;2;2;0;2;0;2;0;0;0;6;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;4;4;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0
news;0;0;0;0;0;0;0;2;0;2;2;10;2;2;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2
