Tweets,Month,Quarter,sampling,TweetsTokenized
"Revelation given by Jesus Christ to Joseph Smith the Prophet on July 16, 1843:
""I tell you the truth and it is the truth. It has been told many times over and still is the truth.",January,Q1,22,"['revelation', 'given', 'jesus', 'christ', 'joseph', 'smith', 'prophet', 'july', '16', '1843i', 'tell', 'truth', 'truth', 'told', 'times', 'still', 'truth']"
"Championship Signing Day is upon us! I wanted to take this opportunity to thank the families of the fallen who are hurting - and I want to thank the players who give everything for our great National Football League!

",January,Q1,22,"['championship', 'signing', 'upon', 'wanted', 'take', 'opportunity', 'thank', 'families', 'fallen', 'hurting', 'thank', 'players', 'give', 'great', 'national', 'football', 'league']"
"But what if the President didn’t know this? What if he didn’t ask? Would he be impeached?
“President Trump should know better than to tweet that the Failing New York Times",January,Q1,22,"['president', 'ask', 'impeachedpresident', 'trump', 'tweet', 'failing', 'new', 'york', 'times']"
"The following is a list of all the videos that have so far been released by the Islamic State (ISIS) and what they contain or suggest. The videos will be added to this page as they are released.
RT @",January,Q1,22,"['following', 'list', 'videos', 'released', 'islamic', 'state', 'isis', 'contain', 'suggest', 'videos', 'added', 'page', 'releasedrt', '@']"
"The music industry is a really great place to be.
The music industry is a really great place to be.
Today is National Homebrewing Day. Find a local homebrew shop and support small businesses! #Hops",January,Q1,22,"['music', 'industry', 'great', 'place', 'bethe', 'music', 'industry', 'great', 'place', 'betoday', 'national', 'homebrewing', 'find', 'local', 'homebrew', 'shop', 'support', 'businesses', '#hops']"
"The 2016 Presidential race is completely backfiring on the Republican Party.
The Trump Train has left the station. Today the Republican Party was a joke. Now it is a laughingstock!
The Democrats have now admitted that",January,Q1,22,"['2016', 'presidential', 'race', 'completely', 'backfiring', 'republican', 'partythe', 'trump', 'train', 'left', 'station', 'republican', 'party', 'joke', 'laughingstockthe', 'democrats', 'admitted']"
"This is a conversation between a clown and a guy named Morpheus .
....This is Morpheus. You just had a GREAT time. No one will believe you anymore. It was a GREAT time. Now you have people",January,Q1,22,"['conversation', 'clown', 'guy', 'named', 'morpheus', 'morpheus', 'great', 'believe', 'anymore', 'great', 'people']"
"You can always play these games again.
Great job Dianne Feinstein. The Wall Street Journal just called it and I think everyone knows it. Many people will know her by her phony story about my not calling her by her real",January,Q1,22,"['play', 'games', 'againgreat', 'job', 'dianne', 'feinstein', 'wall', 'street', 'journal', 'called', 'think', 'everyone', 'knows', 'people', 'phony', 'story', 'calling', 'real']"
"Two weeks ago the National Football League released a statement denouncing the vile and disgusting attack on a journalist at a Trump campaign rally. The statement stated that the perpetrators were ""deeply troubled"" by the vicious and cowardly attack on a",January,Q1,22,"['weeks', 'national', 'football', 'league', 'released', 'statement', 'denouncing', 'vile', 'disgusting', 'attack', 'journalist', 'trump', 'campaign', 'rally', 'statement', 'stated', 'perpetrators', 'deeply', 'troubled', 'vicious', 'cowardly', 'attack']"
"Download raw source

Delivered-To: john.podesta@gmail.com Received: by 10.25.24.74 with SMTP id z9csp146250lfi; Wed, 21",January,Q1,22,"['download', 'raw', 'sourcedeliveredto', 'johnpodesta@gmailcom', 'received', '10252474', 'smtp', 'id', 'z9csp146250lfi', 'wed', '21']"
