;trump;great;new;president;federal;york;people;united;state;working;russian;government;story;states;senate;white;support;times;good;says;house;florida;amazing;proud;administration;history;intelligence;national;news;year;nothing;economy;post;former;donald;days;bad;2016;city;country;deal;vote;american;party;happened;reserve;hard;republican;world;democrats;months;committee;lot;iran;china;continue;trade;money;million;raise;take;pleased;life;documents;investigation;morning;election;job;told;worst;voted;meeting;fight;contact;weapon;washington;whether;thing;god;early;oakland;charlotte;chinese;media;complete;hearing;breaking;problem;head;general;march;mayor;nfl;run;congress;game;department;forces;tweets;michael
trump;0;8;8;18;2;8;4;2;2;6;4;2;2;2;0;6;2;6;4;2;6;0;0;2;6;0;2;0;4;2;2;2;0;0;10;2;0;0;0;0;4;4;2;2;0;0;6;4;0;2;2;0;2;2;4;2;2;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0;4;0;2;0
great;0;0;0;2;2;0;2;0;2;4;0;2;0;0;0;0;4;0;2;0;0;0;2;4;2;2;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;4;0;0;0;0;4;2;0;2;0;0;2;0;4;4;0;2;0;0;2;0;2;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;4;2;0;2;0
new;0;0;0;6;0;16;2;2;2;0;2;0;2;2;0;0;0;10;0;6;0;0;0;0;2;0;2;0;0;4;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;4
president;0;0;0;0;0;6;2;0;0;2;2;2;0;0;0;6;2;6;2;2;6;2;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0
federal;0;0;0;0;0;0;2;0;4;0;0;10;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;4;2;2;0;0;2;0;0;6;0;0;0;2;0;0;0;0;0;0;0;6;2;4;2;2;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0
york;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;10;0;6;0;0;0;0;2;0;2;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;4
people;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;2;0;0;4;4;0;0;2;0;2;0;0;0;0;0;2;2;0;2;2;2;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2
united;0;0;0;0;0;0;0;0;2;0;0;0;2;12;2;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2
state;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0
working;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;2;0;8;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
