kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
state,29,state,46,#covid19,170,covid19,136,died,95,people,96,connecticut,338,#covid19,170,covid19,287,connecticut,338
connecticut,21,connecticut,32,state,87,connecticut,103,covid19,88,data,81,covid19,293,state,162,connecticut,221,covid19,293
live,12,new,20,connecticut,64,updates,76,#memorialday,67,covid19,63,people,267,connecticut,117,people,218,people,267
thanks,11,#ctsots,16,county,58,news,76,#honorthefallen,65,connecticut,56,state,261,news,66,news,182,state,261
new,9,states,13,briefing,57,briefing,73,connecticut,62,news,47,news,248,live,63,briefing,179,news,248
service,9,year,13,response,54,live,69,army,60,briefing,47,briefing,237,briefing,58,data,179,briefing,237
communities,8,efforts,12,news,54,people,62,people,60,latest,38,updates,222,updates,58,updates,164,updates,222
lamont,8,great,12,updates,54,latest,59,briefing,59,live,37,live,220,county,58,live,157,live,220
continue,7,ct,11,order,47,discuss,53,news,59,updates,35,#covid19,190,residents,58,latest,140,#covid19,190
happening,7,best,11,residents,43,patients,48,data,53,tests,34,data,184,response,57,died,134,data,184
news,7,workforce,11,tested,42,data,45,updates,53,positive,34,latest,173,new,55,discuss,122,latest,173
people,7,live,11,positive,42,state,44,live,51,visit,31,discuss,152,provide,53,tested,101,discuss,152
help,6,health,10,provide,41,tested,43,state,43,update,31,tested,145,health,50,state,99,tested,145
family,6,families,10,health,40,update,39,latest,43,tested,30,positive,144,people,49,update,98,positive,144
good,6,work,9,live,40,positive,36,iraq,40,discuss,29,update,137,order,48,positive,96,update,137
proud,6,residents,9,update,37,hospitalized,32,discuss,40,currently,27,died,136,efforts,48,hospitalized,86,died,136
provide,6,education,9,people,34,health,32,patients,30,reported,27,happening,106,positive,48,visit,84,happening,106
business,6,local,9,connecticuts,34,workers,29,tested,28,daily,26,hospitalized,98,tested,44,patients,78,hospitalized,98
residents,6,people,8,@ctdph,33,new,28,hospitalized,28,died,26,health,95,connecticuts,44,daily,78,health,95
governor,6,online,8,#connecticut,32,visit,27,update,28,hospitalized,26,visit,94,happening,41,#memorialday,67,visit,94
hall,6,community,8,efforts,31,daily,24,daily,28,tracker,24,patients,92,update,39,tests,67,patients,92
great,6,students,8,public,30,states,23,tests,27,click,24,tests,89,@ctdph,38,happening,65,tests,89
students,6,opportunity,7,actions,30,sets,23,currently,27,todays,20,new,89,states,37,#honorthefallen,65,new,89
