;new;city;crisis;covid19;yorkers;help;york;health;people;testing;workers;care;week;hospitals;thank;lives;front;federal;protect;face;million;ventilators;social;cant;next;support;hall;call;#askmymayor;public;fight;gowns;communities;community;government;surgical;medical;distancing;hospital;latest;together;state;still;personnel;working;supplies;sites;home;wont;food;lines;fighting;join;work;stay;country;save;lost;take;line;disease;virus;recovery;families;days;seeing;tests;safe;heroes;across;rent;seen;weeks;good;students;making;yorker;needs;everyone;neighbors;cities;school;ahead;april;311;big;enough;lot;test;@nychealthsystem;coverings;hit;something;anyone;may;seniors;states;supply;greatest;aid
new;0;142;74;56;146;66;114;44;24;16;40;40;24;16;38;22;28;8;32;26;18;6;20;14;12;14;12;20;18;14;24;12;10;12;8;10;12;16;12;12;18;14;12;18;14;8;8;22;14;22;10;12;12;14;6;10;12;14;8;16;8;8;14;10;6;14;6;12;12;12;10;6;8;2;4;16;26;8;4;12;6;6;6;6;8;6;4;8;6;8;12;2;12;2;6;2;2;8;10;2
city;0;0;54;70;42;52;98;22;32;16;20;16;22;12;28;24;16;14;10;12;10;10;6;6;6;4;48;16;16;8;18;6;12;4;10;6;12;2;8;40;12;10;6;14;10;8;4;16;8;10;10;8;22;14;10;14;8;12;10;6;10;4;10;8;4;8;6;12;6;14;2;6;4;4;4;12;6;8;10;2;8;0;4;6;8;8;2;6;6;0;2;4;6;2;2;0;4;6;4;8
crisis;0;0;0;50;30;36;22;20;10;8;20;20;8;8;20;10;18;8;12;12;2;4;2;4;2;12;0;16;14;4;12;2;2;4;6;2;6;0;6;2;12;6;6;8;8;6;0;6;10;10;8;4;6;12;6;4;6;8;2;12;0;4;8;6;6;4;0;8;10;6;8;8;4;2;6;2;8;4;4;8;0;2;6;2;4;2;6;6;2;4;4;0;2;4;0;6;0;4;0;4
covid19;0;0;0;0;20;14;24;18;18;8;14;16;2;2;8;10;18;2;10;6;0;2;4;4;2;8;48;6;18;0;20;2;6;6;0;2;4;4;2;42;10;4;4;4;0;4;0;4;4;2;10;4;28;6;2;8;8;4;4;8;2;2;2;4;4;2;6;0;8;4;0;6;0;2;4;0;8;0;2;6;2;2;0;2;6;2;2;2;4;4;4;6;2;8;2;2;0;0;0;2
yorkers;0;0;0;0;0;34;16;32;14;2;30;30;4;4;22;14;10;2;22;20;14;4;14;6;2;10;0;12;2;8;10;6;4;4;2;6;6;10;4;0;8;8;10;8;10;4;2;14;10;16;4;8;0;6;2;2;8;10;6;6;2;6;6;6;4;6;2;4;6;6;6;6;4;0;0;4;6;2;2;8;4;4;0;2;6;2;4;0;0;4;10;0;2;2;2;2;0;2;6;0
help;0;0;0;0;0;0;22;16;8;10;22;16;14;14;18;16;12;14;10;8;8;16;4;6;6;12;0;20;8;14;10;4;2;4;8;2;8;0;6;0;4;10;8;8;8;4;6;2;6;6;8;4;2;6;0;10;6;4;4;4;2;8;10;6;2;2;4;2;4;4;2;0;0;2;8;8;4;12;8;6;6;2;2;0;10;2;4;6;6;4;4;0;0;2;4;2;2;4;2;4
york;0;0;0;0;0;0;0;6;10;4;4;6;12;4;16;6;8;2;4;4;2;4;0;6;4;4;12;2;12;2;10;6;6;2;0;4;6;0;4;12;6;6;4;4;2;2;2;10;6;4;4;2;10;2;4;8;4;2;2;2;2;4;6;0;2;4;0;2;6;2;4;0;2;0;0;8;4;4;0;0;2;0;2;2;2;4;2;2;2;0;0;2;4;0;4;0;2;2;4;2
health;0;0;0;0;0;0;0;0;12;10;58;76;6;20;12;4;26;10;14;6;4;2;8;2;0;6;0;6;6;16;4;10;4;6;8;8;6;6;10;0;4;0;2;12;6;6;4;4;2;8;16;6;2;8;0;0;4;2;8;8;0;2;4;4;0;6;6;2;12;2;0;6;0;0;0;4;0;6;2;2;4;2;2;0;4;0;4;0;4;6;0;2;2;6;0;6;4;0;6;0
people;0;0;0;0;0;0;0;0;0;8;4;10;4;8;6;2;6;2;16;8;4;2;6;6;2;0;0;2;2;4;6;2;8;10;2;2;2;2;4;0;4;2;2;4;6;2;6;2;2;4;2;4;0;2;4;4;2;2;6;4;6;6;0;4;4;6;4;10;2;6;0;6;2;2;0;6;0;0;4;0;2;0;2;0;2;6;0;2;6;4;6;6;4;2;0;4;4;0;2;2
testing;0;0;0;0;0;0;0;0;0;0;10;8;16;4;2;4;4;20;2;0;0;0;2;8;6;0;0;0;0;2;4;0;4;16;14;0;4;2;6;0;4;0;6;6;2;4;22;0;2;0;0;0;0;0;0;2;0;0;6;4;4;6;0;0;2;2;20;0;0;10;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;2;4;2;14;6;0;6;2;2;2;0;0;2;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;58;4;18;14;6;28;8;10;8;6;2;2;2;2;8;0;2;0;16;4;10;2;4;8;8;6;2;10;0;4;0;4;6;4;2;4;4;0;2;16;8;2;8;0;0;6;4;4;14;0;0;2;2;0;6;2;4;6;2;0;4;0;0;0;2;2;4;4;0;6;2;2;0;0;0;4;0;4;10;2;2;0;0;0;0;2;0;6;0
care;0;0;0;0;0;0;0;0;0;0;0;0;6;20;14;4;26;6;8;6;4;2;2;2;0;10;0;4;4;14;6;10;2;4;4;8;4;2;8;0;4;2;2;10;2;4;4;4;2;2;16;6;2;6;0;2;4;0;8;10;2;0;4;2;0;8;4;2;14;4;0;0;0;0;0;4;2;0;2;4;2;0;2;0;2;2;4;0;4;8;0;2;4;0;0;0;2;0;6;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;4;2;12;4;8;2;14;0;2;20;0;0;4;2;4;0;12;2;8;8;8;4;0;6;0;4;6;2;0;4;4;10;4;2;0;2;0;0;0;2;0;4;2;2;0;4;2;0;0;0;0;10;2;2;6;0;0;2;8;0;6;0;0;0;2;0;0;4;2;0;4;8;4;8;2;2;0;0;2;8;0;0;8;0;2
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;14;10;4;0;4;10;0;2;2;2;0;2;2;28;0;8;2;4;6;10;10;0;6;0;2;2;4;14;0;10;4;0;0;0;8;2;2;2;2;0;4;0;4;8;0;0;0;0;2;4;2;2;8;4;0;2;0;2;0;0;2;0;2;0;0;0;4;2;0;2;4;0;2;4;0;2;0;0;2;0;2;6;4;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;6;8;4;10;0;0;2;2;6;0;4;0;10;8;2;4;2;6;2;8;0;4;0;2;2;2;6;12;2;0;0;2;2;6;0;2;2;2;6;4;0;2;12;2;2;0;4;2;2;2;4;12;4;0;6;6;0;8;2;0;0;6;0;0;4;2;0;0;2;2;6;0;4;4;0;2;0;0;2;0;0;2;6
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;2;4;4;12;6;2;4;0;6;6;6;6;0;2;4;4;0;2;10;2;0;6;2;4;4;4;4;0;4;0;0;8;4;2;2;4;2;26;6;6;6;4;2;0;2;2;0;0;4;4;0;0;2;4;0;2;4;0;0;4;0;0;0;0;0;0;0;0;2;0;4;0;0;2;4;0;0;0;0;4;0
front;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;2;8;0;4;2;6;10;6;0;4;0;6;8;0;4;0;4;2;0;8;4;6;2;0;2;0;34;8;2;0;0;4;4;0;2;24;0;0;2;0;0;6;0;4;14;4;0;0;0;0;0;4;4;2;4;0;2;0;2;0;0;2;2;0;0;6;2;0;0;4;0;0;4;0;0;4
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;2;2;4;0;2;0;8;0;10;2;4;40;10;0;0;2;0;2;12;10;2;2;6;4;2;2;0;0;2;0;2;0;0;2;0;2;0;2;8;0;0;2;4;6;0;0;2;0;4;0;2;0;2;0;0;2;2;4;0;2;4;0;2;4;2;2;0;0;0;0;0;2;0;0;6;0;4
