Tweets,Month,Quarter,sampling,TweetsTokenized
The New York Jets have signed former LSU defensive end/linebacker Montravius Adams a four-year deal worth $25.5 million with $11 million guaranteed. Adams played for the Jags from 2011-15 while,January,Q1,27,"['new', 'york', 'jets', 'signed', 'former', 'lsu', 'defensive', 'endlinebacker', 'montravius', 'adams', 'fouryear', 'deal', 'worth', '255', 'million', '11', 'million', 'guaranteed', 'adams', 'played', 'jags', '201115']"
"Thousands of people flocked to Washington DC on Sunday to pay their respects to those who have died during the recent violence in Charlottesville, Virginia.
Many of these protestors have lost loved ones in the horrific violence that has engulfed our",January,Q1,27,"['thousands', 'people', 'flocked', 'washington', 'dc', 'sunday', 'pay', 'respects', 'died', 'recent', 'violence', 'charlottesville', 'virginiamany', 'protestors', 'lost', 'loved', 'ones', 'horrific', 'violence', 'engulfed']"
"The Department of Energy (DOE) has released a list of some of the countries and individuals that they believe are actively seeking to develop the capabilities to deliver a nuke to the U.S.A.
On the",January,Q1,27,"['department', 'energy', 'doe', 'released', 'list', 'countries', 'individuals', 'believe', 'actively', 'seeking', 'develop', 'capabilities', 'deliver', 'nuke', 'usaon']"
"By David Martin

Editor-In-Chief

DISCLAIMER: This article does not constitute legal advice. If you have any questions or concerns, you should speak with a licensed attorney.
Welcome back to Morning",January,Q1,27,"['david', 'martineditorinchiefdisclaimer', 'article', 'constitute', 'legal', 'advice', 'questions', 'concerns', 'speak', 'licensed', 'attorneywelcome', 'morning']"
"Image copyright AFP Image caption President Maduro has a record of critics being tortured and killed

The death toll from Venezuela's worst-ever political assassination has reached at least 21 people.
The United States condemns this brutal crime and",January,Q1,27,"['image', 'copyright', 'afp', 'image', 'caption', 'president', 'maduro', 'record', 'critics', 'tortured', 'killedthe', 'death', 'toll', 'venezuelas', 'worstever', 'political', 'assassination', 'reached', 'least', '21', 'peoplethe', 'united', 'states', 'condemns', 'brutal', 'crime']"
"The Final Call | National News

New Jersey Devils Trade Jaromir Jagr to the Tampa Bay Lightning in exchange for forward Johnny Gaudreau • The Orlando Sentinel • Thursday, May 14, 2016 12:53:",January,Q1,27,"['final', 'call', 'national', 'newsnew', 'jersey', 'devils', 'trade', 'jaromir', 'jagr', 'tampa', 'bay', 'lightning', 'exchange', 'forward', 'johnny', 'gaudreau', 'orlando', 'sentinel', 'thursday', 'may', '14', '2016', '1253']"
The jury's still out on whether or not the FBI/DOJ/CIA/etc. were involved in the Michigan State Police shooting death of Oscar Grant. The media is moving so quickly to make this all about the Alt,January,Q1,27,"['jurys', 'still', 'whether', 'fbidojciaetc', 'involved', 'michigan', 'state', 'police', 'shooting', 'death', 'oscar', 'grant', 'media', 'moving', 'quickly', 'alt']"
"The leader of Sweden's far-right Sweden Democrats has been charged with inciting hatred after appearing to compare the migrant crisis to the Holocaust and calling for attacks on Muslim women.
Sweden's far-right Sweden Democrats leader mentions",January,Q1,27,"['leader', 'swedens', 'farright', 'sweden', 'democrats', 'charged', 'inciting', 'hatred', 'appearing', 'compare', 'migrant', 'crisis', 'holocaust', 'calling', 'attacks', 'muslim', 'womenswedens', 'farright', 'sweden', 'democrats', 'leader', 'mentions']"
"On the heels of the latest round of fallout from the Trump campaign's alleged collusion with the Russians, the New York Times has a very interesting piece by David Sanger on the topic:
The Treasury Department has approved a change",January,Q1,27,"['heels', 'latest', 'round', 'fallout', 'trump', 'campaigns', 'alleged', 'collusion', 'russians', 'new', 'york', 'times', 'interesting', 'piece', 'david', 'sanger', 'topicthe', 'treasury', 'department', 'approved', 'change']"
"The best part of the job is that I can be anywhere at anytime and do anything a prime minister can do.
The American people elected a different team than anything they have seen before. This was a team of dreamers",January,Q1,27,"['best', 'part', 'job', 'anywhere', 'anytime', 'anything', 'prime', 'minister', 'dothe', 'american', 'people', 'elected', 'different', 'team', 'anything', 'seen', 'team', 'dreamers']"
The current administration is pushing the United States to give up its nuclear weapons. I don’t see how that will be good for America or for the world. I don’t know the President well but I know,January,Q1,27,"['current', 'administration', 'pushing', 'united', 'states', 'give', 'nuclear', 'weapons', 'good', 'america', 'world', 'president']"
"The following is an article written by Steve Watson, a writer and researcher who uncovered the mass grave containing the remains of over 3000 Chinese Communist Party members.
The human race has endured far more extraordinary moments than this!!!!
Thank",January,Q1,27,"['following', 'article', 'written', 'steve', 'watson', 'writer', 'researcher', 'uncovered', 'mass', 'grave', 'containing', 'remains', '3000', 'chinese', 'communist', 'party', 'membersthe', 'human', 'race', 'endured', 'extraordinary', 'moments', 'thisthank']"
"Want to get out there and help out the LEGO® Community?
You can do it by becoming a member today.
We are working really hard to bring back our Manufacturing and we will. As President I will never let",January,Q1,27,"['help', 'lego', 'communityyou', 'becoming', 'member', 'todaywe', 'working', 'hard', 'bring', 'manufacturing', 'president']"
We've been watching this unfold for quite some time now. The President just let it all hang out. He is trying to do the right thing but the Fake News won't let him. His approval rating is at an all,January,Q1,27,"['watching', 'unfold', 'quite', 'president', 'hang', 'trying', 'thing', 'fake', 'news', 'wont', 'approval', 'rating']"
"This piece was originally published on The Hill

The Senate on Tuesday narrowly passed a $447.7 billion defense bill that includes $45 billion for the Pentagon's controversial $55 billion paid family leave policy.
The House",January,Q1,27,"['piece', 'originally', 'published', 'hillthe', 'senate', 'tuesday', 'narrowly', 'passed', '4477', 'billion', 'defense', 'bill', 'includes', '45', 'billion', 'pentagons', 'controversial', '55', 'billion', 'paid', 'family', 'leave', 'policythe', 'house']"
"The US is expected to send more than 7,500 troops to South Korea to help with the retaliatory military action against North Korea which is said to be preparing for 'catastrophic' outcomes.
The US is sending",January,Q1,27,"['expected', 'send', '7500', 'troops', 'south', 'korea', 'help', 'retaliatory', 'military', 'action', 'north', 'korea', 'preparing', 'catastrophic', 'outcomesthe', 'sending']"
The US House of Representatives passed a defense spending bill on July 24 that includes $5.3 Trillion in military spending over the next 10 years. The NDAA (National Defense Authorization Act) was passed by both Houses of,January,Q1,27,"['house', 'representatives', 'passed', 'defense', 'spending', 'bill', 'july', '24', 'includes', '53', 'trillion', 'military', 'spending', 'next', '10', 'ndaa', 'national', 'defense', 'authorization', 'act', 'passed', 'houses']"
The San Antonio Spurs officially signed guard/forward Tyler Lydon on Monday to a four-year contract worth up to $40 million dollars. Lydon joins the Spurs in time for the 2017-2018 season after previously,January,Q1,27,"['san', 'antonio', 'spurs', 'officially', 'signed', 'guardforward', 'tyler', 'lydon', 'monday', 'fouryear', 'contract', 'worth', '40', 'million', 'dollars', 'lydon', 'joins', 'spurs', '20172018', 'season', 'previously']"
"The Bernie Bros. are back!
The @SNL Team is psyched to announce that @SenJohnKennedy (MA) is ending his campaign! The best is yet to come. He will defeat the Radical Left",January,Q1,27,"['bernie', 'bros', 'backthe', '@snl', 'team', 'psyched', 'announce', '@senjohnkennedy', 'ending', 'campaign', 'best', 'defeat', 'radical', 'left']"
In the aftermath of the outrageous violence and hatred which swept the country on the night of Nov. 13th 2015 a community has risen up and is doing what all good and decent people in the eyes of God and many others should,January,Q1,27,"['aftermath', 'outrageous', 'violence', 'hatred', 'swept', 'country', 'night', 'nov', '13th', '2015', 'community', 'risen', 'good', 'decent', 'people', 'eyes', 'god']"
It's my honor to introduce my friend Senator Tom Cotton TomGeorge Mason students and lifers are 'fearful of you' Dems laughingly raise non-existent crime numbers MORE (R-Ark.). Tom has been an,January,Q1,27,"['honor', 'introduce', 'friend', 'senator', 'tom', 'cotton', 'tomgeorge', 'mason', 'students', 'lifers', 'fearful', 'dems', 'laughingly', 'raise', 'nonexistent', 'crime', 'numbers', 'rark', 'tom']"
"Senator Lindsey Graham Lindsey Olin GrahamKavanaugh, Ford testify: What to watch for Republicans push forward despite new Kavanaugh allegations Election Countdown: Kavanaugh allegations put GOP in tough spot | Republicans start to pull plug on candidates | Dems get",January,Q1,27,"['senator', 'lindsey', 'graham', 'lindsey', 'olin', 'grahamkavanaugh', 'ford', 'testify', 'watch', 'republicans', 'push', 'forward', 'despite', 'new', 'kavanaugh', 'allegations', 'election', 'countdown', 'kavanaugh', 'allegations', 'put', 'gop', 'tough', 'spot', 'republicans', 'start', 'pull', 'plug', 'candidates', 'dems']"
"It sounds like a simple problem to the guys over in San Jose.
They have been running ads against their friend Doug Jones for years and now they wish they could do it in person.
Sounds to me like they wanted",January,Q1,27,"['sounds', 'simple', 'problem', 'guys', 'san', 'josethey', 'running', 'ads', 'friend', 'doug', 'jones', 'wish', 'could', 'personsounds', 'wanted']"
"The Obama administration has said that it is considering recalling more than 2 million bottles of water from the tap because of a chemical leak at a plant in China.
The president has ordered a review of the leak and the safety of",January,Q1,27,"['obama', 'administration', 'considering', 'recalling', '2', 'million', 'bottles', 'water', 'tap', 'chemical', 'leak', 'plant', 'chinathe', 'president', 'ordered', 'review', 'leak', 'safety']"
"That's the catchphrase of one David Brock’s minions.
BREAKING: “Trump was the only one who could have stopped this. The Dems wanted to do this but couldn’t.”",January,Q1,27,"['catchphrase', 'david', 'brocks', 'minionsbreaking', 'trump', 'could', 'stopped', 'dems', 'wanted', 'couldnt']"
