;great;people;trump;president;united;states;new;american;government;federal;obama;state;administration;house;republican;democrats;national;working;big;news;party;white;trying;thank;country;man;russia;police;job;department;billion;election;fbi;media;hard;congress;world;donald;york;washington;city;help;bill;year;history;important;law;win;military;may;place;left;best;america;americans;senate;political;presidential;fake;2016;former;million;support;amazing;hillary;book;campaign;closely;huge;china;investigation;order;justice;court;clinton;work;love;power;thing;think;another;jobs;supreme;russian;week;real;night;family;story;times;health;money;fire;war;nation;economy;take;committee;shooting;youthank
great;0;28;20;16;6;8;24;26;4;10;4;16;8;10;10;6;10;12;6;2;6;10;8;18;14;6;0;2;20;2;2;4;4;4;12;2;6;2;10;4;8;6;6;10;6;6;0;10;12;0;8;0;2;14;8;2;2;0;0;0;2;4;2;6;2;4;8;2;4;4;0;2;0;2;0;8;8;0;2;2;4;10;4;2;6;4;6;2;2;2;4;4;4;2;4;2;2;2;0;2
people;0;0;20;20;20;20;16;50;12;10;12;12;10;4;14;10;10;4;6;12;16;2;12;4;18;4;4;4;10;0;0;6;8;2;8;8;8;4;8;8;6;10;4;6;4;4;10;6;4;4;6;4;8;2;0;8;6;8;8;6;2;8;4;6;6;8;2;2;6;4;0;8;0;2;4;6;4;8;8;8;6;2;4;4;6;2;6;2;4;10;4;2;8;6;2;8;0;2;4;0
trump;0;0;0;74;28;22;26;12;6;10;6;6;16;14;14;8;18;2;8;16;8;16;6;4;8;6;16;2;2;6;2;12;6;10;2;4;2;42;12;4;4;0;6;6;6;4;2;6;4;4;4;6;4;2;4;4;2;12;8;8;8;4;4;2;6;2;18;0;2;6;4;6;4;6;6;2;0;2;4;6;4;8;6;8;2;6;4;2;4;8;0;2;2;6;2;2;4;4;4;0
president;0;0;0;0;46;38;14;10;8;6;16;4;10;18;8;4;14;0;2;6;4;16;8;2;8;4;14;2;6;4;2;10;8;6;4;8;4;12;4;2;2;6;12;0;2;6;2;6;8;8;4;2;0;4;6;10;4;2;0;8;4;2;2;2;0;0;4;0;2;6;8;8;2;6;2;4;2;0;2;4;4;6;4;12;4;2;4;4;0;6;0;4;2;6;2;2;0;6;2;0
united;0;0;0;0;0;124;12;16;12;12;8;4;8;10;4;0;8;2;2;4;6;12;2;10;6;0;4;0;2;2;10;8;0;2;4;4;6;8;0;2;2;10;2;4;4;4;8;10;6;2;4;0;0;12;4;4;6;2;2;0;2;4;8;8;4;0;0;0;2;6;2;6;0;4;4;2;4;2;0;4;2;4;6;6;2;2;0;0;2;6;0;2;0;10;8;0;0;0;0;2
states;0;0;0;0;0;0;6;14;8;8;6;2;6;10;2;0;8;0;2;4;2;10;4;10;6;2;2;0;2;4;8;8;0;2;4;6;6;4;0;0;2;8;2;4;4;6;8;8;6;2;4;0;0;12;2;0;4;2;2;0;2;4;6;8;2;0;0;0;2;6;2;2;2;4;2;2;4;2;0;4;0;4;6;6;2;2;0;2;2;4;0;2;0;10;6;0;2;0;0;2
new;0;0;0;0;0;0;0;2;4;8;2;18;4;6;4;2;6;4;4;6;2;6;4;0;6;4;10;10;4;10;2;0;10;2;4;0;4;8;44;8;10;0;6;4;4;0;2;6;2;2;6;4;2;2;0;0;0;2;6;4;8;2;0;2;8;12;4;0;2;4;0;2;4;2;8;2;0;0;0;4;0;2;4;0;0;2;4;6;2;12;2;4;4;0;4;2;2;0;0;0
american;0;0;0;0;0;0;0;0;6;8;6;4;6;4;12;6;2;0;2;8;4;2;8;6;6;4;4;2;4;2;6;6;6;4;0;12;4;6;0;2;4;4;2;4;2;4;2;4;2;2;4;6;6;2;4;6;8;4;4;2;4;2;4;0;2;4;2;0;2;2;0;8;2;2;2;4;4;2;4;2;2;2;2;6;0;0;0;6;2;0;0;0;0;4;2;4;4;2;0;0
government;0;0;0;0;0;0;0;0;0;30;2;4;2;0;2;4;0;6;6;4;4;0;2;0;2;0;0;4;2;0;6;0;0;8;2;2;6;0;0;4;4;2;2;6;2;2;6;0;0;0;2;6;2;0;0;2;4;2;2;0;0;10;10;0;0;2;0;4;0;2;0;4;0;0;0;2;0;6;2;0;4;4;0;4;0;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0
federal;0;0;0;0;0;0;0;0;0;0;6;6;6;2;0;2;0;6;4;0;2;2;0;0;0;0;0;4;6;4;4;2;0;0;2;0;4;6;0;2;2;4;0;8;4;4;4;2;0;2;0;0;2;0;4;2;4;2;2;2;0;8;6;2;2;0;2;2;4;0;4;10;2;6;2;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;2;4;0;2;0;8;0;0;2;2
