;president;trump;great;united;states;new;people;american;news;country;government;state;administration;house;world;obama;federal;department;media;white;york;best;donald;national;court;justice;campaign;fbi;times;help;good;democrats;election;republican;former;thank;working;bill;billion;military;presidential;may;article;senate;money;clinton;called;china;huge;history;party;win;hillary;washington;women;supreme;russia;bad;left;police;big;proud;city;2016;texas;fake;thing;report;bernie;security;end;man;greatest;story;real;hard;million;sanders;health;trumps;illegal;russian;together;men;congress;week;j;could;america;incredible;killed;fight;post;investigation;attack;friend;law;home;lost;part
president;0;90;22;42;42;28;12;12;12;14;2;8;6;20;6;20;2;8;10;16;16;0;20;12;4;8;16;14;8;8;10;2;10;4;10;14;4;12;4;6;12;4;2;10;0;2;8;8;4;4;4;4;2;4;4;4;12;6;4;2;2;6;4;8;2;4;8;2;2;12;4;4;4;6;0;4;0;4;4;18;2;4;4;2;4;6;4;2;2;0;4;8;6;4;6;4;2;0;0;0
trump;0;0;10;20;20;20;6;6;4;6;6;6;24;16;4;8;0;4;10;16;10;0;54;22;6;8;28;14;10;4;6;2;12;12;12;6;4;6;2;2;16;14;8;2;2;2;4;4;2;4;2;4;4;4;4;6;12;4;2;0;0;2;4;8;6;0;4;4;0;10;10;0;2;6;4;2;2;0;4;6;6;2;4;0;6;4;26;8;2;2;0;6;6;6;8;2;2;0;0;2
great;0;0;0;16;18;14;30;18;10;22;4;14;6;10;10;6;4;2;10;4;12;8;4;4;8;6;2;2;4;4;10;8;8;8;0;6;10;6;0;8;2;2;0;8;6;4;6;6;6;0;8;12;4;6;8;6;4;4;8;6;4;6;6;4;6;4;4;8;2;2;0;6;4;4;6;6;4;4;2;0;0;0;6;10;4;6;2;0;14;16;2;0;0;0;2;12;0;6;0;4
united;0;0;0;0;126;4;18;10;6;22;8;14;8;10;10;6;0;6;6;8;0;8;6;0;8;6;4;2;2;6;2;0;2;4;2;4;4;6;6;8;4;2;6;4;4;0;2;8;2;2;2;2;0;2;4;8;6;2;2;4;4;0;0;2;2;4;6;4;0;2;0;2;4;4;2;4;2;0;0;2;4;4;4;6;0;0;6;2;6;0;2;8;2;0;2;0;4;0;0;6
states;0;0;0;0;0;4;24;10;6;20;6;16;8;10;10;6;0;6;6;8;0;10;6;0;6;6;6;2;2;4;2;0;2;6;0;4;4;6;6;8;4;2;6;4;6;0;2;8;0;2;4;4;0;2;4;6;6;2;2;4;4;0;0;2;2;4;6;4;0;2;0;2;4;4;2;4;2;0;0;2;2;2;4;8;0;0;6;2;6;0;2;8;2;0;2;0;4;0;0;6
new;0;0;0;0;0;0;8;8;10;10;2;8;8;6;2;8;0;4;2;6;50;6;4;2;4;4;6;2;32;2;4;0;4;2;4;2;8;4;2;2;6;4;0;2;0;10;8;0;4;2;4;4;8;2;0;2;0;2;0;2;4;0;12;2;4;0;0;10;4;0;6;4;0;2;2;2;0;4;6;4;0;2;2;0;4;8;2;2;2;2;0;0;6;2;6;4;4;4;4;0
people;0;0;0;0;0;0;0;24;8;8;2;12;6;2;12;2;2;0;4;2;8;10;0;10;2;4;2;8;2;6;4;0;2;6;0;6;6;2;0;8;0;2;4;0;2;2;4;4;2;12;4;4;2;4;6;4;2;6;2;2;8;4;6;0;4;2;2;2;0;4;0;4;4;0;8;2;2;0;6;2;4;0;8;4;0;0;0;2;6;10;8;2;2;4;10;2;2;2;0;6
american;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;6;0;0;0;0;2;8;2;0;6;2;0;4;2;2;6;4;2;4;0;2;4;2;4;4;2;0;6;6;2;2;2;4;0;12;4;6;2;0;2;6;2;0;2;2;6;4;2;2;0;0;4;4;0;0;0;4;4;2;2;2;4;2;4;4;4;2;2;0;4;2;0;2;4;4;0;0;2;2;0;4;4;4;4;4
news;0;0;0;0;0;0;0;0;0;2;4;2;0;4;4;2;8;6;18;0;6;4;4;2;0;6;2;6;4;0;8;4;4;4;2;4;2;4;2;0;4;0;0;0;0;6;2;0;2;0;4;2;6;6;0;0;2;4;2;0;2;2;2;4;0;24;2;2;2;0;0;0;0;0;2;2;2;2;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;4;0;0;2;2;0;0
country;0;0;0;0;0;0;0;0;0;0;8;6;0;2;8;0;2;0;2;0;4;4;2;2;6;2;2;0;6;6;4;2;2;2;6;4;2;0;2;4;2;4;0;2;2;2;2;4;2;0;2;4;2;0;4;4;2;6;4;2;2;0;0;0;0;2;6;4;0;0;0;2;6;0;2;0;4;0;0;2;4;4;2;2;2;0;0;2;6;6;2;2;0;0;0;0;0;2;0;0
