;trump;united;states;great;new;world;trying;people;big;russian;national;working;house;senator;thank;full;congress;huge;may;government;another;hard;court;turn;job;washington;man;attack;2016;justice;election;state;american;game;office;white;nfl;bill;countries;president;obama;family;copy;final;supreme;republicans;committee;rush;news;list;official;home;muslim;democratic;bad;democrats;saying;campaign;michigan;birds;room;administration;senate;millions;transcript;latest;take;friday;close;number;call;whether;largest;week;department;nothing;vote;beautiful;aware;able;security;little;check;2nd;formamy;intelligence;v;real;trade;biggest;second;impeachment;everyone;pelosi;history;taking;age;media;deal;minister
trump;0;0;2;2;2;0;2;0;0;4;4;2;2;0;0;2;2;2;2;2;2;0;2;0;0;2;0;2;2;2;2;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0;2;0;6;0;2;0;0;0;2;2;4;2;2;0;0;2;2;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2
united;0;0;14;4;0;2;0;4;4;4;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0
states;0;0;0;4;0;2;0;4;2;4;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0
great;0;0;0;0;2;2;2;4;4;0;0;4;0;2;2;0;2;0;0;2;6;2;0;0;6;0;2;2;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
new;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;2;2;0;2;2;4;2;0;2;0;0;2;2;0;2;0;2;0;2;2;0;2;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0
world;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;4;0;0;2;2;6;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0
people;0;0;0;0;0;0;0;0;2;4;4;4;0;4;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2
big;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0
russian;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;4;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2
