;united;trump;president;states;federal;great;national;people;party;house;republican;american;democrats;democrat;may;court;man;government;new;good;white;important;donald;left;big;radical;senate;news;fbi;world;rate;campaign;justice;killed;pay;americans;investigation;work;uk;job;country;india;thing;china;share;trying;michigan;intelligence;information;city;senator;working;millions;largest;could;trade;wednesday;administration;usa;congress;bill;identified;law;economic;johnson;historic;force;least;agreement;russia;chairman;destroy;book;charged;final;manufacturing;copy;million;husband;asked;think;image;local;signed;reserve;post;statement;former;love;looking;presidential;matter;kavanaugh;unemployment;service;obama;save;committee;badly;state
united;0;6;8;24;2;2;2;2;0;4;0;4;0;0;0;2;2;0;0;0;2;4;0;0;2;0;2;0;0;2;0;0;4;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;2;0;4;2;0;2;2;2;2;0;0;2;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
trump;0;0;12;4;6;0;2;2;4;2;6;0;2;2;4;0;0;0;2;0;2;0;8;2;0;4;0;0;4;0;2;4;2;0;0;0;2;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;6;0;4;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0
president;0;0;0;4;4;0;4;2;0;0;0;0;0;0;2;2;2;2;0;0;0;2;4;0;2;2;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;2;2;0;0;2;2;0;0;0;0;4;2;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0
states;0;0;0;0;2;2;2;2;0;4;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;2;0;4;2;0;2;2;2;2;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
federal;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;2;0;6;0;2;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;0;4;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;2;4;0;0;0;0;0;0
great;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
national;0;0;0;0;0;0;0;2;2;0;2;0;2;6;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;4;2;0;2;0;2
people;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;2;0;0;2;2;2;2;2;0;0;0;2;2;2;0;4;2;0;0;2;2;0;0;0;4;0;0;2;0;0;0;2;0;0;4;0;0;2;2;0;6;2;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0
party;0;0;0;0;0;0;0;0;0;0;8;0;0;6;4;0;0;0;0;0;0;0;4;4;0;4;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;2;8;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
