Unnamed: 0,Tweets,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
0,aggressor unperfidiously unseeingly sifaka hesitatingness bares unaneled becharm monography dups repartake noncontrariety thunders roles mesoscale flummoxing trimester closured reliquidated ugarono reliquidated triocular stomp understewardship thunders inherency theomorphism,,,,,,,,,,,,January,Q1,"['aggressor', 'unperfidiously', 'unseeingly', 'sifaka', 'hesitatingness', 'bares', 'unaneled', 'becharm', 'monography', 'dups', 'repartake', 'noncontrariety', 'thunders', 'roles', 'mesoscale', 'flummoxing', 'trimester', 'closured', 'reliquidated', 'ugarono', 'reliquidated', 'triocular', 'stomp', 'understewardship', 'thunders', 'inherency', 'theomorphism']"
1,anc sicklemen propulsatory maybird nonreceptively nonevaporation cynanche shorty glathsheim cladogenesis hautbois grandeval cedarware jubardy avouches dieters unvirtuousness billard irrupt eminences cynanche beclouding superdesirously overspring penned skidway fibrocartilaginous,,,,,,,,,,,,January,Q1,"['anc', 'sicklemen', 'propulsatory', 'maybird', 'nonreceptively', 'nonevaporation', 'cynanche', 'shorty', 'glathsheim', 'cladogenesis', 'hautbois', 'grandeval', 'cedarware', 'jubardy', 'avouches', 'dieters', 'unvirtuousness', 'billard', 'irrupt', 'eminences', 'cynanche', 'beclouding', 'superdesirously', 'overspring', 'penned', 'skidway', 'fibrocartilaginous']"
2,hypoconid unglittery economists industrialise lull hective noncontagiously tafferels lolloping pectinase spongillafly yatalite hustings nighty obloquial patchboard commemorational rebless quinquertium palatodental cochleate qualitative oversliding alcaldes protuberant dipyramid,,,,,,,,,,,,January,Q1,"['hypoconid', 'unglittery', 'economists', 'industrialise', 'lull', 'hective', 'noncontagiously', 'tafferels', 'lolloping', 'pectinase', 'spongillafly', 'yatalite', 'hustings', 'nighty', 'obloquial', 'patchboard', 'commemorational', 'rebless', 'quinquertium', 'palatodental', 'cochleate', 'qualitative', 'oversliding', 'alcaldes', 'protuberant', 'dipyramid']"
3,rechallenging seigneur gorebill gorebill megabars sententiarian thermohaline parfocality rondelle omnicausality cists noninoculative dentinalgia iridioplatinum investitor cholesterinuria racehorses voiturin buttermaker corycavidine bajarigar interplanetary missatical alkies,,,,,,,,,,,,January,Q1,"['rechallenging', 'seigneur', 'gorebill', 'gorebill', 'megabars', 'sententiarian', 'thermohaline', 'parfocality', 'rondelle', 'omnicausality', 'cists', 'noninoculative', 'dentinalgia', 'iridioplatinum', 'investitor', 'cholesterinuria', 'racehorses', 'voiturin', 'buttermaker', 'corycavidine', 'bajarigar', 'interplanetary', 'missatical', 'alkies']"
4,viewlessly isocorybulbine miladi doughnuts erythrophage concentrate macroglobulinemic liturgistical plumbaginaceous emmenology bygoing aspide noncandescence unwatchable concentrate flative frescoing convexed gulflike taverna norwegian sycophantize plethodontidae stillingia,,,,,,,,,,,,January,Q1,"['viewlessly', 'isocorybulbine', 'miladi', 'doughnuts', 'erythrophage', 'concentrate', 'macroglobulinemic', 'liturgistical', 'plumbaginaceous', 'emmenology', 'bygoing', 'aspide', 'noncandescence', 'unwatchable', 'concentrate', 'flative', 'frescoing', 'convexed', 'gulflike', 'taverna', 'norwegian', 'sycophantize', 'plethodontidae', 'stillingia']"
5,teleutosporic cairngorm potboils prevoyant sunburned tooart im bored etiolating theriotheism manual dysmenorrheal oversettle annihilates insnarer anemochord liquidity semipsychologic tolliker imperatorship subterraneity meteorometer prevoyant caplock sensoriglandular legerity,,,,,,,,,,,,January,Q1,"['teleutosporic', 'cairngorm', 'potboils', 'prevoyant', 'sunburned', 'tooart', 'bored', 'etiolating', 'theriotheism', 'manual', 'dysmenorrheal', 'oversettle', 'annihilates', 'insnarer', 'anemochord', 'liquidity', 'semipsychologic', 'tolliker', 'imperatorship', 'subterraneity', 'meteorometer', 'prevoyant', 'caplock', 'sensoriglandular', 'legerity']"
6,listy bovovaccine londoner microseptum phenomenalistic stingtail clasmatocytic enthusiast sandbar pardee charet kalamalo sandstone medleying limitate pinocytotic reiterant nonsynchronously sidhe splanchnolith superindividually sunburntness stipiture screwers demolish,,,,,,,,,,,,January,Q1,"['listy', 'bovovaccine', 'londoner', 'microseptum', 'phenomenalistic', 'stingtail', 'clasmatocytic', 'enthusiast', 'sandbar', 'pardee', 'charet', 'kalamalo', 'sandstone', 'medleying', 'limitate', 'pinocytotic', 'reiterant', 'nonsynchronously', 'sidhe', 'splanchnolith', 'superindividually', 'sunburntness', 'stipiture', 'screwers', 'demolish']"
7,flounders cestraciontidae whoopers desalinated wept theorist echuca telegony echuca roadblocks unargumentativeness laborites cerianthid penstick monial unnormalizing nitrosobacterium tommed intermanorial untrims unnormalizing unwomanly unargumentativeness vapouring molary,,,,,,,,,,,,January,Q1,"['flounders', 'cestraciontidae', 'whoopers', 'desalinated', 'wept', 'theorist', 'echuca', 'telegony', 'echuca', 'roadblocks', 'unargumentativeness', 'laborites', 'cerianthid', 'penstick', 'monial', 'unnormalizing', 'nitrosobacterium', 'tommed', 'intermanorial', 'untrims', 'unnormalizing', 'unwomanly', 'unargumentativeness', 'vapouring', 'molary']"
8,weatherize saxophonist sobriquet weatherize fixative nonseraphical unfusible seedful bergander pisang wrinklier preadequately microsporum solvolysis unmortgage asterella solvolysis outsiderness gondang pryers pseudoamatorial epigeous mystical reidentifying unhefted needlework,,,,,,,,,,,,January,Q1,"['weatherize', 'saxophonist', 'sobriquet', 'weatherize', 'fixative', 'nonseraphical', 'unfusible', 'seedful', 'bergander', 'pisang', 'wrinklier', 'preadequately', 'microsporum', 'solvolysis', 'unmortgage', 'asterella', 'solvolysis', 'outsiderness', 'gondang', 'pryers', 'pseudoamatorial', 'epigeous', 'mystical', 'reidentifying', 'unhefted', 'needlework']"
9,wreaths semiabstraction nonelastic superadmirable novelised peltiform otoantritis circumcised malleli otoantritis ureotelism insignificancies liaisons nonphagocytic quadrants deviascope redecorates proctodaea bedrivelled noondays wappato klieg malleli loveful handsets costeaning,,,,,,,,,,,,January,Q1,"['wreaths', 'semiabstraction', 'nonelastic', 'superadmirable', 'novelised', 'peltiform', 'otoantritis', 'circumcised', 'malleli', 'otoantritis', 'ureotelism', 'insignificancies', 'liaisons', 'nonphagocytic', 'quadrants', 'deviascope', 'redecorates', 'proctodaea', 'bedrivelled', 'noondays', 'wappato', 'klieg', 'malleli', 'loveful', 'handsets', 'costeaning']"
