;great;united;states;president;new;trump;people;national;house;government;federal;news;thank;big;administration;man;state;fbi;job;democrats;security;party;country;2016;american;world;white;election;presidential;media;article;support;good;york;republican;america;former;hillary;strong;obama;usa;police;thing;may;proud;trying;fact;war;city;clinton;protect;working;beautiful;campaign;reserve;military;called;attack;law;department;justice;nation;released;given;michael;fake;times;senator;vote;investigation;rate;bernie;washington;power;donald;family;life;investigating;court;russia;announce;americans;crime;help;amazing;days;complete;taking;press;take;end;incredible;left;nothing;democratic;congress;beginning;democrat;committee;wonderful
great;0;6;6;4;6;2;10;4;4;2;4;6;12;4;4;4;8;0;10;4;0;4;4;2;8;2;2;4;0;6;2;0;4;0;2;8;0;0;4;0;2;0;2;2;2;6;2;2;0;0;2;2;2;2;2;2;0;0;2;0;0;4;0;2;0;6;0;2;0;0;0;0;4;0;0;2;2;0;0;2;0;0;2;0;2;0;0;4;2;4;0;2;0;0;2;0;0;0;0;0
united;0;0;62;12;2;4;10;4;0;4;2;0;4;4;6;0;4;2;6;0;6;0;4;2;2;8;0;4;2;4;2;0;0;2;0;8;2;2;2;4;2;0;0;2;2;4;2;8;0;2;4;0;2;0;0;4;0;0;4;0;0;2;4;2;0;0;2;0;4;0;2;2;0;2;2;0;0;0;2;4;2;2;2;2;2;2;4;0;0;2;4;2;0;0;2;2;2;2;0;0
states;0;0;0;12;0;4;10;4;0;8;4;0;4;4;4;0;4;2;6;0;6;0;4;2;0;8;0;4;2;2;2;0;0;0;0;8;2;4;2;2;2;0;0;2;2;4;2;8;0;2;2;0;2;0;0;4;0;0;2;0;0;2;4;2;0;0;0;0;4;0;2;2;0;2;2;0;0;0;2;4;2;2;2;2;2;2;4;2;0;4;4;2;0;0;2;2;2;2;0;0
president;0;0;0;0;10;32;6;6;8;8;2;4;2;0;0;2;4;6;2;4;6;2;0;0;4;2;8;4;0;6;6;0;2;0;2;2;6;4;0;0;4;2;0;0;0;0;2;0;2;4;4;2;0;0;0;0;2;2;0;4;2;4;4;0;0;2;0;0;2;0;0;2;6;0;2;0;0;4;4;0;2;10;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;4
new;0;0;0;0;0;10;4;4;8;6;6;6;2;4;6;0;4;0;6;0;0;2;2;2;4;2;8;2;2;6;2;0;4;22;4;2;0;2;0;4;2;4;0;4;2;2;2;0;8;2;0;0;0;2;4;0;0;0;2;2;0;2;4;0;2;4;10;2;0;2;4;4;0;0;4;2;2;6;0;0;2;2;2;2;6;0;2;4;2;2;0;2;0;2;0;0;0;0;0;4
trump;0;0;0;0;0;0;4;8;8;4;2;6;0;0;6;2;2;6;0;6;8;0;0;6;2;0;6;4;6;4;4;0;2;4;2;0;8;0;0;2;2;2;4;2;0;0;2;0;4;0;4;0;0;8;0;0;4;2;4;2;2;4;0;0;2;6;2;0;4;2;0;0;6;0;12;0;0;8;4;2;0;6;2;0;2;4;2;2;2;0;0;0;0;0;0;0;2;0;2;2
people;0;0;0;0;0;0;0;2;0;4;2;0;4;4;2;0;2;2;8;2;2;2;6;4;6;2;0;6;2;0;0;2;2;0;0;6;2;0;2;0;2;2;0;2;0;4;0;0;0;2;0;2;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;2;2;0;2;2;4;0;2;2;0;0;0;2;0;0;4;2;0;0;2;0;0;2;0;0;4;6;0;2;0;2;0;2
national;0;0;0;0;0;0;0;0;4;2;0;0;2;2;6;0;2;4;0;4;20;6;2;6;0;4;0;4;6;0;2;2;0;0;4;0;10;2;2;4;0;0;2;4;2;4;0;0;2;2;0;0;0;4;0;0;0;0;4;2;0;0;4;0;2;0;0;2;0;0;2;0;0;0;2;0;0;4;2;2;2;4;2;2;4;0;0;2;2;0;0;0;0;0;6;0;4;2;10;0
house;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;2;2;2;0;4;2;0;20;0;2;2;0;0;2;2;2;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;0;2;0;2;4;4;0;0;0;0;0;2;0;0;0;2;2;2;4;0;0;2;0;0;0;0;0;8;0;0;0;0;2;0;2;2;0;4;0
government;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;4;0;0;2;2;2;0;2;0;2;2;0;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;4;0;2;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;6;0;0;0;0;0;0;0;0;2;2;4;4;0;0;0;2;14;0;0;0;4;0;0;2;2;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;2;4;0;2;0;2;0;0;2;0;4;12;0;0;2;6;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;14;6;0;2;2;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;10;0;0;0;2;0;0;2;2;0;0;4;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;2;0;2;0;0;0;4;2;0;0;2;2;2;4;4;0;0;2;0;0;2;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;16;0;0;0;4;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;2;2;2;0;4;2;2;0;4;4;2;4;2;0;2;0;2;4;2;4;0;0;0;4;0;0;0;4;0;0;2;2;2;4;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0
