;trump;president;united;people;states;new;house;russia;government;obama;national;country;great;called;party;white;police;man;committee;america;latest;american;campaign;trying;republican;york;may;another;democrats;democratic;address;news;saturday;team;virus;death;administration;matter;senator;nothing;fbi;canadian;donald;asked;told;nfl;presidential;left;department;sunday;2016;work;investigating;defending;senate;state;important;shooting;radical;jeff;tuesday;paul;lost;russian;using;mahan;family;lot;accused;attorney;nashville;sessions;justice;custody;disease;final;second;early;proud;media;sending;job;flagship;agency;general;wall;morning;ceo;turn;election;post;investigation;reported;private;minister;hillary;shot;working;decided;station
trump;0;30;4;4;4;2;10;4;0;2;2;2;2;6;2;6;0;0;4;4;4;2;2;2;4;2;2;2;4;2;2;0;4;0;0;4;2;0;2;0;2;4;4;4;2;0;0;2;0;4;0;0;2;0;6;2;2;0;2;6;2;2;2;0;0;0;0;0;2;6;0;4;0;0;0;4;0;0;0;2;0;0;0;2;6;2;2;2;4;0;4;4;2;2;2;0;0;0;2;0
president;0;0;4;4;4;4;12;6;2;6;2;0;2;6;4;8;0;0;6;2;4;2;4;2;4;4;2;4;4;2;2;0;4;2;0;4;2;0;2;0;2;4;4;4;2;0;4;2;0;2;2;0;2;0;8;2;2;0;2;4;0;2;2;2;0;0;2;0;2;6;0;4;0;0;0;2;0;0;0;2;2;0;0;0;6;4;0;0;4;0;4;4;2;2;2;0;0;0;0;0
united;0;0;0;4;20;0;4;2;6;0;0;6;2;2;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;4;0;2;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
people;0;0;0;0;4;2;0;0;2;2;2;2;2;2;4;0;0;2;0;2;0;6;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;4;2;0;2;0;0;0;2;0;4;2;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;2;2;2;2;4;0;2;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0
states;0;0;0;0;0;0;4;0;4;0;0;4;2;2;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;2;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;10;2;4;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;12;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
