;covid19;live;district;coronavirus;home;districts;dc;positive;residents;reported;workouts;#fitdc;2;new;1;visit;lives;2020;move;bring;case;bringing;seniors;data;due;ready;#stayhomedc;cases;additional;overall;lost;includes;follow;related;may;along;kids;learn;energy;health;burn;deaths;3;april;stay;4;continue;call;5;#dcstatehood;response;june;public;community;care;female;help;8;6;support;free;join;captions;city;thank;update;together;social;stream;10;businesses;sites;test;7;ward;please;male;emergency;work;distancing;family;briefing;monday;housing;friday;testing;send;11;park;order;information;share;essential;virtual;tune;year;space;reopening;safe;columbia
covid19;0;72;176;258;4;124;44;108;112;200;0;0;90;106;90;52;104;108;0;0;106;104;0;110;106;0;34;104;96;104;98;100;2;100;52;0;0;70;0;20;0;90;16;64;0;18;2;10;22;0;54;12;22;18;10;40;10;8;12;10;18;10;50;0;4;24;4;8;44;16;10;12;14;4;0;2;26;16;2;8;2;34;16;6;20;10;2;12;0;4;0;0;8;0;24;0;4;0;2;10
live;0;0;50;76;206;8;26;0;0;0;206;206;2;2;6;60;2;0;110;110;0;0;110;0;0;110;18;0;0;0;0;0;96;0;2;96;92;62;92;0;92;0;4;0;0;2;0;6;2;4;36;26;6;0;4;0;0;2;0;8;0;14;52;2;0;48;0;0;46;2;16;0;0;0;0;0;0;0;0;0;0;32;0;0;2;2;0;2;0;0;6;0;0;4;0;0;0;4;2;2
district;0;0;0;70;8;4;18;8;102;90;0;0;88;12;12;46;90;2;0;0;4;6;0;10;90;0;14;4;90;6;90;0;0;88;8;0;0;50;0;10;0;76;14;6;4;12;4;0;8;8;32;4;8;8;10;38;6;4;2;4;10;6;38;4;2;16;2;2;38;8;4;10;4;4;2;2;24;6;4;2;4;22;6;4;0;0;2;2;4;2;4;0;0;0;16;2;0;10;0;30
coronavirus;0;0;0;0;2;126;32;104;16;104;0;0;6;106;92;50;2;102;0;0;104;104;0;102;2;0;36;104;0;104;0;100;0;6;50;0;0;70;0;18;0;6;6;58;0;12;2;20;22;0;58;16;18;14;6;0;8;6;10;4;24;10;52;0;6;30;2;2;44;12;6;10;18;4;0;0;0;14;0;2;2;34;16;2;16;8;2;4;2;6;2;0;4;0;24;0;4;0;0;8
home;0;0;0;0;0;4;20;0;14;0;206;206;8;0;8;4;10;2;110;110;0;0;110;0;0;110;26;0;0;0;0;0;96;0;4;96;94;2;92;4;92;0;4;0;40;2;8;0;4;0;4;2;4;0;0;0;2;2;6;2;0;0;0;4;0;0;0;10;0;2;6;0;0;2;2;0;0;4;2;10;4;0;0;0;0;0;10;0;2;6;4;12;10;0;0;12;2;0;4;2
districts;0;0;0;0;0;0;10;104;6;104;0;0;8;106;84;10;0;104;0;0;104;104;0;102;4;0;12;104;0;104;0;102;0;6;48;0;0;20;0;6;0;6;4;58;4;8;2;2;8;0;24;4;10;2;0;0;0;8;8;0;0;2;6;0;0;4;0;2;6;6;0;0;0;4;0;0;0;6;2;4;0;4;18;0;18;2;0;4;0;6;6;0;2;0;10;0;4;2;0;0
dc;0;0;0;0;0;0;0;4;40;14;0;0;28;10;18;20;22;12;4;0;6;6;0;4;12;0;10;4;12;6;14;4;2;12;16;0;0;12;0;24;0;14;14;8;18;10;4;12;14;4;6;6;14;6;10;0;14;8;8;12;4;12;10;16;16;2;8;10;4;8;26;4;0;2;0;10;0;12;8;8;10;2;4;4;8;4;8;14;2;4;8;8;6;8;0;8;0;2;6;2
positive;0;0;0;0;0;0;0;0;2;104;0;0;8;106;80;0;0;102;0;0;104;104;0;102;2;0;0;106;0;104;0;100;0;6;44;0;0;14;0;2;0;6;4;58;0;10;0;0;8;0;0;2;0;0;6;0;0;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;16;0;16;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0
residents;0;0;0;0;0;0;0;0;0;94;0;0;88;14;14;8;108;2;0;2;2;2;0;4;98;0;4;4;92;2;98;2;0;92;4;0;0;0;0;18;0;84;12;4;2;10;16;8;10;2;2;0;10;4;6;38;6;8;6;10;2;2;0;2;6;0;6;14;0;2;8;4;4;6;0;6;24;14;4;12;0;0;0;0;0;0;4;2;2;6;6;0;12;4;0;2;2;2;8;4
reported;0;0;0;0;0;0;0;0;0;0;0;0;84;104;80;0;94;102;0;0;104;104;0;102;96;0;0;104;94;104;94;100;0;100;44;0;0;14;0;0;0;90;6;58;0;8;0;0;6;0;0;2;0;0;0;40;0;6;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;26;0;0;0;0;0;16;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
