;trump;president;great;states;united;people;new;house;news;american;world;government;national;party;federal;senate;state;good;bill;white;man;media;may;court;committee;donald;police;democrats;washington;2016;think;thank;left;obama;fake;city;york;job;country;post;women;trying;big;republican;million;administration;top;law;russian;war;working;proud;bad;security;year;democrat;fbi;best;reserve;nothing;killed;campaign;wednesday;americans;signed;election;part;possible;strong;investigating;supreme;shooting;radical;voted;america;game;thing;important;friends;russia;stop;another;economy;protect;announce;believe;department;j;rights;trade;story;congress;conference;week;justice;arrested;young;murder;friend;intelligence
trump;0;44;12;8;6;6;8;8;10;4;2;2;6;6;2;2;4;2;2;6;4;4;4;4;6;22;0;4;10;6;2;4;2;4;8;0;2;4;2;6;4;2;2;6;2;8;2;4;8;4;2;2;4;2;0;4;8;2;2;2;2;12;4;4;6;8;6;6;0;8;4;2;0;2;0;2;2;0;0;10;0;2;2;0;0;4;2;12;0;2;4;2;0;2;2;2;2;0;0;4
president;0;0;12;14;14;8;4;12;8;6;4;0;6;4;2;2;0;2;6;4;4;2;2;6;4;4;0;2;6;4;2;2;0;8;4;0;0;4;2;4;2;0;0;2;4;4;4;4;4;4;2;6;4;4;2;2;2;2;2;4;2;4;2;2;8;4;2;4;4;4;4;2;0;2;2;2;4;2;0;2;0;0;4;2;0;4;2;2;0;0;6;4;4;4;4;0;0;2;6;4
great;0;0;0;4;6;4;6;4;6;4;4;0;2;0;2;2;6;8;2;4;4;2;2;2;0;2;2;0;2;0;6;6;0;2;2;0;0;12;6;0;4;0;6;0;2;2;2;0;0;0;2;10;0;4;0;0;0;2;2;2;0;2;0;4;4;0;0;4;6;0;2;2;0;0;2;2;2;2;6;0;0;2;4;2;4;2;0;2;0;0;0;0;2;0;0;2;0;2;4;0
states;0;0;0;0;60;8;6;6;8;8;8;10;0;4;6;2;2;0;2;2;2;2;0;2;2;2;0;0;2;2;2;2;4;0;2;0;4;4;0;0;2;0;0;0;4;4;2;0;2;4;4;2;2;0;4;4;0;0;0;2;2;2;4;2;2;2;0;2;0;0;2;2;4;4;2;0;0;4;2;2;2;2;2;6;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0
united;0;0;0;0;0;8;4;6;8;8;8;10;0;2;8;0;2;0;2;2;2;2;0;4;0;2;0;0;0;2;2;2;2;0;2;0;2;4;0;0;2;0;0;0;2;2;2;0;2;4;4;2;2;2;4;2;0;0;2;2;2;2;0;2;2;4;0;4;0;0;4;2;2;4;2;0;0;4;2;2;2;2;2;6;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;4;16;8;0;6;2;4;6;2;2;2;0;2;4;2;0;4;0;0;2;2;2;8;0;2;2;4;2;0;6;2;0;0;8;2;0;6;4;2;0;2;2;2;0;4;6;0;2;0;0;4;0;4;0;0;0;2;0;2;0;0;2;0;4;2;4;2;0;2;2;2;0;0;2;2;2;0;2;2;0;2;0;0;0;0;6;0;0;2;0;0;2
new;0;0;0;0;0;0;0;0;4;2;2;8;2;0;6;0;4;2;0;0;2;0;2;0;2;4;4;0;4;2;4;2;0;0;0;8;18;0;0;2;2;0;2;4;0;4;0;2;0;2;0;4;0;4;0;0;2;6;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;6;2;2;4;0;0;4;0;0;0;2;0;0;0;2;0
house;0;0;0;0;0;0;0;0;4;0;0;6;4;2;0;6;2;0;6;28;0;2;2;4;6;2;0;2;2;0;2;0;2;2;2;0;0;2;0;0;0;0;2;4;0;0;2;2;2;0;0;2;0;0;2;2;2;2;0;2;0;0;4;2;2;0;0;2;2;4;4;0;0;4;2;0;2;0;0;0;2;0;0;0;2;2;2;2;0;0;2;2;4;4;4;2;0;0;0;4
news;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;0;2;4;0;4;4;16;2;0;0;6;2;4;2;0;0;2;4;0;20;0;2;2;0;0;0;8;2;2;0;0;2;0;0;0;2;0;2;0;0;2;4;2;2;0;2;4;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;4;2;4;2;0;0;0;0;2;0;0;0;0;4;2;2;0;0;4;6;0
american;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;2;0;2;0;2;4;2;0;2;0;0;2;2;0;0;2;0;2;4;2;2;4;0;2;0;4;0;0;0;2;0;0;0;6;0;0;2;2;4;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;2;4;2;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0
