;trump;great;president;people;united;states;new;american;news;government;house;federal;national;administration;obama;man;state;country;democrats;world;white;york;republican;party;working;best;donald;department;media;fbi;big;fake;court;thank;help;campaign;election;job;good;police;security;history;former;washington;russia;law;senate;may;bill;congress;military;left;love;year;justice;hard;americans;city;2016;article;china;called;thing;presidential;trying;million;america;supreme;clinton;act;post;times;night;committee;story;work;think;hillary;win;end;radical;money;killed;released;proud;important;support;war;could;senator;political;investigation;another;nothing;says;texas;part;fact;team;russian
trump;0;128;550;114;112;112;144;78;134;50;128;82;70;172;80;34;56;52;66;16;88;66;74;48;42;14;298;42;52;98;42;74;32;22;34;190;84;44;32;16;40;32;66;80;96;36;42;56;40;38;26;40;14;14;48;30;24;14;76;22;24;46;32;76;26;16;26;18;44;18;36;42;34;50;26;18;20;46;26;30;24;20;10;36;6;28;16;12;34;10;34;44;18;28;48;24;24;32;10;48
great;0;0;134;230;102;102;104;154;102;36;52;36;58;22;22;64;104;100;30;38;42;34;52;34;56;52;40;10;32;10;48;34;16;100;42;30;22;106;46;6;20;40;8;36;6;16;36;6;26;28;46;18;64;38;8;56;36;22;18;16;30;24;36;18;28;12;72;12;10;22;14;10;34;8;24;64;42;12;32;16;16;18;8;10;44;30;38;12;18;38;18;8;26;30;10;18;12;12;38;6
president;0;0;0;162;236;224;108;84;118;42;140;62;62;68;102;50;42;74;54;24;102;54;56;44;42;22;124;40;62;70;42;66;18;16;26;52;56;60;36;24;40;46;76;44;56;42;46;36;40;34;30;24;16;14;42;32;28;12;44;10;34;32;36;46;34;10;42;12;32;24;22;32;30;26;22;20;22;26;18;32;14;16;12;20;18;40;20;24;10;12;28;36;20;28;40;22;18;24;2;38
people;0;0;0;0;160;156;104;252;68;70;60;64;52;42;40;48;54;78;58;66;52;42;38;30;44;48;28;30;34;34;26;34;24;44;44;34;42;42;48;22;32;28;16;38;20;38;20;26;20;36;24;28;44;30;28;34;20;26;14;10;14;26;32;8;32;34;30;22;16;30;18;20;20;12;12;34;30;16;16;24;16;20;62;16;24;20;34;16;24;18;18;8;16;22;14;24;10;24;18;12
united;0;0;0;0;0;962;62;70;40;54;32;42;46;74;60;24;68;98;24;94;32;22;18;12;20;22;30;24;22;12;20;12;32;26;34;18;32;28;22;12;46;40;14;16;34;28;30;24;20;16;48;14;14;38;18;20;24;10;20;14;38;26;30;24;20;30;74;28;14;26;8;8;10;10;12;14;20;8;22;28;22;14;22;20;18;24;38;62;20;8;18;6;12;24;20;8;6;10;0;10
states;0;0;0;0;0;0;66;66;40;56;38;52;46;72;60;26;76;90;28;92;36;22;16;14;26;28;24;24;18;14;22;14;38;22;46;20;32;24;24;20;36;32;8;18;34;28;32;28;24;16;46;16;16;42;20;18;20;10;22;16;34;34;28;22;28;28;78;30;16;30;12;8;10;8;12;14;18;8;20;26;20;18;24;18;18;24;40;56;22;10;16;8;14;24;20;14;8;14;0;10
new;0;0;0;0;0;0;0;46;72;44;50;48;50;28;34;26;68;16;28;30;42;366;30;28;30;34;56;32;26;24;30;30;32;24;48;34;22;24;30;16;24;18;24;30;18;2;14;28;30;32;22;20;16;20;26;20;32;74;10;36;12;40;20;20;12;22;20;26;26;18;44;154;18;6;20;8;18;22;22;18;16;12;8;36;8;10;6;10;8;12;8;6;16;14;26;12;14;10;8;6
american;0;0;0;0;0;0;0;0;28;28;32;40;24;40;40;14;18;32;34;28;22;14;14;20;36;24;18;28;20;22;18;14;22;14;28;18;30;22;18;4;14;52;12;24;16;24;14;10;16;48;24;14;14;10;28;22;28;8;12;4;12;14;14;12;24;14;20;16;16;38;18;12;2;12;18;18;8;16;22;12;8;8;10;6;20;22;20;20;16;6;20;6;8;16;2;10;4;14;8;10
news;0;0;0;0;0;0;0;0;0;38;46;32;14;28;22;20;14;26;26;28;34;34;16;12;24;22;40;22;134;26;22;264;2;20;10;16;24;16;40;6;8;24;20;24;32;10;20;18;20;18;10;18;12;12;26;22;14;12;20;6;14;16;24;24;26;10;14;0;8;4;10;22;20;6;30;14;16;10;12;14;8;8;8;14;6;12;10;10;4;12;14;12;10;16;10;2;6;18;6;8
government;0;0;0;0;0;0;0;0;0;0;34;212;22;30;34;2;42;20;22;28;8;10;8;20;52;8;16;34;24;14;16;18;24;2;44;8;12;20;14;8;36;16;14;14;12;28;16;22;48;18;10;6;0;14;24;10;18;6;12;8;10;10;10;12;6;40;4;12;4;18;4;6;6;6;4;10;12;4;8;10;4;22;6;12;10;8;22;12;8;2;0;12;6;14;10;2;6;14;6;22
house;0;0;0;0;0;0;0;0;0;0;0;14;30;40;44;18;24;14;46;8;302;20;30;22;34;4;42;18;20;14;16;20;2;20;10;26;30;18;6;6;26;12;30;28;20;14;70;18;64;22;6;28;6;10;16;20;12;14;16;10;2;12;10;8;4;16;12;0;18;24;14;16;22;58;14;10;0;14;14;14;14;8;6;20;2;8;4;4;8;6;10;10;20;8;16;10;10;2;6;22
federal;0;0;0;0;0;0;0;0;0;0;0;0;20;32;18;12;46;14;10;14;8;16;14;14;42;10;18;36;14;16;22;10;48;4;42;18;22;24;18;10;20;20;24;16;14;42;6;14;14;20;2;18;0;14;26;6;30;18;14;14;6;10;12;12;6;32;4;18;6;16;10;16;6;2;6;10;10;6;8;10;8;28;4;8;6;10;10;4;10;6;2;20;8;6;12;26;8;10;4;6
national;0;0;0;0;0;0;0;0;0;0;0;0;0;24;26;14;16;24;18;20;16;18;58;14;16;14;20;16;2;26;10;4;12;20;14;24;16;12;8;6;132;16;40;16;24;14;6;22;10;10;14;12;6;14;16;10;36;6;22;6;6;4;10;18;6;20;12;8;22;12;10;4;10;86;10;6;6;18;6;8;8;10;10;14;16;22;8;4;22;6;4;10;4;4;10;8;6;10;10;20
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266;6;16;18;16;12;20;12;4;4;16;6;20;18;6;8;12;16;26;4;10;22;12;12;6;6;32;18;10;22;20;8;8;20;10;28;12;8;2;10;8;4;20;4;10;12;18;8;4;6;6;4;8;16;6;14;14;10;4;10;12;6;4;8;2;12;8;12;10;16;6;8;8;24;10;0;2;14;10;18;6;12;6;16;2;14
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;16;16;12;22;16;10;16;8;4;24;24;10;14;10;12;16;4;8;34;20;8;8;10;22;20;24;14;20;12;10;8;12;22;14;8;2;6;20;4;14;0;14;16;10;12;4;8;6;6;6;14;14;14;18;12;6;10;6;0;4;14;2;10;10;10;14;16;6;6;2;28;6;0;2;18;8;16;4;2;6;10;6;12
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;12;8;32;14;2;12;14;8;8;24;14;20;12;14;20;14;2;6;10;6;12;72;4;6;8;12;4;10;4;6;2;6;8;6;4;12;10;8;4;12;10;0;2;14;4;4;6;10;8;10;0;6;4;6;18;2;14;8;10;2;2;8;0;2;46;16;4;6;2;4;10;6;0;8;12;6;12;6;8;8;4;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;12;20;46;20;12;22;6;22;54;8;14;14;8;16;26;26;24;18;10;6;12;16;16;16;32;10;16;14;16;12;16;16;4;10;10;12;8;2;10;6;8;4;8;6;12;8;14;4;10;30;10;6;4;6;6;4;12;8;28;14;6;6;12;12;8;14;4;6;6;6;6;10;10;12;14;12;12;4;8;16;8
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;54;10;8;12;10;28;22;18;8;16;6;10;18;8;8;12;10;12;20;8;8;10;14;10;4;4;18;4;6;2;14;26;6;26;6;6;18;14;2;6;8;20;6;8;12;6;4;24;4;6;10;8;8;2;8;4;22;6;6;4;14;18;8;10;4;16;6;16;16;16;6;6;4;8;10;8;2;8;6;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;12;32;44;32;14;16;6;24;12;22;22;6;14;10;18;34;10;10;2;10;14;6;20;20;10;48;6;18;22;4;54;0;14;8;24;6;4;30;8;4;10;14;10;32;10;14;6;6;8;4;10;10;18;12;6;16;10;18;14;52;14;0;4;8;4;6;8;10;8;20;0;6;50;6;4;8;16;6;8
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;4;10;16;0;10;12;2;6;12;6;2;14;2;2;12;18;4;14;28;2;2;2;4;4;4;8;14;12;8;14;12;4;4;8;6;2;10;18;14;10;6;10;6;18;4;8;12;0;4;6;0;8;10;8;6;2;10;16;8;4;4;8;8;6;36;8;2;6;0;8;4;2;0;6;6;10;4
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;8;14;16;6;36;10;14;6;12;16;0;20;6;6;12;14;12;8;14;8;16;22;12;10;18;8;4;8;0;18;8;4;4;4;4;12;4;4;2;16;8;0;2;4;10;0;10;6;6;14;16;8;12;2;0;6;6;10;8;6;6;20;6;2;2;2;4;0;6;2;10;4;10;4;10;2;6;6
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;12;18;30;20;12;10;6;18;10;8;10;14;12;2;12;14;12;6;20;12;14;2;2;12;16;10;10;10;2;4;14;6;4;62;6;32;2;16;0;14;2;6;6;8;4;4;38;138;8;4;8;0;4;2;10;4;12;6;8;4;4;0;2;2;0;2;4;4;2;4;16;6;8;6;2;4
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;12;10;48;4;18;6;12;8;8;10;4;24;16;6;4;4;8;28;18;10;4;0;26;6;12;10;6;18;6;4;12;12;6;6;30;6;0;4;14;44;10;10;4;8;12;4;8;8;12;32;4;10;10;12;14;4;10;8;0;4;10;8;2;2;6;26;10;4;8;6;0;4;2;6;2;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;10;30;4;12;8;18;6;10;8;0;12;12;6;6;2;4;20;6;6;4;2;10;10;2;6;2;24;2;4;6;10;6;8;14;2;6;4;12;6;8;6;8;8;10;0;4;6;14;6;8;2;8;10;18;8;16;10;4;2;10;0;0;2;2;8;14;0;8;8;4;2;4;4;2;2
