;great;trump;president;news;new;states;people;state;house;donald;federal;country;washington;national;man;supreme;love;united;government;nfl;captured;accused;democrats;sanders;didntwell;party;white;bernie;case;media;russia;minister;illegal;@;work;fetus;wonderful;committee;statement;source;military;iranian;vermin;months;best;obama;story;campaign;good;thing;dead;investigation;nothing;calling;fight;women;joke;prime;court;satin;revolutionary;republican;j;win;days;andrew;less;video;investigating;council;film;support;city;general;administration;points;funds;york;american;told;2016;guy;america;immigrants;miss;robot;thanks;texas;job;announced;players;west;numbers;senator;dallas;closely;big;presidential;friends;hard
great;0;4;2;2;0;2;6;4;0;2;0;4;2;0;2;0;2;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;4;2;0;0;0;2;2;2;0;0;2;2;4;0;0;2;2;0;2
trump;0;0;20;4;4;2;0;2;2;12;0;0;4;2;0;0;2;2;0;0;0;4;2;0;0;0;2;0;0;0;2;4;2;0;0;0;2;2;2;0;0;0;0;2;0;6;0;6;0;0;0;2;2;4;2;4;2;4;0;0;0;2;4;2;4;0;2;2;0;2;0;0;0;0;4;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;0
president;0;0;0;4;4;4;4;2;2;8;0;2;4;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;6;2;0;2;0;0;0;4;0;0;0;0;2;0;2;2;2;0;2;0;2;2;6;4;2;0;6;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2
news;0;0;0;0;4;0;0;0;4;2;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;2;0;2;4;2;0;0;4;4;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2
people;0;0;0;0;0;0;0;2;0;0;0;4;2;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
state;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0
