;illinois;state;de;que;people;care;health;en;covid19;home;la;work;across;#allinillinois;new;help;el;working;para;federal;support;families;public;communities;los;take;million;virus;workers;testing;stay;residents;states;las;together;community;thank;year;una;#covid19;safe;businesses;daily;government;continue;nation;illinoisans;un;lives;students;social;capacity;best;order;por;program;everyone;es;hospital;proud;crisis;medical;local;access;administration;may;face;forward;family;phase;spread;visit;pandemic;con;still;possible;services;business;days;children;child;protect;weeks;place;justice;fight;@idph;important;más;3;next;safety;staying;move;please;essential;response;emergency;food;budget
illinois;0;210;78;54;80;52;64;60;72;54;46;62;86;62;60;44;46;36;44;42;48;64;48;52;40;28;54;24;32;42;24;38;48;28;42;38;18;50;32;44;22;28;12;24;32;46;16;24;26;18;16;18;40;14;20;30;18;26;16;50;16;10;28;32;30;14;20;26;18;36;14;14;32;12;18;22;20;12;8;24;20;12;14;16;16;28;16;10;20;32;30;12;16;20;18;14;20;20;16;10
state;0;0;0;0;82;64;80;0;52;50;0;70;154;38;48;36;2;62;0;38;46;56;58;52;0;24;38;16;26;42;22;26;30;0;30;28;30;34;0;30;20;32;20;46;30;54;32;0;20;14;8;14;26;12;0;30;6;0;10;26;20;12;28;18;28;10;18;24;14;14;16;16;18;0;6;20;22;12;20;24;20;14;8;10;20;12;22;6;0;12;30;20;8;20;6;10;28;20;8;24
de;0;0;0;180;0;0;0;172;20;0;152;0;0;12;0;0;130;0;128;18;0;0;0;0;118;0;0;20;0;0;0;0;0;100;0;2;2;0;104;12;0;0;0;0;0;0;0;78;0;0;8;0;0;0;70;0;4;82;6;0;8;2;2;0;0;0;0;0;0;0;0;0;2;62;0;0;0;0;0;0;0;0;0;4;0;0;12;0;66;16;0;0;0;0;0;0;0;0;2;0
que;0;0;0;0;0;0;0;130;10;0;122;0;0;6;0;0;102;0;106;16;0;0;0;0;100;0;0;22;0;0;0;0;0;82;0;0;0;0;72;6;0;0;0;0;0;0;0;58;0;0;4;0;0;0;52;0;0;70;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;2;0;0;2;0;58;10;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;36;36;0;28;34;0;40;44;36;10;20;0;30;0;8;18;10;20;16;0;16;12;24;12;4;18;6;6;0;18;6;14;4;0;4;18;10;4;14;6;14;4;0;18;4;14;4;8;8;0;6;4;0;6;14;8;6;8;10;2;12;18;8;6;12;8;6;8;0;14;22;6;8;8;4;0;10;6;6;6;14;4;8;0;8;10;12;4;6;10;6;4;0;10;2
care;0;0;0;0;0;0;138;0;32;18;0;32;26;24;14;22;0;12;0;10;26;18;16;18;0;26;8;14;62;20;14;20;12;0;6;4;20;8;0;10;12;4;2;12;2;10;8;0;4;2;8;16;16;8;0;18;10;0;14;8;12;20;6;34;6;6;10;2;6;6;8;12;8;0;10;6;16;8;6;16;56;12;2;30;0;14;8;12;0;8;4;20;4;4;8;20;4;24;4;0
health;0;0;0;0;0;0;0;0;30;20;0;20;26;12;26;26;0;14;0;20;16;6;64;36;0;18;6;14;58;22;14;30;16;0;10;12;8;8;0;8;14;14;6;8;14;12;2;0;8;2;6;22;10;14;0;10;6;0;20;4;28;10;20;30;6;8;22;12;6;18;6;10;10;0;0;10;16;8;6;2;8;12;2;12;0;12;16;6;0;10;6;22;6;10;6;14;14;8;4;0
en;0;0;0;0;0;0;0;0;12;0;110;0;0;8;0;0;104;0;90;10;0;0;0;0;88;0;0;18;0;0;0;0;0;68;2;2;0;0;72;10;0;0;0;0;0;0;0;54;0;0;8;0;0;0;54;0;0;52;4;0;4;2;4;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;4;0;0;8;0;48;8;0;0;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;14;10;12;12;10;20;16;4;6;12;12;26;8;4;16;12;8;16;16;14;12;12;20;8;8;2;12;10;2;12;2;6;8;76;2;6;6;8;8;10;4;4;8;6;6;4;16;4;2;10;8;10;12;8;10;12;4;8;2;6;2;12;8;6;8;6;4;4;4;4;2;2;4;4;10;0;26;8;4;2;2;2;6;4;4;6;4;28;12;2;2
home;0;0;0;0;0;0;0;0;0;0;0;20;18;48;12;24;0;10;0;2;10;18;20;6;0;32;4;20;14;4;104;8;6;0;14;6;12;2;0;10;26;4;0;2;12;4;28;0;24;2;14;6;12;46;0;4;18;0;6;20;6;6;2;2;0;24;10;2;6;6;14;12;8;0;10;10;6;0;0;8;6;10;8;4;0;4;10;14;0;6;4;14;54;8;16;10;0;4;2;2
