;arizona;#covid19;#thearizonaway;thank;health;state;arizonas;public;arizonans;@azdhs;work;working;new;continue;help;@drcarachrist;protect;#azbalanced;support;budget;kids;safety;care;1;school;spread;discuss;access;grateful;students;million;ensure;together;thanks;resources;information;jobs;families;people;great;proud;food;important;home;latest;law;schools;nation;visit;education;safe;across;service;everyone;stay;@supt_hoffman;year;watch;businesses;county;services;combat;officials;efforts;2;trade;healthy;2020;partnership;communities;director;#aztogether;order;3;community;provide;leaders;rural;guidance;country;president;testing;@aznationalguard;executive;emergency;22;address;updates;federal;continued;blood;@katemcgeeaz;veterans;az;welcome;mental;national;ways;enforcement;local
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;0;2;0;4;2;6;0;0;6;2;28;0;0;0;0;4;2;2;2;4;0;0;2;10;8;6;0;2;0;14;2;2;4;8;0;0;18;4;0;0;6;0;6;0;0;4;4;0;0;0;0;0;0;10;0;4;0;0;0;4;0;0;0;2;0;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;18;2;0;10;2;0;12;0;2;4;2;4;2;2;10;2;0;4;4;0;0;2;4;0;4;0;0;6;0;12;0;0;2;2;0;0;0;0;6;0;6;6;6;2;0;2;10;0;0;0;0;2;4;0;2;0;0;8;2;0;16;0;4;0;20;4;4;0;2
grateful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;6;4;8;0;2;6;0;0;0;0;4;2;0;4;0;6;2;2;6;6;16;10;2;6;0;0;0;2;4;6;4;10;4;0;0;0;8;8;4;2;0;4;4;4;4;0;0;2;0;4;4;0;4;10;4;0;0;8;0;2;2;2;0;2;0;2;2;0
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;8;2;4;6;0;2;4;0;2;0;0;0;16;6;4;8;2;2;6;2;0;6;2;0;2;0;2;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;2;2;0;0;4;0;0;0;0;4;0;2;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;4;0;2;4;2;2;0;2;2;2;0;2;6;4;0;0;0;0;10;0;0;0;4;2;2;2;6;0;4;0;2;6;0;2;0;2;2;6;0;4;0;2;0;2;0;0;0;0;0;0;2;0;0;2;4;4;0;0;2;0;2;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;4;4;0;0;0;4;2;4;0;2;2;2;4;6;2;4;0;2;0;2;0;0;2;2;4;4;2;0;4;0;0;2;4;8;0;0;4;4;4;0;0;2;2;4;0;0;4;2;2;2;2;2;4;4;2;2;0;2;2;6;4;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;8;0;8;4;0;0;2;0;0;0;0;2;2;6;2;2;6;0;0;2;10;4;0;6;0;0;0;0;2;0;2;2;0;6;6;0;14;0;0;4;2;4;0;0;0;0;2;4;0;0;2;0;2;0;2;4;0;0;2;0;0;2;2;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;4;0;0;8;0;2;0;2;4;0;0;4;8;0;10;0;6;2;6;4;0;2;0;6;4;8;4;4;2;8;0;0;0;0;2;4;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;10;2;0;0;0;4;2;4;2;8;0;12;0;2;2;0;2;2;0;0;0;14;0;4;4;0;4;6;0;0;0;2;2;0;18;2;0;2;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;2;0;2;0;6;0;6;0;2
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;12;0;8;0;4;2;22;0;6;4;0;0;10;2;0;0;6;0;4;4;0;2;0;0;4;0;0;0;0;18;4;0;0;2;0;0;0;0;0;4;2;4;0;2;0;4;0;0;2;0;0;2;0;2;0;10;0;0
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;2;2;0;6;0;2;0;0;0;0;10;0;4;4;0;0;0;0;4;16;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;4;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;6;0;4;6;0;2;4;6;6;2;0;2;12;0;0;10;0;10;0;2;4;4;0;4;0;0;2;0;2;2;0;4;2;8;0;0;0;2;0;0;2;0;2;2;0;0;2;0;6;0;4;0;6;0;4;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;4;2;0;0;2;0;6;0;0;6;0;10;0;2;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;4;0;2;2;0;0;4;2;2;4;2;2;4;0;0;2;0;0;0;0;6;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;6;8;0;8;0;4;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;2;4;0;0;0;0;2;2;4;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;4;4;0;0;0;0;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;2;8;0;2;0;0;2;0;0;0;8;2;0;0;0;0;2;2;0;2;0;0;0;0;6;0;0;10
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;2;4;2;6;2;2;8;2;2;0;0;2;4;0;6;2;2;2;0;4;8;2;2;0;6;0;0;6;2;0;0;0;0;0;2;0;0;2;0;4;0;0;2;2;2;0;4;0;4;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;4;0;18;2;0;2;0;0;4;2;6;0;0;0;12;0;2;0;0;8;4;0;0;0;0;0;2;4;2;0;2;2;0;2;2;0;0;0;0;0;4;0;4;0;2;2;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;2;4;0;10;0;0;2;4;0;6;2;0;4;0;4;0;12;4;2;0;0;0;4;0;2;6;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;2;0;12;4;4;2;0;0;0;2;0;0;4;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0;14;0;0;34;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;2;4;0;0;0;16;2;2;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;2;4;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;10;6;0;0;4;0;2;4;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;4;2;2;0;2;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;4;6;2;0;8;0;2;0;0;2;4;0;4;2;0;0;0;10;4;2;2;2;0;0;0;2;0;0;4;4;2;0;0;12;2;0;6;0;0;0;0;0;0;4;0;8
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;2;0;2;0;0;2;4;0;2;2;0;0;0;2;0;14;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;4;0;0;2;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;10;0;0;0;4;0;2;10;4;2;0;24;4;8;10;2;4;0;0;4;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;2;4;4;4;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;2;4;0;2;0;6;0;2;0;0;8;0;2;2;0;2;2;2;4;0;10;0;2;0;2;0;0;2;2;0;4;6;2;0;4;2;0;0;2;0;2
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;0;6;0;0;6;0;0;2;0;0;0;2;0;0;10;0;0;0;4;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;4;2;0;2;2;6;0;0;0;2;0;4;6;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;4;0;0;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;2;0;0;16;0;0;0;0;10;6;0;0;0;0;0;0;0;2;0;0;6;0;2;0;2;0;0;0;0;0;0;0;0;0;8;0;0
@supt_hoffman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;10;0;12;2;0;0;0;4;0;2;2;0;0;2;2;2;8;0;0;2;6;2;0;2;0;0;0;0;0;0;0;2;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;2;2;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;6;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;8;0;2
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;0;6;0;4;0;0;0;0;6;0;0;0;0;2;2;0;0;0;0;2;4;0;0;6;0;0;0;0;0;0;0;0;12;2
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;0;0;0;0;12;2;10;2;0;4;0;4;0;0;0;4;2;10;0;0;0;0;2;0;0;4;2;2;0;4;2;0;0;2
combat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;0;2;0;6;2;2;4;4;0;2;6;2;0;6;2;0;0;0;4;12;0;0;0;0;6;0;4;0;2;0;0;2;2;2;2
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;0;4;2;0;0;4;4;4;6;4;0;10;0;0;0;0;4;10;0;4;4;8;6;0;2;0;0;0;0;0;2;2;6
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;2;0;14;2;4;2;4;4;2;0;2;2;2;0;0;2;4;4;0;6;2;4;0;0;0;4;0;0;0;2;0;0
