Tweets,Month,Quarter,sampling,TweetsTokenized
"Phaedra Parks is an American musician and poet. She is a four time Grammy Award winning songwriter/vocalist. Her hit songs ""Living for Love"" and ""I'm Yours"" have been performed in",January,Q1,26,"['phaedra', 'parks', 'american', 'musician', 'poet', 'four', 'grammy', 'award', 'winning', 'songwritervocalist', 'hit', 'songs', 'living', 'love', 'performed']"
"Our Mission

The Christians United for Israel PAC is a 501(c)(3) not-for-profit organization that supports the exclusive mission of the Christian community to defend religious liberty and to defend the peace and well-",January,Q1,26,"['missionthe', 'christians', 'united', 'israel', 'pac', '501c3', 'notforprofit', 'organization', 'supports', 'exclusive', 'mission', 'christian', 'community', 'defend', 'religious', 'liberty', 'defend', 'peace']"
"SHARE THIS ARTICLE Share Tweet Post Email

The U.S. Treasury Department has approved $8.5 billion in loans to Ukraine to help ease the impact of the country's conflict with Russia.

The funds will",January,Q1,26,"['share', 'article', 'share', 'tweet', 'post', 'emailthe', 'treasury', 'department', 'approved', '85', 'billion', 'loans', 'ukraine', 'help', 'ease', 'impact', 'countrys', 'conflict', 'russiathe', 'funds']"
A few days ago I was listening to a radio talk show host. I am a huge fan of his. He is Pro-Life and is a very talented radio host. He just could not keep his mind on the so,January,Q1,26,"['days', 'listening', 'radio', 'talk', 'show', 'host', 'huge', 'fan', 'prolife', 'talented', 'radio', 'host', 'could', 'mind']"
"And then there are the very strange coincidences I just described. For example, just prior to the Paris terrorist attacks the State Department revoked the visa of a Saudi national who had been supporting Al Qaeda and who had been suspected by",January,Q1,26,"['strange', 'coincidences', 'described', 'example', 'prior', 'paris', 'terrorist', 'attacks', 'state', 'department', 'revoked', 'visa', 'saudi', 'national', 'supporting', 'al', 'qaeda', 'suspected']"
We are experiencing a severe shortage of NHS nurses in England. We are working hard to find talented professionals but we cannot keep on adding nurses at such a critical time. In the meantime all NHS patients should be kept informed of our,January,Q1,26,"['experiencing', 'severe', 'shortage', 'nhs', 'nurses', 'england', 'working', 'hard', 'find', 'talented', 'professionals', 'cannot', 'adding', 'nurses', 'critical', 'meantime', 'nhs', 'patients', 'kept', 'informed']"
"In my continuing quest to promote economic opportunity for all Americans, I am proud to announce that I am investing $1B in the Kauai Electric Power Authority to provide certainty for the most vulnerable in our communities and to help us",January,Q1,26,"['continuing', 'quest', 'promote', 'economic', 'opportunity', 'americans', 'proud', 'announce', 'investing', '1b', 'kauai', 'electric', 'power', 'authority', 'provide', 'certainty', 'vulnerable', 'communities', 'help']"
"The EA SPORTS NHL 18 Beta is now LIVE!
The NHL®18 Beta opens in just a few hours! Follow us on  Twitter  and  Facebook  for the best updates!
Gabe Newell  ",January,Q1,26,"['ea', 'sports', 'nhl', '18', 'beta', 'livethe', 'nhl18', 'beta', 'opens', 'hours', 'follow', 'twitter', 'facebook', 'best', 'updatesgabe', 'newell']"
"The US Congress has been instructed to release all of the emails that were improperly deleted from former President Barack Obama's personal account.
The Congressional Record is now available. https://t.co/ZhlCx7D",January,Q1,26,"['congress', 'instructed', 'release', 'emails', 'improperly', 'deleted', 'former', 'president', 'barack', 'obamas', 'personal', 'accountthe', 'congressional', 'record', 'available', 'httpstcozhlcx7d']"
"The City of Winnipeg is the only city in Canada that is not exempt from the Provincial Government's $1B Costly Cigarette Tax Increase.
The City of Winnipeg is the only City in Canada that is not exempt from",January,Q1,26,"['city', 'winnipeg', 'city', 'canada', 'exempt', 'provincial', 'governments', '1b', 'costly', 'cigarette', 'tax', 'increasethe', 'city', 'winnipeg', 'city', 'canada', 'exempt']"
"The City of Ottawa is working with the Federal Government to provide funding for the Safely Ride program. Please continue to check back for updates.
I am pleased to announce that former MP Irwin Cotler will be joining the Canadian",January,Q1,26,"['city', 'ottawa', 'working', 'federal', 'government', 'provide', 'funding', 'safely', 'ride', 'program', 'please', 'continue', 'check', 'updatesi', 'pleased', 'announce', 'former', 'mp', 'irwin', 'cotler', 'joining', 'canadian']"
"Michael Moore blasts Hillary for lying in her hearing yesterday. https://t.co/67ZkQtLzkr — Michael Moore (@MMFlint) October 31, 2016
.@CNN and others are sick",January,Q1,26,"['michael', 'moore', 'blasts', 'hillary', 'lying', 'hearing', 'yesterday', 'httpstco67zkqtlzkr', 'michael', 'moore', '@mmflint', 'october', '31', '2016@cnn', 'sick']"
"The President of the United States is here, he has done a GREAT job on the CoronaVirus!
....And I will use every tool at my disposal to get our Country Back on Track!
Thank you to our",January,Q1,26,"['president', 'united', 'states', 'great', 'job', 'coronavirusand', 'use', 'tool', 'disposal', 'country', 'trackthank']"
The Ministry of Defence (MoD) has confirmed it has detected and released a huge amount of 'green' chemicals into the air from the UK. These chemicals include some that we have been putting in our food supply for many,January,Q1,26,"['ministry', 'defence', 'mod', 'confirmed', 'detected', 'released', 'huge', 'amount', 'green', 'chemicals', 'air', 'uk', 'chemicals', 'include', 'putting', 'food', 'supply']"
"AMSTERDAM (Reuters) - On a cold and stormy night in February 1998, Dutch artist Jan Gelderloos slept with the wind in her hair and her heart pounding.
A fan of the New York",January,Q1,26,"['amsterdam', 'reuters', 'cold', 'stormy', 'night', 'february', '1998', 'dutch', 'artist', 'jan', 'gelderloos', 'slept', 'wind', 'hair', 'heart', 'poundinga', 'fan', 'new', 'york']"
"This is a rush transcript. Copy may not be in its final form.

AMY GOODMAN: Today, the Supreme Court hears a historic case about immigration enforcement and national security. The justices will hear the case of Kate Stein",January,Q1,26,"['rush', 'transcript', 'copy', 'may', 'final', 'formamy', 'goodman', 'supreme', 'court', 'hears', 'historic', 'case', 'immigration', 'enforcement', 'national', 'security', 'justices', 'hear', 'case', 'kate', 'stein']"
