;trump;state;president;people;american;administration;obama;states;united;house;white;nothing;senate;great;former;working;new;history;media;party;man;federal;congress;stop;police;world;election;investigation;saying;big;court;tank;arabia;woman;help;iran;economic;news;continue;arrested;israel;love;thank;impeachment;case;statement;real;voted;greatest;night;wrong;saudi;china;lies;democrats;protect;republicans;deal;war;spread;week;texas;days;order;ran;capitol;popular;could;beatles;speaking;fake;number;killed;john;fact;leader;asked;kavanaugh;win;car;crisis;hard;second;please;supreme;hardworking;america;campaign;majority;death;louis;money;making;released;brett;problems;monday;ask;officer;trade
trump;0;4;10;0;2;8;2;0;0;4;4;2;0;0;2;0;4;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0
state;0;0;2;2;0;0;4;0;0;0;0;4;0;4;0;2;2;2;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;4;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
president;0;0;0;0;2;4;2;0;0;4;6;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
people;0;0;0;0;4;0;0;2;2;4;4;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2
american;0;0;0;0;0;0;0;4;4;2;2;2;0;2;0;0;2;4;0;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;2;2;0;4;0;0;0;2;0;0;2;0;4;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2
administration;0;0;0;0;0;0;10;0;0;4;4;0;0;0;2;0;2;0;4;0;0;4;0;0;0;0;0;0;2;2;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;2;0;0;2;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2;0;2;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
states;0;0;0;0;0;0;0;0;16;2;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;4;0;2;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0
united;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;4;0;2;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;14;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
