;new;people;states;great;united;president;trump;state;house;american;party;country;republican;man;white;national;democrats;obama;york;court;radical;federal;campaign;trying;left;news;senate;world;big;take;congress;thank;bill;government;love;administration;times;may;republicans;released;team;young;article;support;wants;washington;security;best;care;job;help;presidential;city;important;information;announce;working;death;senator;media;number;deal;nothing;sent;huge;americans;vote;america;texas;history;economy;act;latest;police;investigation;work;social;stop;john;judge;supreme;home;bring;plan;tuesday;north;attack;former;leader;nfl;donald;year;tremendous;another;terrorist;cut;family;word;special;killed
new;0;14;8;10;6;10;6;6;2;6;2;6;4;0;4;2;2;4;22;0;0;0;0;2;0;6;0;2;10;0;2;4;4;0;4;0;10;0;2;4;6;0;2;2;8;2;0;0;0;2;0;0;4;4;2;6;6;2;0;0;6;0;2;0;4;4;4;6;0;2;2;4;0;0;0;4;0;2;8;0;0;0;4;4;0;2;0;4;2;0;2;2;0;0;2;0;0;0;2;0
people;0;0;14;14;12;8;6;6;2;22;2;6;4;0;2;4;4;4;0;6;4;2;2;4;4;2;4;4;2;0;6;2;4;4;0;4;0;0;4;0;2;4;2;0;2;4;6;0;2;8;2;4;0;6;4;2;4;2;2;0;6;0;2;0;0;2;4;0;0;6;0;4;0;2;0;2;2;4;2;2;4;4;2;2;2;2;0;2;2;0;2;4;2;0;0;0;2;0;0;0
states;0;0;0;6;66;12;6;6;6;4;4;4;4;6;6;2;0;0;2;10;2;4;2;4;2;2;0;0;2;4;0;2;2;4;0;2;2;2;0;4;0;4;0;0;4;4;2;0;0;2;2;2;2;6;2;6;4;2;0;0;0;2;0;2;0;4;0;6;2;0;0;0;0;0;0;0;0;4;0;2;6;0;0;2;0;2;2;2;2;0;0;2;0;4;2;0;0;2;0;2
great;0;0;0;0;6;6;4;8;2;8;2;12;4;6;4;4;2;0;4;0;2;0;2;0;2;8;6;0;8;0;2;2;6;0;2;0;4;0;2;0;2;4;0;6;4;0;2;6;0;6;6;0;0;2;0;4;0;0;6;0;0;2;0;0;4;0;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;2;0;2;2;0;0;0;0;2;2;2;6;0;0;0;2;4;4;0
united;0;0;0;0;0;14;6;4;4;6;2;2;2;6;6;2;0;0;2;6;2;0;2;4;2;2;0;0;0;4;0;2;0;4;0;2;2;2;0;4;0;2;0;0;4;4;2;0;0;2;2;2;2;2;2;4;4;2;0;0;0;2;0;2;0;4;0;4;2;2;0;0;0;0;0;0;0;4;0;2;4;0;0;2;0;2;2;2;2;0;0;2;0;4;2;0;0;2;0;0
president;0;0;0;0;0;0;24;6;8;8;2;8;0;6;4;4;6;8;4;2;6;4;2;0;6;2;8;2;0;2;2;4;0;2;0;2;2;0;2;4;2;0;0;0;2;4;2;2;2;0;0;0;2;4;2;4;2;2;0;2;0;0;2;0;0;2;0;2;2;6;2;4;2;0;2;4;2;2;2;4;2;0;2;0;2;0;2;2;0;0;6;2;0;4;2;0;0;4;0;0
trump;0;0;0;0;0;0;0;0;8;2;0;6;2;4;4;2;6;4;2;2;2;2;8;0;2;4;4;0;6;0;0;0;0;2;0;6;2;0;4;2;4;2;0;0;2;2;0;2;2;0;0;0;0;0;0;4;2;0;0;2;4;4;2;2;0;0;2;2;0;0;2;2;2;2;2;4;2;0;0;0;2;0;2;0;0;2;2;2;0;0;10;0;0;4;2;2;2;4;2;2
state;0;0;0;0;0;0;0;0;0;0;6;4;6;6;0;8;0;2;2;2;0;2;0;0;0;0;4;0;2;4;2;2;0;2;0;0;2;0;0;0;0;2;4;0;4;2;0;0;0;2;2;2;0;4;2;2;4;2;0;0;2;2;0;2;0;2;2;2;2;0;0;0;2;2;0;0;0;2;2;2;0;4;0;0;0;2;0;4;2;0;0;2;4;0;0;2;0;0;0;2
house;0;0;0;0;0;0;0;0;0;2;2;6;6;0;24;2;8;4;0;0;6;0;6;2;8;6;8;0;2;4;0;2;6;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;4;4;0;2;2;0;0;0;4;0;0;2;0;2;4;0;2;2;4;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;4;2;2
american;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;8;8;0;4;4;2;0;0;4;0;0;0;0;0;6;2;2;4;0;4;0;0;0;4;0;0;0;0;0;4;2;0;2;2;2;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;2;16;0;0;4;0;0;0;0;2;0;0;2;4;0;0;2;0;2;0;0;2;4;2;0;0;2;4;0;0;0;2;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;6;0;2;0;10;0;0;2;8;0;2;0;4;2;2;2;0;2;4;2;2;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;0;2;0;2;2;4;2;2;0;2;2;0;0;6;2;2;2;2;2;4;0;2;0;2;0;0;4;2;0;4;0;2;4;0;0;0;0;0;0;6;2;2;0;2;0;0;4;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;4;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;6
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;6;0;4;4;4;8;2;0;2;6;0;4;2;2;0;0;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;2;0;2;0;0;2;0;0;4;0;0;4;2;0;2;2;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;2;0;0;0;4;2;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;2;2;2;0;0;2;0;0;0;2;2;0;0;0;2;0;2;8;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;10;0;0;0;10;2;6;0;0;4;0;0;2;0;0;2;2;0;2;2;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;2;4;2;2;0;8;0;4;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0;2;4;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;2;0;0;2;4;2;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;2;4;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;0;2;4;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;8;0;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;6;2;0;0;0;0;0;2;0;4;2;0;0;0;4;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;2;0;2;0;0;2;0;0;4;0;0;0;0;2
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;4;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;4;2;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;2;0;0;0;0;0;2;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;4;4;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0
