;americans;act;president;action;house;#justiceinpolicing;police;american;people;brutality;congress;senate;trump;capitol;full;injustice;justice;supreme;communities;take;country;nationwide;racial;covid19;health;lgbtq;tune;george;secure;protect;reporters;democrats;floyd;together;america;progress;lives;passing;historic;violence;real;leader;across;pass;victory;courts;thank;#heroesact;calling;letter;bigotry;#familiesfirst;legislation;@housedemocrats;ensure;live;end;commitment;coronavirus;mcconnell;vote;black;finally;law;rights;combat;workers;stop;clear;court;square;committed;shameful;shocking;#juneteenth;statement;ruling;discrimination;message;nation;et;may;deserve;step;economic;testing;human;todays;presidents;killed;confront;bold;americas;men;admins;response;care;passed;crisis;confederacy
americans;0;16;10;12;6;16;18;2;4;20;6;6;4;4;2;12;14;4;0;6;8;8;12;0;4;8;4;10;10;0;2;2;10;2;2;6;6;6;4;0;2;4;8;0;2;2;4;0;8;0;2;0;2;4;2;0;10;0;2;4;2;10;2;2;0;2;0;4;2;2;0;0;0;4;2;0;4;6;2;0;0;0;4;6;0;2;0;2;4;8;0;4;0;0;0;0;2;0;2;0
act;0;0;6;14;18;26;16;6;2;16;10;14;6;4;0;6;12;2;0;4;4;4;6;4;0;0;6;12;10;4;4;8;12;4;0;4;4;10;4;0;4;4;4;4;0;0;0;2;8;2;0;2;6;6;2;0;2;2;2;2;4;8;4;2;4;2;4;2;2;4;0;2;0;2;0;0;0;0;0;0;2;0;2;8;2;0;4;0;2;6;2;6;2;0;2;0;6;6;2;0
president;0;0;0;2;2;4;6;8;4;8;6;0;12;0;2;4;4;4;2;0;4;2;4;4;0;0;0;2;2;6;0;2;2;0;2;0;4;0;0;0;4;2;4;0;4;4;0;0;2;2;0;2;0;0;0;0;4;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;2;2;0;4;0;0
action;0;0;0;0;4;12;12;4;2;12;8;10;0;2;0;4;8;0;2;14;2;4;4;4;2;0;6;6;10;2;2;4;6;2;8;2;4;6;2;0;4;0;4;6;0;0;4;4;8;0;0;0;2;4;2;0;2;0;2;0;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;4;2;2;0;0;0;4;0;4;2;0;0;0;2;0;2;0
house;0;0;0;0;0;12;6;6;2;6;2;6;2;6;4;2;6;0;0;2;0;2;0;2;0;0;2;10;4;4;2;8;10;2;0;2;0;6;10;0;0;0;0;2;0;0;2;0;2;0;0;2;4;0;2;2;0;2;0;0;6;6;2;2;2;0;4;2;0;2;0;0;0;0;2;0;0;0;0;2;4;0;0;4;2;0;2;2;0;6;0;2;0;0;2;0;2;6;0;2
#justiceinpolicing;0;0;0;0;0;0;16;2;4;16;8;6;2;6;0;6;12;0;2;2;2;2;6;0;0;0;4;14;12;2;4;4;14;6;2;0;4;6;6;0;4;4;4;4;0;0;0;0;8;0;0;0;2;4;0;2;2;0;0;2;4;8;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;2;2;6;0;4;0;0;0;0;0;2;0;0
police;0;0;0;0;0;0;0;0;2;26;4;0;2;4;0;14;14;0;0;4;6;4;14;2;0;0;2;12;8;0;2;0;10;2;2;0;4;4;4;4;2;2;4;0;0;0;2;0;6;0;0;0;0;2;0;0;4;2;0;0;0;10;0;0;0;4;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;6;0;0;0;0;2;8;0;4;2;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;10;0;4;8;2;0;2;0;0;2;0;2;0;0;0;4;2;0;0;0;2;6;0;2;0;2;2;4;6;6;2;0;2;4;0;6;2;2;0;6;2;2;0;4;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;6;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;0;0;0;2;4;2;0;0;4;2;2;2;2;2;4;2;2;0;0;6;0;0;2;6;0;0;0;4;2;4;6;2;2;0;0;0;0;2;2;0;0;2;0;0;4;2;0;0;4;0;0;4;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;4;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
brutality;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;14;12;0;0;4;6;4;14;2;0;0;2;10;8;0;2;0;10;2;2;0;4;4;4;0;2;2;6;0;0;0;2;0;6;0;0;0;0;2;0;0;6;0;0;0;0;10;0;0;0;4;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;6;0;0;0;0;2;8;0;4;0;0;0;0;0;0;0;0
