;people;great;united;president;states;new;trump;american;obama;world;government;administration;federal;news;best;working;state;national;house;election;times;department;justice;white;senate;man;love;decision;america;york;history;week;security;major;democrats;trying;bill;post;republican;court;public;thank;california;stop;crime;big;reporting;democratic;following;called;presidential;help;party;2016;year;washington;law;country;university;fbi;another;media;left;americans;think;former;recent;story;job;nothing;good;donald;night;win;tax;end;benjamin;free;million;future;incredible;vote;congress;center;city;may;military;investigation;hillary;game;support;amazing;team;war;killed;radical;countries;syrian;businesses;citizens
people;0;8;12;14;8;2;8;22;4;10;6;8;4;6;4;4;2;6;2;2;0;8;6;2;0;6;4;0;6;0;6;2;4;0;4;0;0;2;2;4;0;2;0;2;0;0;2;2;0;2;0;2;2;0;2;2;2;6;2;0;2;2;0;0;2;2;0;2;2;4;0;2;0;0;0;4;0;2;4;0;0;2;0;0;4;4;2;2;2;0;2;2;0;2;0;0;2;2;2;0
great;0;0;6;6;4;6;6;10;4;2;0;2;0;2;2;4;4;4;2;0;2;0;0;0;2;4;8;0;0;2;4;4;0;0;2;2;0;2;4;0;0;4;0;4;2;6;0;0;0;4;4;0;2;2;4;0;0;2;0;0;0;0;2;2;2;0;0;4;4;4;2;0;2;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;0;2;0;6;2;0;2;0;0;0;0
united;0;0;0;8;68;6;4;8;6;6;4;8;0;4;0;6;8;0;0;4;0;2;2;0;2;4;4;0;10;0;8;0;8;4;4;0;0;0;0;4;0;2;0;6;0;0;2;4;4;2;4;6;0;2;4;2;0;2;0;0;2;0;2;2;4;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;4;2;0;0;4;0;0;0;0;0;0;0;0;2;2;2;0;0
president;0;0;0;0;6;10;28;10;10;2;6;4;8;2;0;0;4;6;6;6;6;6;8;4;6;2;2;8;4;8;4;2;0;2;2;2;2;2;2;0;2;0;0;2;6;2;6;4;4;4;4;2;2;6;0;2;4;0;0;4;2;0;0;0;2;2;2;0;0;2;0;12;4;0;2;2;0;0;0;0;2;2;4;0;2;6;0;2;6;0;0;0;0;2;0;0;0;0;0;4
states;0;0;0;0;0;6;4;6;4;2;2;6;0;2;2;4;8;0;0;4;0;0;2;0;2;4;2;0;8;0;6;0;6;4;4;0;0;0;0;4;0;2;0;6;0;0;2;4;4;0;4;6;0;2;4;2;0;2;0;0;2;0;2;2;4;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;4;4;6;0;0;12;2;2;0;4;0;0;2;2;18;0;4;0;0;2;0;2;2;2;0;0;0;0;0;4;2;2;0;2;4;0;2;0;0;4;4;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;4;0;2;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2
trump;0;0;0;0;0;0;0;4;4;0;0;8;4;2;2;0;2;8;2;6;2;0;2;2;6;2;0;6;2;0;2;2;0;2;0;2;2;0;6;0;4;0;0;0;4;2;6;2;4;2;2;0;0;4;0;4;2;2;0;4;0;0;0;2;0;0;0;0;0;0;0;6;4;0;4;2;0;0;2;0;2;0;2;0;2;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;4;6;2;4;0;4;0;2;2;6;4;2;0;2;0;4;2;6;4;0;4;0;4;0;2;0;2;0;2;2;2;2;2;2;0;2;2;2;2;0;0;0;2;2;4;2;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;4
obama;0;0;0;0;0;0;0;0;0;0;2;22;0;2;0;0;2;0;0;2;2;2;4;0;0;0;2;4;0;0;2;0;4;2;0;4;2;8;0;2;2;0;0;0;0;0;2;4;0;2;2;2;2;2;0;6;4;0;0;0;4;0;0;4;0;2;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;2
world;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;4;4;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0
