;trump;people;president;great;national;federal;thing;working;united;government;radical;new;times;left;media;house;police;donald;million;campaign;world;states;congress;state;administration;democrats;latest;history;love;committee;country;senate;man;article;pay;university;bill;thank;news;committed;help;conservative;york;league;end;support;think;use;series;america;american;sanders;former;week;navy;called;forward;calling;wants;chief;worst;russia;bernie;hard;texas;monday;hillary;court;big;took;sent;investigating;department;koch;full;viral;military;12;death;trying;tuesday;jobs;supreme;trade;family;chicago;run;december;city;debate;puppet;strategist;social;signed;uss;intelligence;americans;republicans;democratic;championship
trump;0;8;6;2;0;2;0;6;2;2;2;2;4;2;4;6;0;8;0;4;0;2;4;0;2;2;4;0;2;2;4;2;2;0;2;0;2;0;2;0;2;4;2;0;0;2;2;0;2;4;0;2;0;0;0;2;4;2;0;0;2;4;2;4;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;2;0;2;0;0
people;0;0;6;4;2;2;0;2;2;4;0;4;2;0;4;2;0;2;2;0;2;0;2;0;0;0;0;0;2;2;6;2;2;0;2;0;0;2;4;4;2;2;4;0;2;4;0;0;0;2;4;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0
president;0;0;0;2;4;4;2;4;6;4;2;0;2;2;6;2;0;2;0;0;0;4;2;2;2;0;2;2;0;2;2;2;0;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;2;2;4;0;4;0;0;2;0;0;2;2;0;4;0;0;0;0;2;0;2;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;0
great;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;0;2;2;0;2;2;0;2;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;2;4;0;0;0;0;2;2;0;0;4;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2;2
federal;0;0;0;0;0;0;2;0;0;8;2;0;2;0;0;0;4;2;2;0;0;0;4;0;2;0;2;2;0;0;2;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;0;0;2;2;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thing;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;2;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;2;2;0;0;2;6;2;0;0;0;0;2;0;4;2;6;2;0;0;2;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
