;community;youth;todays;city;park;w;thank;centre;#adayinthelife;regent;cyc;work;cabbagetown;toronto;#topoli;#torcen;housing;support;meeting;2020;family;st;mayor;budget;funding;staff;street;council;new;residents;working;great;thanks;development;big;committee;health;kids;canada;save;doors;plan;critical;february;ensure;downtown;people;safety;emergency;former;congratulations;help;building;@m_layton;agenda;love;please;chow;still;services;recreation;agendamtg;violence;social;@topublichealth;leaders;neighbourhood;citys;opportunity;address;education;learn;public;petition;supporting;discussion;program;lucky;#ward13;chosen;yonge;action;team;business;care;role;amazing;east;productive;19;best;across;communities;given;future;modernto;included;model;local;enough
community;0;10;12;10;16;14;10;12;10;14;4;8;4;6;4;8;2;6;6;4;2;4;4;2;2;10;4;0;2;6;10;4;6;4;8;4;6;2;0;4;2;4;2;2;8;6;4;4;2;2;4;2;2;0;0;2;2;2;0;4;2;2;0;2;2;4;4;0;2;2;2;2;0;0;2;4;2;0;2;2;2;2;2;2;0;0;2;2;2;0;2;2;0;0;0;0;0;0;4;0
youth;0;0;2;16;10;6;6;22;0;10;14;0;22;6;0;2;0;10;0;6;2;4;8;10;12;4;2;12;6;2;0;0;4;4;6;2;0;4;0;8;12;4;4;6;2;2;4;2;10;6;2;6;2;0;0;2;4;0;2;4;8;0;6;4;0;0;0;4;4;2;0;4;0;8;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;4;0;0;0;0;0;0;2;0
todays;0;0;0;4;12;12;2;4;34;10;4;4;2;4;22;2;4;0;12;4;4;8;0;4;0;12;4;0;0;2;0;2;2;6;0;6;2;0;2;2;0;4;0;0;0;2;0;2;0;0;2;0;0;0;6;0;0;0;0;4;0;8;0;2;2;0;0;0;0;2;0;2;2;0;0;4;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;6;2;0;2;0
city;0;0;0;0;8;6;2;14;2;8;4;4;12;6;2;2;0;4;2;4;0;2;2;8;10;8;2;14;2;2;2;0;4;0;8;2;2;0;2;6;6;0;0;6;0;2;0;2;8;0;4;4;0;0;0;0;6;0;2;0;2;2;4;0;0;2;0;2;2;2;0;4;0;4;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;2;0;0;0;0;0;0;2;0
park;0;0;0;0;0;12;10;12;10;32;6;2;4;0;4;8;0;2;4;4;0;6;2;4;2;4;2;2;4;6;2;6;2;8;6;2;2;6;0;0;2;6;0;2;2;0;0;8;2;0;4;2;2;0;2;2;2;0;0;0;0;2;2;6;0;0;4;2;2;0;0;4;0;2;2;4;6;0;2;2;4;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0
w;0;0;0;0;0;0;2;4;12;10;0;4;4;4;8;2;0;2;2;2;0;4;4;4;2;10;4;2;2;6;4;2;4;6;6;4;6;0;2;6;0;4;0;2;4;0;4;4;2;0;0;0;0;0;2;2;0;0;0;4;0;6;2;2;4;2;2;2;0;2;0;0;0;2;0;2;2;0;0;2;2;2;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2
thank;0;0;0;0;0;0;0;8;0;8;2;6;4;0;0;2;0;6;0;0;2;0;0;0;0;4;4;0;0;0;2;6;0;0;0;0;2;4;0;4;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;4;0;0;2;2;4;0;0;0;2;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;0;2;0;2
centre;0;0;0;0;0;0;0;0;2;12;8;0;20;2;0;2;0;8;4;4;2;6;2;6;10;4;0;10;2;4;2;0;2;2;4;0;2;6;0;6;8;0;2;6;4;2;2;2;8;2;2;4;2;0;2;0;6;2;2;4;4;0;4;0;0;0;0;2;4;2;2;4;0;4;2;2;2;0;2;0;0;0;2;0;0;0;0;2;2;6;0;2;0;0;0;0;0;0;0;0
#adayinthelife;0;0;0;0;0;0;0;0;0;8;4;2;2;4;22;0;4;0;12;4;4;8;0;4;0;10;4;0;0;2;0;2;0;6;0;6;2;0;2;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;4;0;8;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0
regent;0;0;0;0;0;0;0;0;0;0;6;2;4;0;4;8;0;2;4;4;0;6;2;4;2;4;0;2;4;6;2;4;2;8;6;0;2;6;0;0;2;6;0;2;2;0;0;8;2;0;2;2;2;0;2;2;2;0;0;0;0;2;2;6;0;0;2;2;2;0;0;4;0;2;0;2;6;0;2;2;0;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0
cyc;0;0;0;0;0;0;0;0;0;0;0;2;6;6;4;0;0;6;2;4;0;6;6;6;6;2;0;4;4;0;0;0;0;2;0;0;0;4;2;4;8;0;6;2;2;2;2;0;6;8;0;2;0;0;2;0;0;0;0;2;8;0;2;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;4;4;0;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;0;2;0;4;2;0;4;2;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;4;4;0;0;0;2;2;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;2
cabbagetown;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;2;4;0;4;2;6;8;2;2;10;2;2;0;0;2;0;4;2;0;4;2;8;6;0;2;4;2;0;2;0;6;2;0;4;2;0;0;0;4;0;2;4;2;2;2;0;0;0;0;0;2;2;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0
toronto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;6;4;0;4;4;4;0;6;4;4;4;0;2;0;2;2;4;4;0;0;0;4;4;0;2;4;2;2;0;0;0;4;0;2;2;0;4;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0
#topoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;6;2;4;0;4;0;10;2;0;0;2;0;2;0;4;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;6;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0
#torcen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;0;0;0;0;2;6;4;4;2;2;4;0;2;4;4;0;0;6;0;0;2;2;0;6;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;2;2;0;0;2;0;6;4;0;0;0;2;2;2;2;0;2;2;0;0;0;0;4;0;0;0;2;2;2;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;4;2;0;2;2;2;0;2;4;0;4;0;0;2;2;2;4;0;2;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
meeting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;6;0;0;2;2;2;2;4;2;2;2;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
