;president;trump;states;united;people;great;new;american;house;man;news;democrats;national;government;help;media;world;white;state;thank;country;fbi;court;federal;administration;best;party;nothing;senate;history;justice;york;big;good;fake;obama;republican;congress;important;donald;americans;former;presidential;love;article;police;department;military;washington;investigating;usa;china;left;election;supreme;final;working;year;2016;team;job;bad;lot;committee;report;security;million;totally;end;night;complete;strong;campaign;called;amazing;away;week;support;nfl;information;bill;fire;investigation;money;may;thing;death;law;attack;proud;killed;take;shot;looking;place;press;taking;game;family;political
president;0;78;24;26;20;10;12;14;14;6;18;16;12;4;8;16;10;10;8;6;8;16;8;6;10;2;2;10;4;8;10;4;8;4;16;6;0;10;6;10;4;14;2;0;4;2;2;4;4;6;4;8;6;2;8;4;0;0;4;2;4;4;0;2;4;8;2;4;8;4;2;2;2;4;0;2;8;10;0;0;2;4;14;4;2;4;4;2;2;0;0;4;2;0;2;6;2;2;2;4
trump;0;0;10;10;22;12;20;14;22;12;12;6;18;4;2;22;4;16;2;8;8;12;2;2;18;2;4;8;0;4;12;8;6;6;4;4;6;8;2;38;2;10;8;2;4;2;6;0;10;8;0;2;2;0;2;2;4;2;4;2;0;8;2;4;4;8;6;10;8;2;4;4;12;2;2;4;2;6;2;2;2;0;14;2;0;4;4;2;0;2;0;2;0;2;0;6;4;4;4;8
states;0;0;0;144;28;14;10;12;6;6;14;6;8;12;10;4;16;4;12;2;12;2;6;6;6;6;2;8;8;10;4;2;0;6;4;6;0;4;8;0;2;0;4;2;4;4;8;12;4;0;0;12;0;4;6;0;4;0;2;0;2;0;4;2;2;2;6;6;8;6;4;2;0;4;2;4;2;2;0;4;8;2;0;0;2;2;0;6;2;2;0;0;0;4;2;2;4;0;0;8
united;0;0;0;0;26;12;10;10;6;4;12;6;8;10;6;4;16;4;14;2;12;2;6;2;4;6;2;8;10;10;2;2;0;4;4;6;2;4;8;2;4;0;2;2;4;4;6;12;2;0;0;14;0;2;6;0;4;0;0;0;2;0;2;2;2;2;6;6;6;6;6;2;0;4;2;4;2;2;0;4;4;0;0;0;0;2;0;2;2;2;0;0;0;4;2;2;4;0;0;8
people;0;0;0;0;0;18;26;28;4;8;8;2;2;4;6;10;4;0;8;10;10;10;6;4;6;4;4;10;0;2;8;12;2;6;6;4;2;6;2;6;2;6;6;12;10;2;4;0;8;0;6;6;2;2;6;2;4;2;4;4;4;6;4;4;2;2;10;4;10;0;6;4;6;0;8;2;6;8;2;4;0;2;0;2;0;2;2;4;4;4;2;4;6;0;6;8;4;2;0;2
great;0;0;0;0;0;0;14;14;4;6;12;4;6;4;6;4;8;4;8;12;6;0;0;0;6;2;2;4;8;8;0;6;8;4;4;0;2;2;6;0;2;0;0;12;4;0;2;6;2;0;4;4;8;2;0;2;2;6;4;12;4;0;6;2;4;0;0;2;0;2;4;0;2;6;2;4;2;8;0;0;2;0;0;0;0;2;0;0;0;8;0;6;0;2;6;0;0;2;0;2
new;0;0;0;0;0;0;0;10;8;6;6;4;8;6;8;6;6;4;4;0;0;2;4;4;6;6;6;8;2;4;4;44;6;6;4;6;4;6;0;6;4;2;4;4;4;0;2;6;4;6;2;0;2;4;4;4;2;2;4;4;4;2;6;4;4;2;4;0;2;6;8;6;10;6;0;2;2;0;0;0;2;0;4;8;4;4;2;0;0;8;0;0;0;0;2;2;2;4;6;0
american;0;0;0;0;0;0;0;0;2;0;4;6;2;4;2;4;2;2;2;10;2;4;2;2;4;0;4;4;4;16;4;2;4;4;2;4;2;6;8;4;4;4;0;2;4;0;2;6;4;2;0;0;2;4;2;6;2;2;2;4;2;4;0;0;2;2;0;2;8;0;8;2;0;0;4;2;2;4;0;4;8;4;0;2;4;0;0;2;8;4;4;2;2;0;4;2;0;0;2;8
house;0;0;0;0;0;0;0;0;0;6;6;12;4;8;4;6;0;40;4;6;2;2;0;4;6;0;4;6;10;2;0;2;8;2;2;4;2;2;2;6;0;2;4;0;0;0;4;0;4;6;0;0;6;0;0;4;4;0;2;2;2;6;4;8;6;2;2;0;2;2;0;0;0;2;0;0;2;0;2;2;8;2;4;0;0;0;0;0;0;0;0;0;0;2;0;8;2;4;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;6;0;2;4;8;6;2;0;0;0;0;0;4;4;0;0;4;0;0;0;0;0;6;0;2;0;6;0;10;2;0;4;6;0;0;4;0;6;0;0;2;0;0;0;2;0;0;2;0;0;4;0;2;2;2;0;10;2;2;0;2;2;2;0;4;2;0;0;0;2;0;0;0;6;4;10;2;2;2;2;0;0;0
