Tweets,Month,Quarter,sampling,TweetsTokenized
"During the 2016 campaign, Trump repeatedly referred to illegal Mexican immigrants as ""rapists"" and ""murderers."" He detailed the cruelty of certain groups of people using horrible names such as ""N*****gers"" or ""L",January,Q1,47,"['2016', 'campaign', 'trump', 'repeatedly', 'referred', 'illegal', 'mexican', 'immigrants', 'rapists', 'murderers', 'detailed', 'cruelty', 'certain', 'groups', 'people', 'using', 'horrible', 'names', 'ngers', 'l']"
"The best way to find out what your local freshman orientation is all about!


The best way to find out what your local freshman orientation is all about!


So good to hear that @GOPLeader @Reince",January,Q1,47,"['best', 'find', 'local', 'freshman', 'orientation', 'aboutthe', 'best', 'find', 'local', 'freshman', 'orientation', 'aboutso', 'good', 'hear', '@gopleader', '@reince']"
"Wall Street Journal Editorial: Dems Are Losing Because They're Losing the White House -- They're Losing the War On Freedom!
The Democrats are losing the war on freedom because they're losing the White House because of",January,Q1,47,"['wall', 'street', 'journal', 'editorial', 'dems', 'losing', 'losing', 'white', 'house', 'losing', 'war', 'freedomthe', 'democrats', 'losing', 'war', 'freedom', 'losing', 'white', 'house']"
"Disgraceful!
Just spoke to President Putin of Russia and he said that he completely agrees with my call for all parties to take a hard look at the situation in Ukraine and the fact that Russia and the Ukrainian people",January,Q1,47,"['disgracefuljust', 'spoke', 'president', 'putin', 'russia', 'completely', 'agrees', 'call', 'parties', 'take', 'hard', 'situation', 'ukraine', 'fact', 'russia', 'ukrainian', 'people']"
"Earlier today I was informed by an expert that there was a 9-11 Plot. I was told by an expert that there was a 9-11 Plot.
I was told by an expert that there was a 9-",January,Q1,47,"['earlier', 'informed', 'expert', '911', 'plot', 'told', 'expert', '911', 'ploti', 'told', 'expert', '9']"
"This article is a Team stub. You can help Liquipedia by expanding it.

Overview [ edit ]

Team Liquid qualified for the MLG Spring Championship via the Group Stage where they faced off against Team Acer. The",January,Q1,47,"['article', 'team', 'stub', 'help', 'liquipedia', 'expanding', 'itoverview', 'edit', 'team', 'liquid', 'qualified', 'mlg', 'spring', 'championship', 'via', 'group', 'stage', 'faced', 'team', 'acer']"
We're thrilled to be adding a new president-elect to the Clubby Four. Tom has been a tremendous advocate for our Military Vets &amp; our great #MAGA agenda and we look forward to working with him,January,Q1,47,"['thrilled', 'adding', 'new', 'presidentelect', 'clubby', 'four', 'tom', 'tremendous', 'advocate', 'military', 'vets', 'great', '#maga', 'agenda', 'forward', 'working']"
"The only reason we got here is because we worked so hard together during the Great Recession.
The only reason we got here is because we work SO hard together during the Great Recession.
We are the most pro-life",January,Q1,47,"['reason', 'worked', 'hard', 'together', 'great', 'recessionthe', 'reason', 'work', 'hard', 'together', 'great', 'recessionwe', 'prolife']"
"Now that we're out of the cold and the summer heat, it's time to get busy and make a BIG splash. It's so important for our fans and our Club to WIN tomorrow night and beyond!


It",January,Q1,47,"['cold', 'summer', 'heat', 'busy', 'big', 'splash', 'important', 'fans', 'club', 'win', 'tomorrow', 'night', 'beyondit']"
"City of Richmond - 2nd Amendment Rights
City of Richmond - 2nd Amendment Rights
Thank you to @MayorRudyVan Hollen and @USDefence for sponsoring the Second Amendment Rights Protection Act. We need",January,Q1,47,"['city', 'richmond', '2nd', 'amendment', 'rightscity', 'richmond', '2nd', 'amendment', 'rightsthank', '@mayorrudyvan', 'hollen', '@usdefence', 'sponsoring', 'second', 'amendment', 'rights', 'protection', 'act']"
