;#covid19;state;connecticut;news;live;briefing;updates;county;residents;response;new;provide;health;people;order;efforts;positive;tested;connecticuts;happening;update;@ctdph;states;public;continue;#connecticut;executive;latest;medical;discuss;working;actions;signed;emergency;hospitals;help;online;take;stream;conference;morning;work;info;yesterday;best;ct;tonight;hospital;#coronavirus;students;great;tests;schools;hold;businesses;call;home;guidance;#connecticuts;thank;year;office;thanks;soon;local;healthcare;laboratory;important;additional;taking;testing;community;administration;ensure;stay;lamont;support;town;join;good;workers;case;statewide;service;staff;employees;everyone;families;heres;holding;federal;#ctsots;check;business;preparedness;bringing;system;cases;spread;officials
#covid19;0;64;62;84;48;86;96;14;40;100;30;46;30;36;34;44;52;50;52;48;48;28;14;24;18;50;22;40;16;34;10;38;28;24;10;22;16;16;16;16;12;2;18;32;0;10;22;6;12;6;2;30;8;26;10;20;10;8;38;6;4;6;2;24;6;6;12;4;26;20;16;0;16;6;4;8;4;4;0;2;4;16;22;0;6;8;10;0;22;4;6;0;14;4;20;30;4;10;18;4
state;0;0;62;16;22;8;14;6;38;16;24;20;32;18;10;22;26;26;12;10;24;40;10;18;22;24;6;16;14;10;16;12;12;20;18;8;8;4;10;14;6;6;4;8;16;10;8;4;24;4;12;18;4;6;8;12;10;8;6;12;8;8;4;0;16;10;28;8;8;6;16;4;8;12;10;4;2;8;14;10;2;12;4;6;6;14;8;4;0;12;10;18;4;10;10;10;10;14;8;16
connecticut;0;0;0;12;4;8;8;4;46;6;22;12;8;32;6;12;34;34;2;4;26;12;22;2;12;0;10;6;16;8;8;4;10;10;10;12;4;12;2;6;10;4;6;20;16;4;4;4;14;6;10;22;6;2;14;4;8;2;0;12;6;6;2;6;12;12;10;6;20;4;10;2;2;10;8;4;4;0;4;6;2;6;22;8;2;6;2;2;0;2;12;6;6;6;2;20;6;14;6;2
news;0;0;0;0;54;106;82;0;10;70;8;52;8;0;0;36;6;4;44;54;6;8;6;6;2;12;0;10;4;12;2;10;2;8;2;2;22;2;26;18;4;0;4;0;2;0;2;2;6;0;0;0;0;34;0;0;0;2;32;0;0;2;0;12;4;0;2;0;0;8;0;0;6;2;0;20;2;0;0;6;0;4;0;0;2;0;0;2;8;14;4;0;0;4;14;0;0;0;0;14
live;0;0;0;0;0;46;44;0;4;34;4;40;2;0;0;14;0;0;38;64;2;4;4;4;0;6;2;14;0;18;0;2;0;4;2;0;32;0;40;24;2;2;2;0;2;4;2;0;2;0;0;0;0;20;0;12;0;0;6;0;0;0;0;16;2;2;2;0;0;2;0;0;0;2;2;18;0;6;6;2;0;0;0;2;0;0;0;2;0;16;2;4;2;4;2;0;0;0;0;4
briefing;0;0;0;0;0;0;82;0;12;72;6;50;8;0;0;38;6;4;44;44;8;12;4;6;0;14;0;12;0;10;0;10;0;2;2;2;20;2;22;2;8;0;4;0;0;0;2;2;8;0;0;0;0;36;0;0;0;2;34;0;0;0;0;12;2;0;6;0;0;8;2;0;8;2;0;8;0;0;0;2;0;4;0;0;2;0;0;0;8;4;0;0;2;0;16;0;0;0;0;10
updates;0;0;0;0;0;0;0;0;8;78;0;50;8;0;4;46;2;2;50;46;2;6;6;8;4;8;4;22;0;16;2;8;4;8;2;2;16;2;16;14;6;0;2;0;0;0;8;0;4;0;0;0;2;22;0;0;2;0;32;0;0;2;0;14;2;0;2;0;0;4;0;0;8;2;0;8;0;0;0;0;0;0;0;0;0;4;2;0;8;6;0;0;2;0;16;0;2;0;0;6
county;0;0;0;0;0;0;0;0;18;0;14;0;0;2;0;0;24;24;0;0;18;0;0;0;0;10;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;18;0;0;0;4;2;0;0;6;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;8;0;2;0;0
residents;0;0;0;0;0;0;0;0;0;2;14;20;12;20;2;12;38;42;8;6;44;16;12;2;4;18;4;10;6;4;0;2;2;6;6;4;2;10;2;6;8;2;6;36;2;6;0;4;12;0;2;30;4;4;0;0;2;0;2;0;0;6;0;0;6;8;10;2;24;2;8;0;2;2;2;2;2;2;6;2;0;2;22;0;2;0;0;0;6;2;2;0;2;2;4;32;4;12;0;2
response;0;0;0;0;0;0;0;0;0;0;0;34;12;2;2;46;0;0;46;40;0;4;4;2;6;4;2;10;0;14;2;10;2;8;4;4;12;4;14;8;2;0;2;0;0;4;2;2;4;0;0;0;2;20;2;6;0;2;34;2;0;2;0;14;6;0;0;2;0;0;2;0;8;4;0;6;0;0;0;0;0;0;0;0;2;0;4;2;10;2;4;0;2;0;14;0;4;2;0;6
new;0;0;0;0;0;0;0;0;0;0;0;6;2;6;4;6;18;16;4;4;16;0;8;2;6;20;4;4;0;0;10;10;2;0;6;2;4;2;4;4;4;4;4;10;8;0;2;4;2;0;4;6;2;6;0;0;2;4;0;4;2;2;2;6;0;0;0;4;6;6;2;2;0;0;2;2;2;0;0;0;4;8;2;8;6;2;0;6;2;0;2;6;0;2;0;10;2;6;2;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;24;8;4;38;36;6;8;12;12;6;8;0;10;4;2;6;2;0;14;4;6;12;4;6;12;6;0;10;2;4;0;4;2;10;0;0;0;0;26;2;2;0;6;12;4;0;2;0;14;4;4;2;2;2;0;2;2;6;6;0;2;8;0;2;4;4;2;0;2;4;0;0;2;0;8;2;0;2;2;8;0;4;0;0;8
health;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;14;4;4;4;2;4;8;8;44;6;14;6;8;6;4;4;8;10;20;4;2;0;8;0;2;4;2;4;0;8;10;6;4;8;6;0;2;6;2;4;4;4;6;2;4;0;2;2;2;14;6;2;4;0;0;4;2;4;8;4;2;4;2;0;4;0;2;2;0;4;4;6;0;0;8;2;2;6;0;14;0;4;4;4;14
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;26;20;0;2;22;2;2;6;8;10;8;2;6;0;8;6;8;4;0;8;2;12;0;0;0;4;2;18;2;0;4;0;2;0;0;18;0;0;4;2;8;8;0;4;0;0;2;4;0;4;0;6;18;2;0;0;8;4;10;2;4;0;0;4;2;6;18;0;4;0;4;4;0;0;2;0;2;0;2;18;2;4;4;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;4;12;6;0;52;2;2;0;6;16;34;4;4;2;2;4;0;0;0;0;0;2;2;0;10;0;0;2;0;0;14;0;6;0;6;10;0;0;4;2;0;6;0;6;0;0;4;8;0;2;4;2;2;0;2;2;0;0;4;0;4;2;4;0;0;0;10;0;0;0;0;2;2;0;0;0;8;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;2;6;12;6;10;2;4;12;0;10;4;4;6;6;6;4;6;2;2;12;2;2;2;0;2;2;8;2;6;2;0;0;4;14;0;6;0;0;22;8;2;6;0;8;6;4;2;0;0;0;0;2;6;10;0;4;4;0;0;2;2;0;4;4;6;2;6;0;0;4;2;0;2;0;12;0;0;2;2;8
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;48;16;0;2;2;20;0;6;2;0;2;0;0;0;4;4;0;0;0;0;2;0;4;36;0;4;4;6;6;0;0;26;0;2;0;0;8;0;0;0;0;2;4;2;2;0;8;0;24;0;2;0;0;2;2;0;2;0;0;2;0;16;18;0;2;0;0;0;2;2;0;2;0;0;2;28;0;6;0;6
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;18;0;4;2;18;0;6;6;0;2;0;0;0;4;0;2;2;0;0;0;0;4;36;0;4;4;4;10;0;0;28;0;0;0;0;4;0;0;0;0;0;0;4;0;0;12;0;24;0;4;0;0;0;0;0;0;0;0;0;0;6;18;0;2;0;0;0;2;2;0;0;0;0;2;28;0;12;0;4
connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;4;2;2;0;0;0;6;6;14;2;2;0;2;4;4;12;2;8;12;6;0;2;0;4;4;2;2;6;0;0;2;0;16;0;0;0;2;0;2;0;2;0;12;0;2;2;4;2;2;2;2;0;0;2;2;2;0;4;0;2;0;0;0;0;2;2;2;8;2;2;0;4;2;4;0;4;0;2;2
happening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;4;2;6;2;12;0;0;0;2;2;4;12;0;22;24;0;0;2;0;0;0;0;0;2;0;0;0;0;14;0;4;0;2;16;0;0;0;0;16;0;2;2;0;0;2;0;0;4;2;0;24;0;0;0;0;0;0;0;2;0;0;0;2;2;14;2;2;0;4;6;0;0;0;0;4
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;4;18;2;6;2;0;2;2;0;2;0;2;4;2;2;0;2;0;4;36;0;2;4;2;6;0;0;30;0;0;0;2;0;4;0;0;0;0;0;0;2;0;6;2;24;0;4;2;0;0;0;0;0;2;0;0;0;2;18;0;0;2;2;0;2;2;0;0;2;2;6;28;0;4;2;0
