;united;great;states;trump;people;president;government;new;national;american;police;federal;state;news;washington;good;history;party;working;post;campaign;obama;senate;administration;country;department;house;court;number;hillary;best;republicans;former;russia;love;job;white;important;millions;justice;million;man;fake;world;support;donald;big;team;law;americans;article;michigan;book;year;fbi;report;war;greatest;men;investigation;work;week;help;china;launched;democrats;democratic;2016;another;trumps;saying;presidential;media;city;america;congress;committee;supreme;friend;tax;crime;information;arrested;used;bill;security;jobs;reserve;nations;continue;interest;immigration;russian;group;source;caught;hard;california;black;following
united;0;4;60;4;12;14;4;2;4;10;2;2;4;0;4;2;6;2;6;2;0;0;2;0;8;2;0;4;2;2;2;0;0;2;0;2;0;2;0;2;0;0;0;4;4;2;4;6;0;0;2;2;0;0;0;2;4;4;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;10;4;0;4;0;0;2;0;0;0;0;0;2;0;4;6;0;0;0;0;0;0;4;2;2;0
great;0;0;4;6;18;6;2;8;4;14;0;0;2;6;4;0;0;2;6;4;0;2;4;4;2;0;2;0;0;0;4;0;0;0;4;2;2;4;0;2;0;2;0;2;0;4;4;6;0;0;2;0;2;2;0;4;2;2;0;2;2;2;2;2;0;2;0;0;2;4;0;0;2;0;0;4;2;0;6;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;6;0;2
states;0;0;0;4;10;14;4;2;4;8;2;2;4;0;2;2;4;2;4;2;2;2;2;0;8;2;0;4;2;2;2;2;0;2;0;2;0;2;2;2;0;0;0;4;4;2;4;4;0;0;2;2;0;2;0;2;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;10;4;0;4;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;4;2;2;0
trump;0;0;0;0;4;22;4;8;4;6;2;0;0;4;10;4;2;4;6;6;10;0;2;8;0;2;0;2;0;2;4;2;0;6;2;2;0;4;2;4;2;2;4;0;0;12;10;0;0;0;2;0;2;2;6;4;0;2;2;4;2;0;4;0;0;6;0;0;2;0;4;4;2;4;0;0;2;0;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;4;2;4;6;12;2;2;0;2;2;6;2;2;6;2;2;2;0;2;6;0;2;2;4;0;2;6;0;0;6;0;0;2;0;0;0;4;2;2;2;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;2;2;2;2;0;2;0;0;2;0;4;0;4;2;2;0;2;0;4;0;0;4;0;2;0;4;2;2;2;0;0;2;0;2;4;0;4;4;0;2
president;0;0;0;0;0;0;4;6;8;8;2;6;2;0;6;0;2;4;8;2;0;6;6;0;6;2;6;2;2;2;0;2;0;0;2;0;4;2;0;0;0;0;2;2;0;6;4;4;2;0;0;2;2;0;2;2;2;0;2;4;2;4;6;2;2;0;0;0;2;10;0;2;0;2;2;0;0;0;0;6;2;2;2;0;4;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0
government;0;0;0;0;0;0;0;6;4;0;4;12;0;2;0;4;4;0;2;2;0;0;4;2;2;2;0;8;2;0;0;4;0;0;0;2;0;4;4;2;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;4;0;2;4;0;0;0;2;2;4;0;0;6;0;2;4;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;4;2;0;0;4;2;4;4;2;0;0;10;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;4;2;0;2;0;4;6;2;0;0;0;6;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;2;2;2;0;0;0;0;0;4;2;0;0;2;2;0;2
national;0;0;0;0;0;0;0;0;0;6;0;2;2;2;8;0;2;2;2;0;6;4;0;2;2;2;2;2;0;4;2;0;2;0;2;0;0;0;2;2;2;0;2;0;0;0;4;0;0;4;0;0;0;2;2;0;2;0;2;4;0;0;2;2;2;0;6;2;0;0;2;2;0;2;2;4;8;2;0;0;0;2;2;2;0;8;2;0;0;2;0;0;2;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;0;4;0;2;2;2;4;2;2;0;4;0;0;0;0;0;2;0;2;0;6;0;4;0;0;2;2;2;2;2;2;0;2;2;0;2;2;2;0;2;4;0;0;2;0;2;4;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;4;2;0;0;2;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0
