;trump;new;president;great;united;election;states;campaign;people;obama;department;democrats;political;russia;national;donald;history;white;party;man;provide;country;defense;state;news;presidential;republican;american;trying;york;government;senate;drug;india;important;house;clinton;lot;republicans;women;working;year;court;2016;official;federal;health;war;fbi;taliban;talk;americans;ukraine;article;secretary;killing;hope;@oann;ohio;@;#maga;fantastic;nuclear;using;spoke;military;post;club;mental;investigating;radical;friday;biggest;series;romney;smith;washington;world;announced;climate;end;million;china;real;investigation;crimes;hard;help;lives;issues;usa;dr;words;set;security;weapons;congress;forced;arrested;family
trump;0;6;12;8;0;6;0;6;4;2;0;8;2;4;4;10;2;2;4;0;4;0;0;4;2;4;6;0;2;0;0;2;0;2;2;4;2;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;2;0;4;0;0;2;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0
new;0;0;2;4;4;0;4;0;2;6;0;0;2;0;4;2;2;0;0;0;0;0;0;0;2;2;2;2;4;8;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;2;2;0;4;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;2;4;0;2;2;0;0;0;2;2;2;2;0;0;2;0;0;0
president;0;0;0;8;4;4;4;0;4;2;0;2;2;4;0;2;2;8;2;0;2;0;0;4;2;2;2;0;2;0;0;0;0;0;0;8;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;2;2;0;2;0;4;2;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;2;4;2;0;4;2;0;0;0;0;2;2;2;0;2;2;4;2;0;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;0;18;0;2;2;2;0;0;2;0;0;2;0;0;0;2;0;2;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
election;0;0;0;0;0;0;0;2;2;0;0;4;2;2;0;6;2;0;0;0;0;0;0;2;0;6;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;2;0;2;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
campaign;0;0;0;0;0;0;0;0;0;4;0;2;2;2;4;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2
