;trump;president;states;united;government;people;new;country;great;house;court;senator;white;federal;news;economy;man;obama;american;national;administration;donald;democrats;supreme;announced;state;decision;called;iran;election;thank;conference;best;washington;history;parts;friend;complete;able;world;texas;congress;plan;media;3;americans;million;full;democratic;standing;making;republican;story;letter;deal;order;building;historic;victory;presidential;honor;leaving;power;allowed;millions;love;admitted;candidate;dc;100;university;working;interest;party;help;group;join;nation;whether;emails;lions;continue;fire;latest;senate;city;1;work;ruled;passing;created;century;deliver;financial;russia;2016;thing;black;j;actress
trump;0;24;2;2;4;4;0;4;6;6;4;2;6;2;2;0;2;2;2;0;4;12;6;4;2;2;4;4;0;4;0;4;0;4;0;2;0;0;4;0;2;2;2;0;2;0;0;4;0;2;2;2;4;4;0;6;0;2;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;4;2;0;2;6;0
president;0;0;8;8;6;6;2;8;6;6;4;4;8;2;4;0;4;0;6;0;4;4;4;4;4;2;2;2;0;0;0;4;2;0;2;2;0;2;4;0;4;0;2;2;0;0;0;4;0;4;2;4;2;4;0;6;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;2;0;0;0;4;0;2;0
states;0;0;0;24;2;2;6;0;0;0;2;2;2;2;2;0;2;2;2;0;2;2;4;2;4;0;2;0;0;2;0;0;0;0;2;2;0;2;0;2;4;2;2;2;0;0;0;2;0;2;0;4;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;4;2;4;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0
united;0;0;0;0;2;2;6;0;0;0;0;2;2;2;2;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0
government;0;0;0;0;0;0;0;4;0;2;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;4;2;2;2;2;2;2;0;2;0;0;0;4;2;0;0;0;2;4;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;4;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0
country;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;4;0;2;4;0;2;2;2;0;2;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;2;0;8;0;2;0;2;0;0;0;2;0;0;2;2;2;0;2;2;0;2;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;10;0;0;4;0;0;0;0;0;2;0;0;0;0;0;6;0;6;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
