Tweets,Month,Quarter,sampling,TweetsTokenized
"Friday, December 1, 2016 @ 8:00:00 AM

Thank you @RonaldReich for your strong leadership on Cybersecurity and we must continue to strengthen it. We have the most sophisticated Cyber Army in",January,Q1,1,"['friday', 'december', '1', '2016', '@', '80000', 'amthank', '@ronaldreich', 'strong', 'leadership', 'cybersecurity', 'continue', 'strengthen', 'sophisticated', 'cyber', 'army']"
"It was the biggest win for Democrats in California's General Election in a generation. We got the most progressive economy the biggest election the most Green Party candidates for Congress and the U.S. Senate.
Our Great Nation is",January,Q1,1,"['biggest', 'win', 'democrats', 'californias', 'general', 'election', 'generation', 'progressive', 'economy', 'biggest', 'election', 'green', 'party', 'candidates', 'congress', 'senateour', 'great', 'nation']"
The Republican Party is a party that is at war with the people of Indiana. Our campaign is already up in 23 states and counting and we are on track to win all of them in November. We are doing what we were,January,Q1,1,"['republican', 'party', 'party', 'war', 'people', 'indiana', 'campaign', '23', 'states', 'counting', 'track', 'win', 'november']"
"The cases of illegal immigrants who have been killed by the U.S. Border Patrol have risen to a record high.
...
....The Democrats and their media allies in both the Democrat Party and the Republican Party are in",January,Q1,1,"['cases', 'illegal', 'immigrants', 'killed', 'border', 'patrol', 'risen', 'record', 'highthe', 'democrats', 'media', 'allies', 'democrat', 'party', 'republican', 'party']"
"The IRS has warned that some political action committees might be breaking the law.
The letter was sent by Inspector General John Rothstein to the Treasury Department.
The letter was sent by Inspector General John Rothstein to the Treasury",January,Q1,1,"['irs', 'warned', 'political', 'action', 'committees', 'might', 'breaking', 'lawthe', 'letter', 'sent', 'inspector', 'general', 'john', 'rothstein', 'treasury', 'departmentthe', 'letter', 'sent', 'inspector', 'general', 'john', 'rothstein', 'treasury']"
"Tweet from @Biden_Campaign: ""President Trump is doing just fine on his own. He is handling this very well. He has my complete and total Endorsement."" Thank you @FrankLuntz!
",January,Q1,1,"['tweet', '@biden_campaign', 'president', 'trump', 'fine', 'handling', 'complete', 'endorsement', 'thank', '@frankluntz']"
"May 20, 2017 8:00:00 AM
(AP) NAPLES, New Zealand — A Chinese submarine shot down a U.S. Navy surveillance aircraft Saturday in international waters off the U.S. Pacific",January,Q1,1,"['may', '20', '2017', '80000', 'amap', 'naples', 'new', 'zealand', 'chinese', 'submarine', 'shot', 'navy', 'surveillance', 'aircraft', 'saturday', 'international', 'waters', 'pacific']"
"Trump's long history of lying

A version of this post appeared on Michael Gerson's blog at www.geachgerson.com

The president of the United States is lying to the American people. He",January,Q1,1,"['trumps', 'history', 'lyinga', 'version', 'post', 'appeared', 'michael', 'gersons', 'blog', 'wwwgeachgersoncomthe', 'president', 'united', 'states', 'lying', 'american', 'people']"
"This article is about the NPC. For the Legion character, head here. For other uses, see Legion (disambiguation)
Did you hear that? @TeamTrump is now the largest political party in Iowa!",January,Q1,1,"['article', 'npc', 'legion', 'character', 'head', 'uses', 'legion', 'disambiguationdid', 'hear', '@teamtrump', 'largest', 'political', 'party', 'iowa']"
"The FBI is investigating reports that President Trump asked former FBI Director James Comey to end an investigation into former National Security Adviser Mike Flynn.
ABU DHABI // The White House
I am so happy that @NFL and",January,Q1,1,"['fbi', 'investigating', 'reports', 'president', 'trump', 'asked', 'former', 'fbi', 'director', 'james', 'comey', 'end', 'investigation', 'former', 'national', 'security', 'adviser', 'mike', 'flynnabu', 'dhabi', 'white', 'housei', 'happy', '@nfl']"
