;great;president;united;states;trump;people;new;american;house;national;federal;obama;government;help;working;state;election;party;americans;democrats;white;thank;year;world;news;administration;man;police;department;act;america;york;city;good;court;donald;republican;bill;history;love;best;left;country;fbi;campaign;called;senate;week;media;end;committee;former;washington;huge;job;security;2016;radical;russia;times;russian;military;amazing;million;post;texas;team;free;killed;another;justice;thing;supreme;hillary;big;tuesday;clinton;bad;hard;story;money;support;senator;congress;case;death;report;says;number;part;may;following;reserve;signed;book;terrorist;fake;attack;power;political
great;0;26;16;16;12;14;24;12;8;6;6;2;8;12;14;12;6;6;4;4;4;18;2;4;6;4;6;6;4;2;12;2;2;12;0;4;12;6;4;12;4;2;4;2;2;2;4;2;6;6;2;0;4;6;16;4;2;0;2;2;2;8;6;2;6;2;2;2;0;0;2;8;0;0;6;2;0;6;8;4;2;6;6;2;0;0;0;2;0;4;2;6;2;0;2;4;6;0;2;2
president;0;0;30;30;58;14;12;10;18;14;4;16;4;10;6;10;4;10;6;2;18;0;0;8;12;8;6;0;8;2;10;6;4;10;2;14;2;2;10;2;0;2;14;4;4;8;6;2;4;4;4;12;8;4;10;14;6;0;10;4;6;6;0;2;2;4;2;2;0;4;2;8;2;6;0;6;6;14;4;8;4;0;0;2;8;2;6;8;4;2;4;0;0;8;0;4;6;2;4;8
united;0;0;0;134;14;16;6;6;8;8;2;4;12;8;6;10;2;2;4;0;6;14;2;16;2;12;2;6;4;10;26;0;2;4;8;6;0;2;8;2;0;0;10;4;0;4;0;0;0;4;0;0;4;4;2;8;6;6;2;0;2;4;2;2;2;0;0;4;2;0;6;2;6;0;4;2;0;4;2;4;2;4;2;2;8;6;0;2;6;2;4;4;2;2;0;6;2;4;2;2
states;0;0;0;0;14;18;6;8;8;8;4;4;12;8;6;10;2;2;4;0;6;14;2;16;4;12;2;6;4;10;26;0;2;4;10;6;0;2;4;2;0;0;10;4;0;4;0;0;0;4;0;0;4;2;2;8;6;6;2;0;2;4;2;2;2;0;0;4;2;0;6;2;8;0;4;2;0;2;2;4;2;4;2;2;8;6;0;2;6;2;2;4;2;2;0;6;4;4;2;2
trump;0;0;0;0;0;12;22;8;16;4;0;10;8;4;8;0;12;8;0;4;8;0;0;4;12;6;6;0;12;2;2;10;2;6;4;40;8;4;2;2;2;2;6;12;20;8;2;4;8;6;8;14;8;6;4;8;4;0;10;8;12;6;0;0;2;4;2;4;0;6;8;2;2;8;2;6;8;4;4;2;6;4;4;2;6;0;6;6;0;6;2;0;2;8;2;0;8;4;4;6
people;0;0;0;0;0;0;10;30;6;4;2;2;0;10;4;4;8;6;4;4;8;8;6;6;8;2;2;2;2;0;8;2;4;12;4;2;2;2;8;14;4;4;4;0;2;4;0;0;2;6;0;2;2;4;4;0;4;0;2;4;2;0;4;2;2;0;6;2;8;4;2;6;2;2;2;2;2;2;0;0;8;0;6;2;2;4;2;2;6;2;0;2;2;0;6;6;6;4;8;2
new;0;0;0;0;0;0;0;8;0;12;4;8;8;4;10;8;16;8;4;0;0;0;6;0;8;8;2;2;4;2;2;42;12;4;2;10;10;10;2;10;2;6;0;0;8;2;0;4;2;0;4;8;8;0;4;4;4;6;0;20;4;4;4;2;2;4;4;4;0;6;0;0;0;6;2;2;2;6;6;0;0;0;4;0;2;0;8;4;2;4;4;2;0;4;16;0;4;0;2;0
american;0;0;0;0;0;0;0;0;2;2;6;4;8;8;2;0;4;2;4;4;2;4;2;2;4;6;2;0;2;4;6;2;0;2;10;0;2;4;16;0;2;4;4;0;0;6;0;2;0;2;0;0;0;4;4;2;2;2;0;2;0;4;0;0;0;4;2;8;2;2;0;4;6;0;0;0;0;0;0;2;2;0;2;2;6;2;0;0;2;2;2;4;0;2;2;4;4;2;2;2
house;0;0;0;0;0;0;0;0;0;10;0;14;2;4;2;4;8;2;0;12;44;4;2;0;8;8;0;0;0;2;6;0;0;0;0;2;2;8;2;0;2;6;0;0;2;0;4;2;2;2;10;2;0;2;0;0;4;6;0;0;4;4;0;2;2;2;0;0;0;6;0;4;0;4;4;4;4;0;4;4;0;0;0;2;0;0;4;6;0;2;0;0;0;0;0;0;2;2;0;2
national;0;0;0;0;0;0;0;0;0;0;2;16;8;8;6;2;10;4;8;2;6;4;0;0;2;8;2;0;2;2;0;4;0;0;4;0;12;6;0;0;0;4;2;4;4;0;2;2;0;2;18;4;0;0;2;20;6;2;4;2;4;4;0;2;4;0;0;0;0;2;4;2;2;4;0;0;2;0;2;2;0;2;2;2;2;0;4;2;2;0;2;4;0;0;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;0;0;0;0;0;30;12;4;4;0;0;4;2;0;0;6;6;2;0;0;2;8;6;2;0;2;0;12;0;0;0;2;0;0;0;6;0;0;0;0;6;0;0;0;4;4;2;0;0;0;0;0;0;0;0;2;6;0;4;0;2;2;0;4;4;6;0;2;4;0;0;2;2;4;0;0;4;2;0;2;0;2;2;2;0;22;0;0;2;0;0;6;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;6;0;2;8;8;0;2;2;0;36;0;0;2;4;0;2;2;0;0;2;0;0;2;0;0;2;2;0;6;6;0;2;0;2;6;6;2;0;4;10;4;6;2;0;2;0;0;4;2;0;2;2;0;2;0;2;0;6;0;0;6;0;0;6;2;2;0;4;2;0;6;6;0;2;2;2;0;0;0;2;0;0;4;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;4;6;0;2;0;2;2;4;4;2;4;0;0;4;6;2;0;0;0;6;2;0;2;4;0;0;2;4;2;4;0;0;4;0;0;0;2;0;0;4;4;2;0;2;0;6;0;0;4;0;2;2;2;0;2;0;2;6;4;2;2;6;0;2;2;0;4;0;2;2;0;4;6;2;2;2;0;0;0;0;2;0;0;6;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;10;0;2;2;6;0;2;2;0;2;4;2;2;0;2;2;0;2;0;2;0;4;0;2;4;2;0;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;4;2;0;12;4;4;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0
