;united;president;trump;states;people;government;number;police;russia;new;news;national;hillary;obama;country;men;second;delhi;fake;man;american;black;millions;job;washington;year;great;history;good;killed;administration;republicans;work;fact;providing;support;democratic;women;court;party;greatest;book;2016;campaign;media;dnc;important;totally;best;source;former;americans;white;hearing;world;launched;hoax;rally;article;action;afghanistan;school;involved;nothing;berkeley;thank;rich;week;investment;corrupt;500;satellites;prime;messages;peak;prosecution;poll;saying;bad;furious;committee;6;put;university;happy;japan;election;china;texas;hope;percentage;lot;department;minister;presidentthe;information;crime;misleading;york;caught
united;0;4;0;18;6;4;2;0;2;0;0;0;2;0;4;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0
president;0;0;10;4;0;0;2;2;0;4;0;2;2;4;4;0;0;0;2;0;0;2;0;0;6;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;2;2;2;0;2;0
trump;0;0;0;0;2;0;0;2;2;4;0;2;0;0;0;2;0;0;2;2;0;0;2;2;6;2;0;0;2;0;2;0;2;0;2;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;2;2;0;2;0
states;0;0;0;0;4;4;2;0;2;0;0;0;2;0;4;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0
people;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
number;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;2;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0
