;health;city;toronto;public;covid19;new;community;work;care;housing;distancing;people;safe;continue;staff;working;physical;home;support;stay;together;important;response;food;services;residents;pandemic;take;torontos;social;@topublichealth;spread;medical;protect;provincial;vulnerable;part;workers;help;ontario;access;officer;citys;province;emergency;service;recovery;system;information;provide;data;affordable;live;safely;torontonians;essential;measures;critical;everyone;music;park;local;follow;ensure;shelter;homelessness;call;crisis;learn;government;still;week;cities;streets;place;plan;contact;move;update;free;across;risk;program;childcare;spaces;next;step;supports;good;virus;find;tips;mental;prevent;child;use;staying;units;parks;shelters
health;0;180;252;442;250;90;60;88;72;38;76;46;76;80;72;70;66;48;70;46;36;64;84;34;74;62;58;34;76;64;58;64;130;52;54;36;34;30;28;52;58;128;44;48;44;22;44;60;48;28;64;12;6;28;66;30;74;40;34;0;10;36;36;24;26;16;32;38;10;24;24;14;4;10;28;22;44;20;48;16;8;46;14;8;8;16;14;36;26;26;16;24;66;42;6;26;32;28;12;12
city;0;0;256;148;192;96;94;110;66;66;50;60;88;92;138;94;40;40;80;30;44;42;76;48;78;68;64;42;52;28;20;34;38;40;48;46;34;40;40;36;54;36;28;38;30;54;26;20;28;58;14;28;50;22;50;40;44;40;32;36;42;38;14;42;42;28;18;26;10;28;18;38;12;20;22;22;16;20;24;30;64;14;38;16;24;38;24;16;16;8;24;6;14;16;20;8;6;30;28;32
toronto;0;0;0;266;186;100;72;72;54;36;40;36;62;44;80;78;36;38;64;28;32;38;74;16;50;52;22;38;40;34;20;36;42;26;58;24;34;30;24;42;12;40;24;36;36;54;20;34;36;44;36;14;32;8;48;32;40;24;12;30;26;26;20;30;24;14;26;18;16;22;10;18;18;10;28;22;32;14;40;22;24;28;22;16;26;10;14;6;12;6;12;6;6;26;22;18;8;10;20;22
public;0;0;0;0;164;76;40;72;22;18;56;42;72;58;64;72;44;32;24;32;34;48;54;18;42;42;40;24;36;34;28;50;36;24;48;10;34;2;16;44;30;40;22;32;22;20;32;50;52;18;54;12;8;22;42;6;56;26;10;0;20;30;22;14;12;6;16;20;16;22;14;26;6;14;28;14;40;18;24;4;14;40;14;10;24;14;16;2;12;24;12;8;2;32;0;24;10;26;18;10
covid19;0;0;0;0;0;94;48;78;36;50;72;64;52;48;44;50;50;44;48;44;40;30;118;12;34;32;78;26;58;54;54;104;76;38;36;44;48;14;30;36;42;66;44;28;20;28;56;30;20;36;54;22;28;22;32;24;28;42;30;12;14;22;24;14;32;26;4;10;26;30;14;12;26;4;18;18;46;12;42;6;22;32;12;8;16;12;10;20;12;22;8;18;4;40;10;12;12;16;14;20
new;0;0;0;0;0;0;28;38;18;50;26;26;12;14;36;18;26;26;20;10;4;22;20;12;12;12;22;6;32;6;10;18;20;12;26;8;8;8;20;18;14;18;22;8;4;8;16;24;12;14;14;20;8;20;4;6;14;12;6;2;16;16;8;6;24;24;6;8;6;12;10;6;28;12;10;14;14;4;12;10;6;4;14;8;20;8;4;0;10;4;6;6;2;10;10;14;2;18;16;4
community;0;0;0;0;0;0;0;32;24;32;8;10;36;20;20;42;4;10;34;8;24;24;38;24;40;30;14;10;14;36;10;8;8;14;4;40;18;14;18;6;26;6;24;14;4;22;6;14;28;28;4;14;8;6;8;12;4;8;16;12;10;30;6;28;16;8;26;8;18;14;4;14;2;4;2;6;2;2;10;4;14;10;16;4;12;8;4;28;4;2;6;2;8;4;2;6;4;8;4;14
work;0;0;0;0;0;0;0;0;32;20;6;22;32;56;52;36;4;26;18;24;30;20;44;20;16;16;20;12;16;8;10;24;16;18;8;24;20;4;16;12;20;12;24;14;14;10;18;20;14;16;14;16;12;6;16;14;10;12;16;8;14;20;6;24;12;10;4;2;4;14;20;8;2;4;0;12;22;20;14;10;10;8;6;2;8;6;2;8;4;14;4;2;2;10;12;6;6;12;8;6
care;0;0;0;0;0;0;0;0;0;8;12;10;40;40;20;22;8;32;30;24;20;16;14;8;20;22;16;58;4;10;8;6;6;14;12;32;10;54;8;12;20;2;10;14;20;22;20;14;4;18;4;8;0;12;4;36;2;8;10;0;2;4;2;10;12;10;8;10;2;10;10;12;4;4;4;8;0;4;2;24;14;2;6;10;6;2;4;8;0;4;8;6;14;8;62;4;10;0;2;20
housing;0;0;0;0;0;0;0;0;0;0;10;24;14;18;16;12;4;12;14;6;2;8;14;4;6;12;14;8;22;24;2;2;2;10;4;16;12;6;6;4;16;2;18;6;10;0;10;12;2;16;4;68;2;0;8;0;4;6;4;0;4;2;4;8;32;54;4;26;0;14;0;2;4;6;0;4;0;12;8;2;4;10;12;4;8;8;12;6;4;2;0;0;4;2;0;8;0;38;0;16
