;united;states;great;people;trump;president;new;national;man;party;best;state;american;house;federal;news;republican;government;2015;russia;department;white;donald;obama;health;working;world;big;york;amazing;job;fake;supreme;court;left;committee;democrats;country;money;love;former;americans;campaign;2016;full;act;greatest;good;women;washington;media;election;investigation;fbi;democrat;senate;administration;place;china;post;justice;seen;bernie;law;north;military;investigating;story;thank;source;group;bill;joke;told;texas;support;radical;senator;protect;power;possible;life;city;democratic;america;incredible;year;republicans;night;times;security;months;sanders;help;deal;play;least;gov;something;nothing
united;0;74;12;8;10;16;2;4;4;4;6;4;6;2;2;2;0;0;0;6;2;4;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;0;0;2;4;4;6;0;4;2;4;0;0;2;2;0;4;2;4;2;2;4;2;2;2;6;6;4;0;0;4;0;2;4;0;4;0;6;0;2;4;2;2;0;0;2;8;4;2;2;2;2;0;0;2;0;2;0;0;0;2;0
states;0;0;12;8;10;12;2;2;4;4;6;4;6;2;2;2;0;0;0;6;2;4;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;4;0;4;2;4;0;0;0;2;0;4;2;4;2;2;4;2;2;0;6;6;4;0;0;4;0;2;4;0;4;0;4;0;2;4;2;2;0;0;0;8;4;2;2;2;2;0;0;0;0;2;0;0;0;2;0
great;0;0;0;12;10;2;8;10;8;6;6;4;8;0;0;6;8;0;0;2;2;2;6;0;2;6;4;8;2;4;6;6;0;0;2;0;4;8;0;8;0;4;0;0;0;0;10;4;2;4;2;2;0;0;2;2;0;0;6;0;0;2;0;0;2;0;2;2;8;0;2;0;0;0;0;2;2;6;2;0;2;0;2;0;4;2;2;0;2;0;4;2;0;2;4;0;0;2;0;2
people;0;0;0;0;4;6;8;6;6;8;2;8;12;2;4;6;2;2;0;0;0;2;0;0;2;0;0;4;4;0;2;8;4;4;2;2;0;4;4;0;2;0;0;0;0;4;2;2;0;0;2;0;0;2;4;0;0;0;4;0;2;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;4;0;0;2;2;0;0;0;0;4;0;2;4;2;6;6;0;2
trump;0;0;0;0;0;30;10;4;4;12;2;2;4;8;6;6;10;2;0;8;10;6;24;2;0;2;0;4;4;0;2;4;0;0;6;4;2;2;4;4;0;0;12;8;0;2;6;0;0;0;2;6;4;4;4;8;2;2;0;0;8;2;2;2;4;2;12;0;0;0;0;0;0;0;0;2;4;2;2;0;8;2;0;4;2;2;0;2;4;4;2;2;2;0;0;0;0;2;0;0
president;0;0;0;0;0;0;16;2;4;2;2;2;4;6;6;4;4;0;0;8;2;6;12;4;2;4;0;0;6;0;2;2;0;0;6;2;2;4;0;2;2;0;4;6;6;4;2;2;2;0;0;4;4;4;2;2;0;4;0;2;2;2;2;2;4;6;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;4;0;0;2;2;4;0;2;2;0;2;0;0;0;2;0
new;0;0;0;0;0;0;0;2;4;4;0;2;4;2;2;4;6;0;0;0;0;0;4;4;0;2;0;2;24;0;2;2;2;2;0;0;2;0;0;2;2;0;0;0;2;4;4;0;0;2;0;0;0;2;0;2;0;2;0;4;0;0;0;0;4;2;0;4;2;0;0;4;4;0;0;0;0;0;0;0;0;0;6;2;2;0;2;4;2;10;0;0;0;0;0;2;0;2;0;2
national;0;0;0;0;0;0;0;0;4;0;2;4;4;2;4;4;4;2;0;6;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;14;2;2;0;0;2;6;4;4;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;2;2;2;0;0;0;2;0;0;2;0;2;12;2;0;6;0;0;0;12;2;4;2;2;2;2;0;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;6;6;4;2;4;0;0;0;2;4;0;2;2;0;0;0;2;2;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;2;0;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;12;0;0;0;0;0;2;0;0;2;0;2;0;0;4;2;4;4;4;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;12;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;2;2;0;0;0;0;2;0;2;0;2;2;2;0;0;2;0;0;2;0;0;0;2
best;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;6;0;2;4;2;0;2;0;2;0;6;2;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;4;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;2;2;0;4;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;2;4;4;2;2;2;0;2;0;2;0;4;8;0;0;2;4;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;8;4;16;2;4;2;6;0;4;2;0;0;0;0;0;2;4;2;4;0;0;4;0;4;0;0;4;0;0;0;2;0;2;2;0;2;4;2;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;4;0;2;2;0;0;2;2;0;2;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;2;4;0;2;2;0;0;0;2;2;0;0;2;0;2;2;2;6;0;2;2;2;2;0;4;2;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0
