;great;trump;new;states;people;united;federal;help;american;man;president;york;donald;country;friend;presidential;hillary;announce;proud;house;government;job;candidate;times;clinton;interest;senate;news;campaign;big;strong;senator;announced;press;reserve;sanders;tired;fire;category;fight;china;friends;rate;morning;incredible;court;white;world;denied;funds;best;national;2017;labor;working;americans;key;fbi;washington;excited;games;immediately;committee;enforcement;health;real;order;absolutely;growth;supporter;cutting;warner;taiwan;officials;act;department;seeing;fighter;administration;end;calls;call;david;obama;footage;fentanyl;election;money;north;highly;jobs;admitted;anime;thursday;young;record;humanitarian;bernie;article;may
great;0;12;4;4;2;4;2;0;8;2;4;4;6;4;4;0;2;0;4;4;0;4;2;2;2;0;6;4;0;6;2;2;2;2;2;0;0;2;0;2;6;0;0;0;4;0;2;0;0;2;2;2;2;2;2;0;0;2;2;0;0;0;2;4;0;4;2;0;0;0;0;2;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;4;2;4;2;2;4;4;2;10;4;12;4;6;0;4;0;0;6;0;4;2;2;2;0;0;4;4;4;0;0;2;2;0;0;0;0;0;2;2;2;0;2;0;0;6;0;2;0;0;2;2;2;2;2;0;2;2;0;0;0;0;0;0;4;2;2;0;2;0;0;2;2;0;4;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;4;0;0;0;10;2;0;0;2;0;2;4;0;0;0;2;6;0;0;0;2;4;0;0;2;0;2;0;2;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0
states;0;0;0;0;4;20;4;0;0;0;2;2;2;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;4;0;6;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;4;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0
people;0;0;0;0;0;4;0;2;2;0;2;0;2;4;2;0;0;0;4;4;0;0;2;0;0;0;2;0;0;2;4;2;2;0;0;0;4;0;0;0;0;2;0;2;4;2;4;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;2;2;2;0;0;0
united;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;2;2;0;0;0;4;0;2;0;2;0;0;0;2;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;4;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;0
federal;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;0;4;2;2;0;0;0;0;4;0;6;0;0;2;0;0;0;0;2;2;0;0;0;0;0;6;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2;0;2;4;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
american;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;4;0;2;0;2;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0
