Tweets,Month,Quarter,sampling,TweetsTokenized
"Missing person found safe Copyright by WCMH - All rights reserved Video

16 year old Joshua Zeiling [ + - ] with the Cleveland Browns was last seen Sunday evening [Dec. 17] at the Time Warner Center",January,Q1,15,"['missing', 'person', 'found', 'safe', 'copyright', 'wcmh', 'rights', 'reserved', 'video16', 'year', 'old', 'joshua', 'zeiling', 'cleveland', 'browns', 'seen', 'sunday', 'evening', 'dec', '17', 'warner', 'center']"
"What you need to know about the Drug Enforcement Agency

(CNSNews.com) - The Drug Enforcement Agency (DEA) has ""no idea"" if the tainted meat from the tainted chicken patties sold",January,Q1,15,"['drug', 'enforcement', 'agencycnsnewscom', 'drug', 'enforcement', 'agency', 'dea', 'idea', 'tainted', 'meat', 'tainted', 'chicken', 'patties', 'sold']"
"The Associated Press


WASHINGTON -- Republican presidential candidate Donald Trump said during a rally Saturday that he will not be releasing his medical records as he ""won't let his doctors decide for him.""
AP


A new Mon",January,Q1,15,"['associated', 'presswashington', 'republican', 'presidential', 'candidate', 'donald', 'trump', 'rally', 'saturday', 'releasing', 'medical', 'records', 'wont', 'doctors', 'decide', 'himapa', 'new', 'mon']"
"Congressman Steve Stivers beleives that the infamous Sanctuary Cities Bill is dead!
If Congress doesn’t help our small businesses then I will. I will end the war on coal and bring back our jobs.",January,Q1,15,"['congressman', 'steve', 'stivers', 'beleives', 'infamous', 'sanctuary', 'cities', 'bill', 'deadif', 'congress', 'help', 'businesses', 'end', 'war', 'coal', 'bring', 'jobs']"
"In March of 2004, the New York Times published an article by Jim Lehrer entitled ""Hackers Who Hit My Daughter's School Were Afraid to Talk About Their Crimes"". In the article Jim described the attack as ""a",January,Q1,15,"['march', '2004', 'new', 'york', 'times', 'published', 'article', 'jim', 'lehrer', 'entitled', 'hackers', 'hit', 'daughters', 'school', 'afraid', 'talk', 'crimes', 'article', 'jim', 'described', 'attack']"
"The Democrats are discussing the possibility of trying to impeach President Trump. They are doing it even though they know full well what they are doing. A Swamp Creature - A Coz Monster!
I will be having a News",January,Q1,15,"['democrats', 'discussing', 'possibility', 'trying', 'impeach', 'president', 'trump', 'though', 'full', 'swamp', 'creature', 'coz', 'monsteri', 'news']"
"Post #168

From:robbymook2015@gmail.com

To: CTRFriendsFamily

Sent: Thu Jul 05 21:20:27 2010 Subject: Post #168

I hope",January,Q1,15,"['post', '#168fromrobbymook2015@gmailcomto', 'ctrfriendsfamilysent', 'thu', 'jul', '05', '212027', '2010', 'subject', 'post', '#168i', 'hope']"
"This is not about the President.
This is about the very survival of our Country and our way of life!
This is not a debate. This is a WITCH HUNT!
This is a HORRIBLE",January,Q1,15,"['presidentthis', 'survival', 'country', 'lifethis', 'debate', 'witch', 'huntthis', 'horrible']"
"Foster said she has given up hope of seeing her son again.
Moments before the Orlando shooting Pulse Nightclub was bombed by the FBI Agents who raided the club with assault rifles without warning. The club was packed with",January,Q1,15,"['foster', 'given', 'hope', 'seeing', 'son', 'againmoments', 'orlando', 'shooting', 'pulse', 'nightclub', 'bombed', 'fbi', 'agents', 'raided', 'club', 'assault', 'rifles', 'without', 'warning', 'club', 'packed']"
"The makers of ""The Handmaid's Tale"" have been forced to apologize after censoring a segment in which they discussed what life might be like for women who serve in the United States Military.
The Handmaid's Tale",January,Q1,15,"['makers', 'handmaids', 'tale', 'forced', 'apologize', 'censoring', 'segment', 'discussed', 'life', 'might', 'women', 'serve', 'united', 'states', 'militarythe', 'handmaids', 'tale']"
"It was in the final stages of the 2015 election season that a certain Presidential candidate skipped a traditional campaign rally in order to speak at a rally attended by over 2,000 supporters. The event was held at the home of a",January,Q1,15,"['final', 'stages', '2015', 'election', 'season', 'certain', 'presidential', 'candidate', 'skipped', 'traditional', 'campaign', 'rally', 'order', 'speak', 'rally', 'attended', '2000', 'supporters', 'event', 'held', 'home']"
"PITTSBURGH, PA - JANUARY 15: Head Coach Mike Tomlin #40 of the Pittsburgh Steelers passes by defensive end Cameron Heyward #84 of the New England Patriots during the second half of an",January,Q1,15,"['pittsburgh', 'pa', 'january', '15', 'head', 'coach', 'mike', 'tomlin', '#40', 'pittsburgh', 'steelers', 'passes', 'defensive', 'end', 'cameron', 'heyward', '#84', 'new', 'england', 'patriots', 'second', 'half']"
"Sheriff: Man Charged In Killing Of His Father Has Mental Illness Source: Breitbart News
“This guy has mental illness.” They made up this man. It would be a lot easier to do this",January,Q1,15,"['sheriff', 'man', 'charged', 'killing', 'father', 'mental', 'illness', 'source', 'breitbart', 'newsthis', 'guy', 'mental', 'illness', 'man', 'lot', 'easier']"
"He's a Democrat!
Democrats are now the party of high taxes high fees and no competition. The Republican Party says we are going to be the Party of Small Government Small Business and a Huge Roster of Great American Success",January,Q1,15,"['hes', 'democratdemocrats', 'party', 'high', 'taxes', 'high', 'fees', 'competition', 'republican', 'party', 'says', 'party', 'government', 'business', 'huge', 'roster', 'great', 'american', 'success']"
"The Environmental Protection Agency (EPA) is forcing companies to reevaluate their plans for the Great American Grass-Fed Beef Belt. It is a tremendous economic stimulus and will create over 16,000ITE construction jobs in the construction industry",January,Q1,15,"['environmental', 'protection', 'agency', 'epa', 'forcing', 'companies', 'reevaluate', 'plans', 'great', 'american', 'grassfed', 'beef', 'belt', 'tremendous', 'economic', 'stimulus', 'create', '16000ite', 'construction', 'jobs', 'construction', 'industry']"
"We've been there, we've done that. We've seen great success with our Visa program. We will continue to make Visa Program so successful that no other country will be able to match us!
Thank you Michelle!",January,Q1,15,"['seen', 'great', 'success', 'visa', 'program', 'continue', 'visa', 'program', 'successful', 'country', 'able', 'match', 'usthank', 'michelle']"
"It's hard to believe it's been almost five years since the election of Barack Obama.
With the election of Donald J. Trump the journey back to greatness is well under way.
It is our great honor to be",January,Q1,15,"['hard', 'believe', 'almost', 'five', 'election', 'barack', 'obamawith', 'election', 'donald', 'j', 'trump', 'journey', 'greatness', 'wayit', 'great', 'honor']"
"For other uses of the word ""fantastic,"" see Fantastic

The #MAGA Coalition is growing! Join with us on the steps of the White House tomorrow at 8:00 AM to join us in welcoming President",January,Q1,15,"['uses', 'word', 'fantastic', 'fantasticthe', '#maga', 'coalition', 'growing', 'join', 'steps', 'white', 'house', 'tomorrow', '800', 'join', 'welcoming', 'president']"
"President Trump and former Secretary of State Hillary Clinton deliver remarks on the economy at the White House in Washington, Thursday, Oct. 18, 2017. (AP Photo/J. Scott Applewhite)
The Republican Party has admitted",January,Q1,15,"['president', 'trump', 'former', 'secretary', 'state', 'hillary', 'clinton', 'deliver', 'remarks', 'economy', 'white', 'house', 'washington', 'thursday', 'oct', '18', '2017', 'ap', 'photoj', 'scott', 'applewhitethe', 'republican', 'party', 'admitted']"
"The Real Deal

From the makers of the hit reality series The Real Housewives of New York City you can rest easy. Bravo has decided not to carry our highly successful product. We will not be staging fake spin classes",January,Q1,15,"['real', 'dealfrom', 'makers', 'hit', 'reality', 'series', 'real', 'housewives', 'new', 'york', 'city', 'rest', 'easy', 'bravo', 'decided', 'carry', 'highly', 'successful', 'product', 'staging', 'fake', 'spin', 'classes']"
"The Political Assassination Game of Cover-Up is up in the air. The Democrats, the Media, and the Radical Left are all simultaneously guilty of being the biggest and most vicious political assassination operations in American history. It started",January,Q1,15,"['political', 'assassination', 'game', 'coverup', 'air', 'democrats', 'media', 'radical', 'left', 'simultaneously', 'guilty', 'biggest', 'vicious', 'political', 'assassination', 'operations', 'american', 'history', 'started']"
"I went and bought this hat for my son who is very patriotic. He loves his Navy and he loves our Military. He will be wearing this hat all day &amp; every day. Thank you!
After years of",January,Q1,15,"['went', 'bought', 'hat', 'son', 'patriotic', 'loves', 'navy', 'loves', 'military', 'wearing', 'hat', 'thank', 'youafter']"
"The World Health Organisation (WHO) on Friday strongly condemned the killing of at least 500 people in the Democratic Republic of Congo and called for a swift end to the violence.
""Today's horrific events in the Democratic Republic of",January,Q1,15,"['world', 'health', 'organisation', 'friday', 'strongly', 'condemned', 'killing', 'least', '500', 'people', 'democratic', 'republic', 'congo', 'called', 'swift', 'end', 'violencetodays', 'horrific', 'events', 'democratic', 'republic']"
"Jay Leno: Trump 'Choked' on Mental Health `It's Not a Question of if, it's WHEN'
Hannity: Kavanaugh Hearings Are 'Very Important' for Democrats as They Look Ahead to",January,Q1,15,"['jay', 'leno', 'trump', 'choked', 'mental', 'health', 'question', 'whenhannity', 'kavanaugh', 'hearings', 'important', 'democrats', 'ahead']"
The Fourth Estate is really disappointed that the National Security Advisor would make such a poor comment about the slowest response time in the history of the U.S. military. He was then forced to apologize. Still no apology!,January,Q1,15,"['fourth', 'estate', 'disappointed', 'national', 'security', 'advisor', 'poor', 'comment', 'slowest', 'response', 'history', 'military', 'forced', 'apologize', 'still', 'apology']"
"The White House on Wednesday formally accused Venezuela of ""mass murder"" of its political prisoners in a move that could embolden President Nicolas Maduro to proceed with his drug-running operation in defiance of the U.S. and other",January,Q1,15,"['white', 'house', 'wednesday', 'formally', 'accused', 'venezuela', 'mass', 'murder', 'political', 'prisoners', 'move', 'could', 'embolden', 'president', 'nicolas', 'maduro', 'proceed', 'drugrunning', 'operation', 'defiance']"
"The building is subject to controlled explosions. We expect the building to be totally destroyed.
I have been telling the President for some time that the United States must be prepared to use its overwhelming power to influence the course of events",January,Q1,15,"['building', 'subject', 'controlled', 'explosions', 'expect', 'building', 'totally', 'destroyedi', 'telling', 'president', 'united', 'states', 'prepared', 'use', 'overwhelming', 'power', 'influence', 'course', 'events']"
The U.S. Supreme Court must strike down the military commissions that were used to convict and punish thousands of people in the United States of Japanese-American heritage for the bombings of the Army and the Navy defense of Pearl Harbor,January,Q1,15,"['supreme', 'court', 'strike', 'military', 'commissions', 'used', 'convict', 'punish', 'thousands', 'people', 'united', 'states', 'japaneseamerican', 'heritage', 'bombings', 'army', 'navy', 'defense', 'pearl', 'harbor']"
"The sheriffs of Iowa, New Hampshire, South Carolina, and elsewhere have been saying for months the FBI is very nearly set to drop the Clinton email case. The political class just couldn’t care less!
ST",January,Q1,15,"['sheriffs', 'iowa', 'new', 'hampshire', 'south', 'carolina', 'elsewhere', 'saying', 'months', 'fbi', 'nearly', 'set', 'drop', 'clinton', 'email', 'case', 'political', 'class', 'couldnt', 'care', 'lessst']"
"Photos from an emergency call Center in Austin TX. Thank you to all for all of the support! #KXAN

.@AJCbreaking: @CCTrips @ShopperCo @KAGR",January,Q1,15,"['photos', 'emergency', 'call', 'center', 'austin', 'tx', 'thank', 'support', '#kxan@ajcbreaking', '@cctrips', '@shopperco', '@kagr']"
