;president;great;trump;news;states;united;state;new;people;announce;house;november;job;nothing;world;fake;department;city;pleased;donald;government;trying;2016;islamic;democrats;second;presidential;secret;help;park;minister;campaign;white;senator;american;national;strong;group;face;good;think;leader;russian;americans;nation;still;black;power;act;order;family;health;radical;dr;working;party;federal;looking;found;sent;republicans;santa;hillary;knowledge;fact;story;cybersecurity;women;gov;police;five;safety;year;amazing;processors;carolina;media;money;card;despite;asked;called;basic;big;terrible;march;country;huge;force;comes;2;left;iraq;third;jail;following;fight;vote;gop;administration
president;0;8;16;4;4;6;2;6;6;2;6;0;6;2;6;4;2;0;0;8;2;2;2;2;2;0;2;2;2;0;2;2;4;0;4;2;2;0;2;0;2;2;4;2;0;0;0;4;4;2;0;0;4;2;2;0;0;2;2;2;2;0;0;2;2;4;4;2;6;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2
great;0;0;6;8;8;8;2;2;4;2;2;0;6;2;4;4;2;2;0;2;0;2;0;0;2;0;0;2;0;2;0;0;2;6;2;0;0;0;2;2;2;6;2;2;0;2;0;2;2;0;4;2;0;4;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;4;2;0;2;4;4;4;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
trump;0;0;0;4;4;4;2;4;2;2;4;0;0;4;4;4;2;0;0;8;0;4;4;0;2;0;4;2;0;0;0;4;4;2;4;0;2;0;2;2;0;2;6;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;4;2;2;6;2;0;4;0;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4
news;0;0;0;0;0;0;0;4;0;0;4;0;4;8;0;12;0;0;0;2;0;6;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;2;2;0;0;0;4;0
states;0;0;0;0;0;16;0;2;2;2;2;0;2;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;4;0;0;4;0;2;2;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0
united;0;0;0;0;0;0;2;0;4;2;4;0;2;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;4;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0
state;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;4;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;4;4;0;0;0;2;2;2;2;4;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;4;4;0;0;2;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0;2;2;2;0;2;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0
announce;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0
