;#covid19;state;live;indiana;hoosiers;health;services;order;provide;executive;may;care;@statehealthin;website;public;help;work;spread;continue;emergency;information;updates;found;coronavirus;call;watch;fight;guidance;center;conference;press;facebook;hold;businesses;steps;critical;food;states;medical;local;additional;announced;protect;230;home;click;indianas;april;unemployment;operations;slow;safety;testing;facilities;actions;closed;government;available;orders;employees;dr;child;workers;covid19;schools;taking;stay;eo;federal;@cdcgov;needed;healthcare;required;use;questions;release;restaurants;essential;days;benefits;visit;meals;virtual;hospital;school;professionals;regarding;etwatch;et;delivery;inperson;agencies;@fssaindiana;working;centers;hour;signed;commissioner;safe;efforts
#covid19;0;22;28;14;26;12;4;12;28;12;4;10;14;0;4;6;12;16;4;8;2;22;0;2;8;28;28;4;4;22;22;26;20;8;4;6;4;2;6;0;0;4;12;20;4;6;6;2;8;0;8;2;6;2;6;0;0;4;6;2;8;4;8;0;4;6;2;0;4;0;2;4;0;2;2;0;0;2;2;8;0;0;6;2;2;0;6;16;8;2;0;2;4;4;0;14;8;8;6;4
state;0;0;6;28;12;16;10;10;4;2;6;4;2;0;12;10;16;10;10;14;0;2;0;18;8;6;0;4;10;0;0;6;0;4;4;6;2;2;6;10;6;4;0;0;4;0;4;10;4;12;4;2;0;4;6;6;8;6;0;6;2;2;2;2;4;6;2;6;8;0;6;2;2;2;4;0;2;2;6;2;0;2;0;4;0;0;10;2;4;2;4;8;4;6;2;2;0;2;4;4
live;0;0;0;0;4;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;26;22;0;0;22;22;28;20;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;6;16;10;0;0;0;0;0;0;14;0;0;0;0
indiana;0;0;0;0;6;18;6;6;2;2;4;6;4;2;10;10;6;4;10;12;0;0;0;12;6;2;0;4;6;0;0;0;0;4;10;6;0;6;2;8;2;8;0;0;0;2;0;4;0;6;0;4;6;6;4;2;4;6;0;0;0;2;2;6;4;2;2;2;8;0;2;2;4;2;4;2;2;2;4;4;2;0;0;4;2;2;2;0;0;2;4;6;2;6;4;0;0;0;2;2
hoosiers;0;0;0;0;0;12;8;12;8;6;2;4;12;4;8;8;6;10;6;10;6;0;0;6;10;0;2;2;4;0;0;0;0;10;4;6;12;4;2;2;4;4;12;0;4;2;10;2;4;0;4;14;4;0;4;2;0;4;2;2;4;2;6;6;2;12;4;0;4;0;4;2;0;6;4;4;4;2;0;6;8;2;0;0;0;0;0;0;0;6;0;2;2;0;2;0;4;2;0;6
health;0;0;0;0;0;0;10;6;4;0;6;12;4;0;16;4;6;8;10;16;0;0;0;8;2;0;0;0;2;0;0;0;0;0;8;0;0;2;2;8;2;2;4;0;4;0;4;2;0;4;2;10;4;6;6;0;0;8;0;4;2;2;4;4;0;8;0;2;6;0;0;2;2;4;0;2;0;2;0;2;0;0;0;2;2;2;2;0;0;0;2;2;2;2;2;0;0;6;0;2
services;0;0;0;0;0;0;0;10;18;10;6;6;0;0;6;0;6;0;12;8;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;4;0;2;4;2;6;0;2;0;0;2;6;6;6;2;2;2;4;2;0;2;0;6;2;4;0;2;2;2;4;0;0;8;6;0;4;2;4;0;0;2;2;0;0;2;8;4;2;4;2;2;0;2;0;4;2
order;0;0;0;0;0;0;0;0;4;34;4;2;0;0;2;6;2;8;8;4;0;0;2;2;2;0;0;0;4;0;0;0;2;4;0;6;4;2;2;2;4;2;2;0;0;6;4;4;0;8;4;4;0;0;2;2;4;4;8;2;0;0;2;0;0;2;2;0;0;0;4;0;2;4;6;2;4;4;0;0;0;0;0;0;0;2;2;0;0;6;4;0;0;0;0;0;10;0;0;2
provide;0;0;0;0;0;0;0;0;0;6;6;8;4;0;8;0;6;0;10;4;0;20;0;4;6;20;20;2;4;20;20;20;20;6;0;2;0;0;2;2;2;0;2;20;0;0;4;2;4;2;0;6;0;0;2;4;0;0;2;4;0;6;2;0;4;0;4;0;2;0;2;4;2;0;0;0;8;2;0;4;2;2;6;0;2;2;0;14;6;8;4;0;2;2;0;12;0;0;2;0
executive;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;4;4;4;0;0;4;0;2;0;2;0;4;0;0;0;2;6;0;6;4;2;2;0;2;0;2;0;2;8;2;2;2;8;4;0;0;0;4;2;6;2;16;0;0;0;0;0;2;0;4;0;0;0;4;0;2;4;6;2;4;6;0;2;0;0;0;0;0;2;2;0;0;6;2;0;0;0;0;0;14;0;0;0
