;president;people;great;trump;states;united;new;administration;obama;american;national;government;house;federal;news;democrats;state;republican;white;good;2016;russia;washington;world;working;court;presidential;department;country;york;election;thank;media;man;police;fbi;act;billion;campaign;party;best;help;fake;senate;massive;post;bill;military;history;americans;city;released;russian;supreme;former;trying;donald;major;story;justice;security;law;article;may;congress;big;following;killed;source;number;democratic;investigation;free;committee;left;hit;year;end;deal;men;bernie;million;important;work;times;china;lot;war;real;woman;women;2017;clinton;investigating;support;shooting;season;week;reserve;democrat
president;0;16;28;68;24;24;14;10;20;6;0;4;12;6;24;10;4;10;12;10;6;8;14;4;12;4;8;10;8;10;4;0;16;4;4;12;2;0;8;6;2;2;12;8;4;6;8;2;2;4;4;0;6;2;12;4;16;4;2;10;0;2;4;2;6;2;4;2;0;2;2;4;2;2;2;4;2;2;8;0;2;0;6;2;6;4;4;2;2;6;0;6;6;6;0;4;2;0;4;6
people;0;0;22;20;22;20;14;8;6;44;10;12;12;10;16;4;10;6;10;6;6;4;12;4;4;6;4;10;6;6;4;8;4;0;10;8;6;4;2;2;4;8;6;6;12;8;0;6;2;0;0;0;0;6;0;8;6;2;4;6;4;4;0;6;8;4;2;6;4;10;4;6;4;6;4;0;6;0;0;8;0;2;4;2;6;0;10;0;4;2;8;2;2;2;6;8;0;6;2;2
great;0;0;0;24;12;12;22;10;12;10;8;6;2;4;18;14;20;14;4;10;2;2;2;0;8;2;2;0;16;8;6;14;8;2;0;0;6;2;2;6;10;2;4;8;4;0;4;2;4;10;8;2;4;2;2;4;6;0;2;2;4;6;2;2;2;0;4;4;0;2;2;2;2;0;6;2;2;4;6;2;6;0;6;6;0;4;4;2;4;2;2;4;4;0;14;0;2;0;2;6
trump;0;0;0;0;18;16;24;34;20;6;10;6;16;2;20;16;14;12;12;4;16;20;20;4;8;2;12;12;10;6;10;2;14;2;4;14;6;4;24;10;0;0;6;6;12;8;2;6;0;8;2;8;2;2;10;8;32;6;6;8;2;6;0;0;6;6;4;2;2;4;6;2;2;6;6;4;0;6;8;2;4;0;0;6;6;6;2;0;4;2;4;2;6;4;0;2;0;0;2;4
states;0;0;0;0;0;124;10;20;6;8;8;16;4;10;10;6;8;0;4;10;0;4;2;4;16;14;2;8;8;2;2;4;2;0;0;0;6;12;0;0;4;4;4;6;10;6;2;16;0;6;2;0;2;8;4;2;2;4;4;4;10;2;2;0;2;4;0;2;4;12;0;2;0;2;0;2;4;4;6;0;2;2;2;0;0;6;0;4;4;2;0;2;2;0;0;0;0;2;2;0
united;0;0;0;0;0;0;6;16;8;8;6;12;4;6;8;2;8;0;4;6;0;4;2;6;12;16;2;10;8;2;2;4;2;0;0;0;2;10;2;0;4;0;4;6;10;6;2;16;0;4;2;0;2;10;6;2;0;2;2;4;8;2;2;0;2;2;0;2;4;8;0;2;0;2;0;0;4;4;6;0;0;0;2;0;0;6;0;4;4;2;0;2;2;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;6;2;6;2;2;8;8;12;8;8;8;6;8;6;2;12;6;6;8;8;6;2;50;4;4;6;0;0;2;2;4;6;4;10;2;6;2;6;6;4;2;0;6;10;2;6;4;6;4;6;6;12;6;4;4;2;0;2;4;2;0;2;0;6;2;2;0;0;10;0;6;2;4;8;0;6;4;16;0;4;0;6;0;4;2;6;4;0;0;0;2;4;6
administration;0;0;0;0;0;0;0;0;44;4;12;4;8;10;2;10;8;2;2;0;0;4;8;0;4;2;2;8;4;0;4;4;2;2;0;6;0;4;4;6;0;2;2;4;6;4;4;4;2;4;2;6;0;0;4;2;2;4;2;4;10;4;0;2;8;2;0;2;2;2;4;2;0;4;2;4;2;2;2;0;2;2;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;4;2;4
obama;0;0;0;0;0;0;0;0;0;4;12;2;6;6;4;10;8;8;0;0;2;6;4;2;0;0;0;6;2;0;4;2;0;6;2;4;2;2;4;6;0;0;2;12;4;6;6;2;6;2;2;6;2;0;6;0;2;2;2;2;8;2;2;2;6;2;0;2;0;2;2;6;0;4;4;0;0;2;0;0;0;0;0;0;2;4;0;6;0;0;2;0;4;0;2;4;0;2;2;2
american;0;0;0;0;0;0;0;0;0;0;2;4;8;6;6;0;4;4;4;2;2;2;6;2;8;2;8;6;0;2;2;6;2;0;0;4;2;0;4;2;2;0;4;4;0;2;0;4;6;2;0;0;0;2;0;4;2;6;2;4;0;0;0;0;6;4;2;4;2;2;2;2;2;4;2;0;2;2;0;4;4;0;2;2;4;2;0;0;2;0;4;2;4;2;0;0;2;2;4;2
