;great;united;states;trump;people;government;campaign;news;president;state;republican;administration;national;fake;money;media;biggest;federal;obama;illegal;nadal;senate;country;may;department;report;rafael;massive;washington;big;america;hard;working;days;treatment;shot;major;lot;committee;court;vote;usa;tuesday;justice;fire;thank;intelligence;fbi;democrats;huge;house;end;supreme;answer;impeachment;party;russian;nsa;decision;symbol;world;new;information;americans;angeles;construction;support;voted;work;post;head;solar;documents;oppression;show;levels;supported;proud;border;south;case;3;center;please;billion;threat;million;looks;asked;victims;election;hillary;highly;past;best;assault;countries;approved;2016;spending
great;0;4;4;4;12;2;0;2;2;6;4;0;2;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;4;6;4;8;2;2;0;2;4;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;4;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0
united;0;0;28;2;8;2;0;2;8;2;0;6;0;0;0;0;4;0;4;2;0;0;2;0;4;0;0;2;2;2;4;2;4;0;2;0;2;2;0;2;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0
states;0;0;0;2;8;2;0;2;8;2;0;4;0;0;2;0;4;0;2;0;0;0;2;0;4;0;0;2;0;2;4;2;4;0;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;2;0;4;4;0;0;0;0;0;0;2;0;0;0
trump;0;0;0;0;0;0;10;4;6;6;4;2;2;2;4;2;2;2;0;2;0;2;2;2;0;0;0;0;4;2;2;2;2;2;0;0;0;0;4;0;0;0;2;0;0;0;4;4;2;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;4;2;2;0;0;0;2;0
people;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;8;0;2;2;2;4;0;2;0;2;0;0;0;4;4;0;0;0;0;2;0;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0
government;0;0;0;0;0;0;2;2;0;2;0;2;0;0;4;0;0;6;2;0;0;0;0;0;2;2;0;0;2;2;0;0;4;2;0;0;4;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0
campaign;0;0;0;0;0;0;0;4;2;6;2;0;2;2;6;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;4;2;4;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0
news;0;0;0;0;0;0;0;0;4;0;2;0;0;10;2;8;0;0;0;0;0;4;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;4;2;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;2;0;0;4;0
president;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;4;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;4;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0
